calc_time,funding_interval_hours,last_funding_rate
1604188800000,8,-0.00050452
1604217600000,8,-0.00006706
1604246400000,8,-0.00010142
1604275200000,8,-0.00008335
1604304000010,8,-0.00010527
1604332800000,8,0.00010000
1604361600000,8,0.00010000
1604390400004,8,0.00010000
1604419200009,8,-0.00049423
1604448000000,8,-0.00024150
1604476800000,8,0.00010000
1604505600005,8,-0.00021191
1604534400017,8,-0.00027188
1604563200001,8,-0.00011694
1604592000000,8,-0.00008960
1604620800000,8,0.00010000
1604649600001,8,0.00019669
1604678400001,8,0.00072759
1604707200001,8,0.00013110
1604736000000,8,0.00029014
1604764800006,8,0.00026570
1604793600000,8,0.00010000
1604822400000,8,0.00010000
1604851200000,8,0.00010000
1604880000007,8,0.00010000
1604908800001,8,0.00010000
1604937600002,8,0.00010000
1604966400003,8,0.00010000
1604995200011,8,0.00026811
1605024000000,8,0.00010000
1605052800000,8,0.00010000
1605081600009,8,0.00010000
1605110400003,8,0.00010000
1605139200001,8,0.00043825
1605168000001,8,0.00065577
1605196800000,8,0.00010000
1605225600000,8,0.00010000
1605254400000,8,0.00047686
1605283200000,8,0.00010000
1605312000005,8,0.00010000
1605340800004,8,0.00010000
1605369600001,8,0.00010000
1605398400001,8,0.00010000
1605427200000,8,0.00010000
1605456000003,8,0.00021804
1605484800000,8,0.00010000
1605513600010,8,0.00041300
1605542400001,8,0.00037563
1605571200002,8,0.00010000
1605600000003,8,0.00043534
1605628800003,8,0.00026680
1605657600005,8,0.00019487
1605686400006,8,0.00010000
1605715200000,8,0.00010000
1605744000008,8,0.00010000
1605772800000,8,0.00010000
1605801600001,8,0.00010000
1605830400003,8,0.00010000
1605859200005,8,0.00010000
1605888000000,8,0.00104187
1605916800000,8,0.00010000
1605945600000,8,0.00047664
1605974400001,8,0.00105372
1606003200005,8,0.00017520
1606032000000,8,0.00010000
1606060800000,8,0.00010000
1606089600005,8,0.00112750
1606118400000,8,0.00041533
1606147200003,8,0.00078001
1606176000000,8,0.00010000
1606204800000,8,0.00103008
1606233600005,8,0.00010835
1606262400005,8,0.00100732
1606291200005,8,0.00138403
1606320000015,8,0.00079839
1606348800012,8,0.00010000
1606377600002,8,0.00010000
1606406400001,8,0.00010000
1606435200001,8,0.00010000
1606464000000,8,0.00010000
1606492800007,8,0.00010000
1606521600007,8,0.00010000
1606550400012,8,0.00010000
1606579200000,8,0.00010000
1606608000007,8,0.00010000
1606636800000,8,0.00010000
1606665600000,8,0.00010000
1606694400004,8,0.00010000
1606723200007,8,0.00010000
1606752000000,8,0.00010000
1619827200002,8,0.00038220
1619856000006,8,0.00088463
1619884800000,8,0.00097744
1619913600010,8,0.00114337
1619942400011,8,0.00041882
1619971200007,8,0.00087525
1620000000003,8,0.00049392
1620028800000,8,0.00031020
1620057600043,8,0.00110585
1620086400004,8,0.00040773
1620115200003,8,0.00013529
1620144000011,8,0.00010000
1620172800001,8,0.00010000
1620201600007,8,0.00010000
1620230400001,8,0.00041787
1620259200003,8,0.00010000
1620288000001,8,0.00010000
1620316800000,8,0.00097476
1620345600000,8,0.00028801
1620374400000,8,0.00097796
1620403200001,8,0.00116277
1620432000006,8,0.00059963
1620460800000,8,0.00124578
1620489600000,8,0.00078562
1620518400005,8,0.00110814
1620547200016,8,0.00032679
1620576000000,8,0.00020663
1620604800004,8,0.00010000
1620633600000,8,0.00021948
1620662400013,8,0.00072264
1620691200000,8,0.00010000
1620720000000,8,0.00010000
1620748800002,8,0.00010000
1620777600004,8,0.00010000
1620806400007,8,0.00081159
1620835200012,8,0.00010000
1620864000016,8,0.00010000
1620892800000,8,0.00010000
1620921600008,8,0.00010000
1620950400007,8,0.00010000
1620979200001,8,0.00010000
1621008000004,8,0.00010000
1621036800022,8,0.00010000
1621065600014,8,0.00010000
1621094400002,8,0.00010000
1621123200000,8,0.00010000
1621152000003,8,0.00010000
1621180800002,8,0.00010000
1621209600005,8,0.00010000
1621238400001,8,0.00015611
1621267200000,8,0.00022440
1621296000019,8,0.00016110
1621324800001,8,0.00038644
1621353600006,8,0.00023485
1621382400000,8,0.00010000
1621411200003,8,0.00010000
1621440000018,8,-0.00593507
1621468800005,8,0.00010000
1621497600000,8,0.00010000
1621526400005,8,0.00010000
1621555200000,8,0.00010000
1621584000000,8,0.00010000
1621612800001,8,0.00010000
1621641600001,8,0.00010000
1621670400002,8,0.00010000
1621699200005,8,0.00010000
1621728000006,8,0.00010000
1621756800004,8,0.00010000
1621785600002,8,-0.00205100
1621814400007,8,-0.00216146
1621843200005,8,-0.00013220
1621872000005,8,-0.00174887
1621900800000,8,0.00023098
1621929600014,8,0.00010000
1621958400000,8,0.00010000
1621987200022,8,0.00010000
1622016000018,8,0.00010000
1622044800004,8,0.00010000
1622073600000,8,0.00010000
1622102400017,8,0.00010000
1622131200000,8,0.00010000
1622160000005,8,0.00010000
1622188800009,8,0.00010000
1622217600000,8,0.00010000
1622246400006,8,0.00010000
1622275200000,8,0.00010000
1622304000000,8,0.00010000
1622332800003,8,0.00010000
1622361600004,8,0.00010000
1622390400018,8,0.00010000
1622419200002,8,0.00010000
1622448000000,8,0.00010000
1622476800000,8,0.00010000
1622505600001,8,0.00010000
1622534400010,8,0.00010000
1622563200010,8,0.00010000
1622592000008,8,0.00010000
1622620800000,8,0.00010000
1622649600007,8,0.00010000
1622678400019,8,0.00010000
1622707200002,8,0.00010000
1622736000003,8,0.00010000
1622764800003,8,0.00010000
1622793600006,8,0.00010000
1622822400002,8,0.00010000
1622851200000,8,0.00010000
1622880000004,8,0.00010000
1622908800020,8,0.00010000
1622937600000,8,0.00010000
1622966400004,8,0.00010000
1622995200000,8,0.00010000
1623024000007,8,0.00010000
1623052800007,8,0.00010000
1623081600003,8,0.00010000
1623110400000,8,0.00010000
1623139200000,8,0.00010000
1623168000002,8,0.00010000
1623196800009,8,0.00010000
1623225600002,8,0.00010000
1623254400000,8,0.00010000
1623283200007,8,0.00010000
1623312000003,8,0.00010000
1623340800000,8,0.00010000
1623369600010,8,0.00010000
1623398400007,8,0.00010000
1623427200006,8,0.00010000
1623456000005,8,0.00010000
1623484800000,8,0.00010000
1623513600018,8,0.00010000
1623542400002,8,0.00010000
1623571200000,8,0.00010000
1623600000003,8,0.00010000
1623628800000,8,0.00010000
1623657600015,8,0.00010000
1623686400000,8,0.00010000
1623715200000,8,0.00010000
1623744000000,8,0.00010000
1623772800004,8,0.00010000
1623801600004,8,0.00010000
1623830400001,8,0.00010000
1623859200000,8,0.00010000
1623888000004,8,0.00010000
1623916800000,8,0.00010000
1623945600002,8,0.00010000
1623974400009,8,0.00010000
1624003200014,8,0.00010000
1624032000007,8,0.00010000
1624060800003,8,0.00010000
1624089600001,8,0.00010000
1624118400000,8,0.00010000
1624147200005,8,0.00010000
1624176000000,8,0.00010000
1624204800002,8,0.00001000
1624233600019,8,0.00010000
1624262400000,8,-0.00022075
1624291200024,8,0.00006601
1624320000008,8,-0.00004505
1624348800009,8,0.00001325
1624377600001,8,-0.00039019
1624406400003,8,-0.00013480
1624435200000,8,-0.00007681
1624464000000,8,0.00010000
1624492800009,8,4.5E-7
1624521600018,8,0.00002302
1624550400001,8,0.00005039
1624579200009,8,0.00005211
1624608000004,8,0.00006167
1624636800000,8,-0.00003885
1624665600007,8,0.00010000
1624694400000,8,0.00010000
1624723200002,8,0.00010000
1624752000005,8,0.00010000
1624780800010,8,0.00010000
1624809600001,8,0.00010000
1624838400025,8,0.00010000
1624867200017,8,0.00010000
1624896000007,8,0.00010000
1624924800008,8,0.00010000
1624953600000,8,0.00010000
1624982400000,8,0.00010000
1625011200011,8,0.00010000
1625040000044,8,0.00010000
1625068800005,8,0.00010000
1646092800002,8,0.00010000
1646121600001,8,0.00010000
1646150400000,8,0.00010000
1646179200000,8,0.00010000
1646208000000,8,0.00010000
1646236800002,8,0.00010000
1646265600000,8,0.00010000
1646294400000,8,0.00010000
1646323200005,8,0.00010000
1646352000018,8,-0.00000710
1646380800000,8,-0.00007952
1646409600000,8,-0.00016125
1646438400006,8,-0.00050568
1646467200004,8,-0.00022065
1646496000000,8,0.00010000
1646524800004,8,0.00010000
1646553600000,8,0.00010000
1646582400013,8,0.00008316
1646611200008,8,0.00003269
1646640000006,8,-0.00001582
1646668800000,8,0.00010000
1646697600008,8,0.00010000
1646726400002,8,0.00010000
1646755200000,8,0.00010000
1646784000008,8,0.00010000
1646812800000,8,0.00010000
1646841600004,8,0.00010000
1646870400000,8,0.00010000
1646899200017,8,0.00010000
1646928000000,8,0.00010000
1646956800008,8,0.00010000
1646985600000,8,0.00010000
1647014400001,8,-0.00004001
1647043200010,8,-0.00007319
1647072000001,8,0.00010000
1647100800002,8,0.00010000
1647129600008,8,0.00007781
1647158400000,8,0.00001670
1647187200002,8,0.00007371
1647216000014,8,0.00004835
1647244800005,8,0.00006199
1647273600002,8,0.00010000
1647302400008,8,0.00010000
1647331200000,8,0.00010000
1647360000006,8,0.00010000
1647388800013,8,0.00010000
1647417600000,8,0.00010000
1647446400008,8,0.00010000
1647475200004,8,0.00010000
1647504000000,8,0.00001264
1647532800004,8,0.00010000
1647561600000,8,0.00010000
1647590400000,8,0.00010000
1647619200017,8,0.00010000
1647648000008,8,0.00010000
1647676800015,8,0.00005814
1647705600000,8,0.00004396
1647734400000,8,0.00010000
1647763200001,8,0.00010000
1647792000002,8,0.00010000
1647820800013,8,0.00010000
1647849600004,8,0.00010000
1647878400010,8,0.00010000
1647907200012,8,0.00010000
1647936000001,8,0.00010000
1647964800022,8,0.00010000
1647993600007,8,0.00010000
1648022400000,8,0.00010000
1648051200006,8,0.00010000
