calc_time,funding_interval_hours,last_funding_rate
1654070400011,8,0.00010000
1654099200000,8,-0.00003650
1654128000000,8,0.00010000
1654156800006,8,0.00009202
1654185600021,8,-0.00006937
1654214400016,8,-0.00022651
1654243200016,8,-0.00003766
1654272000012,8,-0.00032651
1654300800005,8,-0.00003121
1654329600000,8,-0.00022773
1654358400007,8,-0.00013293
1654387200005,8,0.00010000
1654416000015,8,0.00002105
1654444800000,8,-0.00001132
1654473600000,8,0.00010000
1654502400017,8,0.00010000
1654531200000,8,0.00010000
1654560000000,8,0.00010000
1654588800011,8,0.00010000
1654617600000,8,0.00010000
1654646400008,8,0.00010000
1654675200020,8,0.00005571
1654704000012,8,0.00010000
1654732800000,8,-0.00006404
1654761600000,8,-0.00036810
1654790400000,8,0.00002012
1654819200009,8,-0.00010077
1654848000000,8,0.00002936
1654876800006,8,-0.00147874
1654905600018,8,-0.00034845
1654934400014,8,0.00001846
1654963200000,8,0.00007783
1654992000015,8,0.00002230
1655020800019,8,-0.00020399
1655049600010,8,-0.00007202
1655078400009,8,-0.00005175
1655107200000,8,-0.00002246
1655136000007,8,-0.00020773
1655164800013,8,0.00000818
1655193600008,8,-0.00000149
1655222400006,8,0.00001612
1655251200000,8,-0.00006160
1655280000016,8,0.00010000
1655308800008,8,-0.00008325
1655337600009,8,-0.00005210
1655366400016,8,0.00010000
1655395200000,8,-0.00011542
1655424000008,8,-0.00012889
1655452800003,8,0.00002607
1655481600000,8,0.00010000
1655510400020,8,0.00010000
1655539200025,8,0.00010000
1655568000014,8,0.00008407
1655596800012,8,-0.00031308
1655625600012,8,0.00010000
1655654400008,8,0.00010000
1655683200016,8,0.00010000
1655712000000,8,0.00010000
1655740800013,8,0.00010000
1655769600012,8,0.00010000
1655798400018,8,0.00010000
1655827200010,8,0.00010000
1655856000000,8,0.00010000
1655884800001,8,0.00010000
1655913600012,8,0.00004084
1655942400000,8,-0.00010713
1655971200000,8,0.00010000
1656000000016,8,0.00006867
1656028800005,8,0.00008671
1656057600004,8,0.00010000
1656086400018,8,0.00010000
1656115200001,8,0.00010000
1656144000010,8,0.00010000
1656172800000,8,0.00010000
1656201600002,8,0.00010000
1656230400016,8,0.00010000
1656259200006,8,0.00010000
1656288000008,8,0.00010000
1656316800000,8,0.00010000
1656345600016,8,0.00010000
1656374400016,8,0.00010000
1656403200001,8,0.00010000
1656432000005,8,0.00010000
1656460800000,8,0.00008955
1656489600013,8,0.00010000
1656518400000,8,-0.00017402
1656547200000,8,-0.00007981
1656576000000,8,-0.00009770
1656604800000,8,0.00006567
1656633600001,8,-0.00028194
1656662400017,8,0.00006988
1656691200005,8,-0.00005685
1656720000000,8,-0.00033208
1656748800000,8,0.00007000
1656777600008,8,0.00006455
1656806400015,8,-0.00025349
1656835200004,8,-0.00008783
1656864000005,8,0.00002465
1656892800021,8,-0.00007742
1656921600001,8,0.00001040
1656950400000,8,-0.00024502
1656979200000,8,0.00010000
1657008000000,8,0.00003774
1657036800015,8,-0.00012067
1657065600006,8,0.00005950
1657094400000,8,-0.00012466
1657123200000,8,-0.00003429
1657152000010,8,-0.00005751
1657180800010,8,0.00010000
1657209600011,8,0.00010000
1657238400008,8,0.00002729
1657267200009,8,0.00010000
1657296000000,8,0.00010000
1657324800000,8,0.00010000
1657353600000,8,0.00006981
1657382400009,8,0.00010000
1657411200001,8,0.00009645
1657440000002,8,0.00010000
1657468800001,8,0.00010000
1657497600000,8,0.00010000
1657526400003,8,0.00003175
1657555200001,8,0.00004731
1657584000000,8,-0.00014550
1657612800021,8,0.00005329
1657641600000,8,-0.00011181
1657670400012,8,-0.00011100
1657699200022,8,-0.00012604
1657728000005,8,-0.00018309
1657756800017,8,-0.00006730
1657785600001,8,0.00002785
1657814400000,8,-0.00014598
1657843200004,8,0.00010000
1657872000019,8,0.00010000
1657900800017,8,0.00010000
1657929600021,8,0.00008982
1657958400014,8,0.00000458
1657987200005,8,0.00007052
1658016000000,8,-0.00014871
1658044800003,8,-0.00045959
1658073600007,8,0.00007108
1658102400001,8,-0.00004969
1658131200004,8,-0.00124591
1658160000019,8,-0.00069387
1658188800000,8,-0.00008582
1658217600000,8,0.00010000
1658246400001,8,0.00010000
1658275200004,8,0.00010000
1658304000000,8,0.00009408
1658332800003,8,0.00002647
1658361600000,8,0.00010000
1658390400018,8,0.00010000
1658419200011,8,0.00010000
1658448000014,8,0.00006773
1658476800000,8,0.00004632
1658505600000,8,0.00003285
1658534400004,8,0.00002338
1658563200002,8,-0.00010423
1658592000001,8,0.00003444
1658620800000,8,-0.00010155
1658649600011,8,-0.00020429
1658678400000,8,-0.00023064
1658707200000,8,-0.00007969
1658736000014,8,0.00010000
