calc_time,funding_interval_hours,last_funding_rate
1711929600000,8,0.00061152
1711958400000,8,0.00053432
1711987200000,8,0.00029907
1712016000007,8,0.00020142
1712044800015,8,0.00023034
1712073600000,8,0.00012550
1712102400000,8,0.00010000
1712131200000,8,0.00010000
1712160000000,8,0.00010000
1712188800000,8,0.00010000
1712217600000,8,0.00016204
1712246400000,8,0.00010000
1712275200000,8,0.00010000
1712304000000,8,0.00010000
1712332800000,8,0.00010000
1712361600000,8,0.00010000
1712390400000,8,0.00010000
1712419200000,8,0.00010000
1712448000000,8,0.00010000
1712476800000,8,0.00010000
1712505600000,8,0.00010000
1712534400001,8,0.00010000
1712563200000,8,0.00014552
1712592000006,8,0.00010000
1712620800000,8,0.00010000
1712649600001,8,0.00014936
1712678400001,8,0.00025416
1712707200000,8,0.00023538
1712736000001,8,0.00014340
1712764800000,8,0.00019012
1712793600000,8,0.00030738
1712822400000,8,0.00022397
1712851200000,8,0.00012902
1712880000000,8,0.00018281
1712908800001,8,0.00016876
1712937600000,8,0.00024443
1712966400000,8,-0.00005836
1712995200000,8,0.00010000
1713024000001,8,0.00010000
1713052800000,8,-0.00113784
1713081600000,8,0.00010000
1713110400000,8,0.00003958
1713139200000,8,-0.00050289
1713168000001,8,-0.00047359
1713196800000,8,0.00010000
1713225600001,8,-0.00006023
1713254400000,8,0.00000606
1713283200000,8,0.00001644
1713312000000,8,-0.00006755
1713340800000,8,0.00010000
1713369600000,8,0.00010000
1713398400000,8,0.00009337
1713427200000,8,0.00010000
1713456000000,8,-0.00000574
1713484800001,8,0.00004320
1713513600000,8,0.00010000
1713542400000,8,0.00007634
1713571200000,8,0.00010000
1713600000000,8,0.00005690
1713628800000,8,0.00010000
1713657600000,8,0.00006123
1713686400000,8,-0.00006629
1713715200000,8,0.00010000
1713744000000,8,0.00004693
1713772800000,8,0.00005109
1713801600000,8,-0.00005902
1713830400000,8,-0.00000790
1713859200000,8,0.00007676
1713888000001,8,0.00010000
1713916800000,8,-0.00003525
1713945600000,8,0.00010000
1713974400000,8,0.00010000
1714003200000,8,0.00010000
1714032000000,8,0.00007428
1714060800010,8,0.00010000
1714089600001,8,0.00007779
1714118400000,8,0.00010000
1714147200000,8,0.00010000
1714176000000,8,0.00010000
1714204800001,8,0.00007849
1714233600000,8,-0.00003725
1714262400000,8,-0.00000195
1714291200000,8,0.00003318
1714320000000,8,0.00010000
1714348800000,8,0.00010000
1714377600000,8,0.00010000
1714406400000,8,0.00006797
1714435200000,8,0.00010000
1714464000000,8,0.00010000
1714492800000,8,0.00010000
