calc_time,funding_interval_hours,last_funding_rate
1738368000000,8,0.00010000
1738396800000,8,-0.00104936
1738425600000,8,-0.00004735
1738454400001,8,-0.00050858
1738483200000,8,0.00010000
1738512000000,8,-0.00000343
1738540800000,8,0.00010000
1738569600000,8,-0.00003324
1738598400000,8,0.00010000
1738627200000,8,0.00010000
1738656000001,8,0.00010000
1738684800000,8,-0.00004530
1738713600001,8,0.00010000
1738742400001,8,0.00008541
1738771200000,8,-0.00004022
1738800000001,8,0.00000911
1738828800001,8,0.00003917
1738857600000,8,0.00010000
1738886400000,8,-0.00001390
1738915200000,8,0.00010000
1738944000000,8,-0.00007056
1738972800000,8,0.00010000
1739001600000,8,0.00010000
1739030400000,8,0.00010000
1739059200000,8,0.00010000
1739088000000,8,-0.00000463
1739116800000,8,0.00008479
1739145600000,8,0.00007525
1739174400000,8,0.00010000
1739203200000,8,0.00010000
1739232000000,8,0.00010000
1739260800000,8,-0.00006872
1739289600000,8,0.00010000
1739318400000,8,0.00010000
1739347200000,8,0.00000828
1739376000001,8,0.00004819
1739404800001,8,0.00010000
1739433600000,8,0.00010000
1739462400001,8,0.00009670
1739491200000,8,-0.00008510
1739520000001,8,0.00010000
1739548800000,8,-0.00005119
1739577600000,8,-0.00028867
1739606400000,8,-0.00007663
1739635200000,8,-0.00068583
1739664000000,8,-0.00005581
1739692800000,8,-0.00048414
1739721600000,8,-0.00024637
1739750400000,8,-0.00003134
1739779200000,8,-0.00019724
1739808000000,8,-0.00072808
1739836800000,8,-0.00000285
1739865600000,8,-0.00017885
1739894400000,8,0.00002196
1739923200000,8,0.00010000
1739952000000,8,-0.00005979
1739980800000,8,-0.00003441
1740009600000,8,-0.00010467
1740038400000,8,-0.00018584
1740067200000,8,0.00010000
1740096000001,8,0.00010000
1740124800000,8,0.00010000
1740153600000,8,-0.00003678
1740182400000,8,0.00010000
1740211200000,8,0.00010000
1740240000000,8,0.00010000
1740268800000,8,0.00010000
1740297600000,8,0.00010000
1740326400000,8,0.00010000
1740355200000,8,0.00010000
1740384000000,8,4E-8
1740412800000,8,0.00000359
1740441600000,8,0.00010000
1740470400000,8,-0.00001499
1740499200000,8,0.00010000
1740528000000,8,0.00010000
1740556800000,8,0.00010000
1740585600000,8,0.00010000
1740614400001,8,0.00008176
1740643200000,8,0.00010000
1740672000000,8,-0.00010090
1740700800001,8,-0.00058738
1740729600000,8,0.00008619
1740758400000,8,-0.00042688
1740787200000,8,-0.00067077
1740816000000,8,-0.00037386
1740844800001,8,-0.00083986
1740873600000,8,-0.00104816
1740902400000,8,-0.00085163
1740931200000,8,-0.00038630
1740960000001,8,0.00010000
1740988800000,8,0.00010000
1741017600000,8,0.00010000
1741046400001,8,0.00010000
1741075200005,8,-0.00015842
1741104000000,8,-0.00025264
1741132800000,8,0.00010000
1741161600000,8,0.00010000
1741190400000,8,0.00008334
1741219200000,8,0.00010000
1741248000001,8,-0.00007472
1741276800000,8,0.00010000
1741305600000,8,0.00010000
1741334400001,8,-0.00003139
1741363200000,8,0.00010000
1741392000000,8,0.00010000
1741420800001,8,-0.00026815
1741449600001,8,0.00009897
1741478400001,8,0.00010000
1741507200000,8,0.00010000
1741536000000,8,-0.00008316
1741564800000,8,0.00008814
1741593600000,8,0.00008495
1741622400000,8,-0.00141499
1741651200000,8,-0.00051346
1741680000000,8,-0.00048095
1741708800001,8,-0.00019773
1741737600000,8,0.00010000
1741766400000,8,-0.00005031
1741795200001,8,0.00010000
1741824000000,8,0.00010000
1741852800000,8,0.00010000
1741881600000,8,0.00010000
1741910400000,8,-0.00012855
1741939200000,8,0.00010000
1741968000000,8,0.00010000
1741996800000,8,0.00010000
1742025600000,8,0.00010000
1742054400000,8,0.00010000
1742083200000,8,0.00010000
1742112000000,8,0.00010000
1742140800000,8,0.00007843
1742169600000,8,0.00004085
1742198400000,8,0.00010000
1742227200000,8,0.00010000
1742256000000,8,0.00010000
1742284800000,8,-0.00002715
1742313600000,8,0.00010000
1742342400000,8,0.00010000
1742371200000,8,0.00005554
1742400000000,8,0.00010000
1742428800000,8,0.00010000
1742457600000,8,0.00010000
1742486400000,8,0.00010000
1742515200000,8,-0.00001711
1742544000000,8,-0.00009798
1742572800000,8,-0.00003705
1742601600000,8,0.00010000
1742630400004,8,0.00010000
1742659200000,8,0.00010000
1742688000000,8,0.00010000
1742716800000,8,0.00009453
1742745600000,8,0.00010000
1742774400000,8,0.00010000
1742803200000,8,0.00010000
1742832000000,8,-0.00014397
1742860800001,8,0.00000340
1742889600000,8,-0.00020654
1742918400000,8,-0.00001353
1742947200000,8,0.00010000
1742976000000,8,0.00010000
1743004800001,8,0.00008272
1743033600001,8,0.00010000
1743062400001,8,0.00009649
1743091200002,8,0.00009805
1743120000001,8,0.00010000
1743148800001,8,-0.00045918
1743177600000,8,-0.00013187
1743206400000,8,-0.00002074
1743235200000,8,-0.00005347
1743264000000,8,-0.00010564
1743292800000,8,-0.00016955
1743321600000,8,-0.00019004
1743350400000,8,0.00002809
1743379200000,8,0.00004615
1743408000000,8,-0.00000940
1743436800000,8,0.00010000
1748736000001,8,0.00008890
1748764800002,8,0.00008369
1748793600000,8,0.00008269
1748822400001,8,0.00010000
1748851200000,8,0.00002897
1748880000000,8,0.00001204
1748908800000,8,0.00010000
1748937600000,8,0.00004476
1748966400001,8,0.00010000
1748995200000,8,-0.00015146
1749024000000,8,-0.00006352
1749052800000,8,0.00001624
1749081600016,8,-0.00007542
1749110400000,8,0.00004416
1749139200000,8,0.00001950
1749168000002,8,-0.00013596
1749196800000,8,0.00010000
1749225600006,8,0.00010000
1749254400000,8,0.00004435
1749283200000,8,0.00010000
1749312000002,8,0.00010000
1749340800000,8,0.00010000
1749369600000,8,0.00001835
1749398400000,8,0.00010000
1749427200000,8,0.00008770
1749456000001,8,0.00010000
1749484800001,8,0.00010000
1749513600000,8,0.00010000
1749542400001,8,0.00010000
1749571200003,8,0.00010000
1749600000000,8,0.00010000
1749628800000,8,0.00010000
1749657600010,8,0.00010000
1749686400002,8,0.00007395
1749715200003,8,0.00007084
1749744000001,8,-0.00011033
1749772800000,8,-0.00016755
1749801600001,8,-0.00013816
1749830400004,8,0.00010000
1749859200000,8,0.00010000
1749888000000,8,-0.00005741
1749916800000,8,-0.00013446
1749945600005,8,0.00010000
1749974400009,8,0.00010000
1750003200000,8,-0.00004517
1750032000000,8,-0.00005438
1750060800000,8,0.00010000
1750089600003,8,0.00010000
1750118400000,8,0.00010000
1750147200006,8,0.00010000
1750176000001,8,-0.00000829
1750204800001,8,0.00009032
1750233600001,8,-0.00003117
1750262400001,8,0.00010000
1750291200005,8,0.00010000
1750320000003,8,-0.00010648
1750348800000,8,-0.00019458
1750377600000,8,0.00010000
1750406400002,8,0.00010000
1750435200001,8,-0.00010756
1750464000002,8,-0.00006860
1750492800005,8,0.00010000
1750521600000,8,-0.00024497
1750550400005,8,0.00001313
1750579200000,8,0.00005857
1750608000003,8,-0.00013468
1750636800000,8,0.00009643
1750665600004,8,0.00010000
1750694400013,8,0.00001719
1750723200003,8,0.00010000
1750752000000,8,0.00010000
1750780800000,8,0.00010000
1750809600005,8,0.00010000
1750838400000,8,0.00006483
1750867200005,8,-0.00007694
1750896000000,8,0.00008928
1750924800006,8,0.00006750
