calc_time,funding_interval_hours,last_funding_rate
1630454400000,8,0.00011642
1630483200006,8,0.00103507
1630512000000,8,0.00042656
1630540800009,8,0.00010000
1630569600006,8,0.00072602
1630598400007,8,0.00079156
1630627200011,8,0.00040739
1630656000000,8,0.00116888
1630684800002,8,0.00053885
1630713600003,8,0.00073748
1630742400008,8,0.00141929
1630771200009,8,0.00155384
1630800000002,8,0.00065887
1630828800002,8,0.00099807
1630857600000,8,0.00144007
1630886400003,8,0.00091664
1630915200008,8,0.00112294
1630944000009,8,0.00023714
1630972800004,8,0.00032456
1631001600002,8,0.00077561
1631030400001,8,-0.00513656
1631059200005,8,0.00010000
1631088000000,8,0.00010000
1631116800000,8,0.00010000
1631145600006,8,0.00010000
1631174400014,8,0.00010000
1631203200002,8,0.00010000
1631232000001,8,0.00010000
1631260800018,8,0.00010000
1631289600006,8,0.00010000
1631318400000,8,0.00010000
1631347200001,8,0.00010000
1631376000000,8,0.00010000
1631404800000,8,0.00010000
1631433600002,8,0.00010000
1631462400000,8,0.00010000
1631491200000,8,0.00010000
1631520000007,8,0.00010000
1631548800005,8,0.00010000
1631577600002,8,0.00010000
1631606400000,8,0.00010000
1631635200007,8,0.00010000
1631664000012,8,0.00010000
1631692800003,8,0.00010000
1631721600006,8,0.00010000
1631750400008,8,0.00010000
1631779200005,8,0.00010000
1631808000002,8,0.00010000
1631836800000,8,0.00010000
1631865600047,8,0.00010000
1631894400013,8,0.00010000
1631923200000,8,0.00010000
1631952000010,8,0.00010000
1631980800005,8,0.00010000
1632009600006,8,0.00010000
1632038400015,8,0.00010000
1632067200007,8,0.00010000
1632096000018,8,0.00010000
1632124800000,8,0.00010000
1632153600005,8,-0.00010169
1632182400005,8,0.00002295
1632211200007,8,-0.00004318
1632240000000,8,0.00009948
1632268800005,8,-0.00036815
1632297600006,8,-0.00013718
1632326400000,8,0.00002318
1632355200003,8,-0.00042125
1632384000000,8,0.00000573
1632412800007,8,0.00010000
1632441600000,8,0.00004571
1632470400017,8,0.00010000
1632499200000,8,-0.00044335
1632528000007,8,-0.00042781
1632556800002,8,-0.00008262
1632585600004,8,-0.00000522
1632614400013,8,-0.00007747
1632643200000,8,-0.00020534
1632672000005,8,-0.00003735
1632700800000,8,-0.00018038
1632729600001,8,0.00004877
1632758400000,8,0.00000898
1632787200000,8,-0.00022892
1632816000014,8,0.00002309
1632844800000,8,0.00010000
1632873600000,8,0.00007466
1632902400002,8,0.00010000
1632931200000,8,0.00010000
1632960000000,8,0.00000841
1632988800004,8,0.00008933
1633017600005,8,0.00010000
1633046400012,8,0.00010000
1633075200008,8,0.00007612
1633104000000,8,0.00000712
1633132800000,8,-0.00006665
1633161600002,8,0.00010000
1633190400011,8,0.00010000
1633219200019,8,0.00010000
1633248000011,8,0.00010000
1633276800004,8,0.00010000
1633305600004,8,0.00010000
1633334400000,8,0.00010000
1633363200000,8,0.00010000
1633392000007,8,0.00010000
1633420800007,8,0.00010000
1633449600004,8,0.00010000
1633478400002,8,0.00010000
1633507200000,8,0.00010000
1633536000003,8,0.00010000
1633564800007,8,0.00010000
1633593600002,8,0.00010000
1633622400000,8,0.00010000
1633651200011,8,0.00010000
1633680000003,8,0.00014929
1633708800002,8,0.00038945
1633737600006,8,0.00010000
