calc_time,funding_interval_hours,last_funding_rate
1719792000000,8,-0.00007702
1719820800000,8,-0.00016764
1719849600001,8,-0.00011370
1719878400000,8,-0.00019167
1719907200000,8,-0.00002860
1719936000000,8,0.00004462
1719964800000,8,0.00004295
1719993600001,8,-0.00004532
1720022400000,8,-0.00019530
1720051200000,8,-0.00036140
1720080000000,8,-0.00033034
1720108800000,8,-0.00037556
1720137600000,8,-0.00101127
1720166400000,8,-0.00070093
1720195200000,8,-0.00062401
1720224000000,8,-0.00051160
1720252800000,8,-0.00058739
1720281600000,8,-0.00033217
1720310400001,8,-0.00052039
1720339200000,8,-0.00079848
1720368000000,8,-0.00041029
1720396800000,8,-0.00030440
1720425600000,8,-0.00086154
1720454400000,8,-0.00018437
1720483200000,8,0.00005124
1720512000001,8,-0.00047964
1720540800000,8,-0.00064381
1720569600000,8,0.00001477
1720598400000,8,-0.00007492
1720627200000,8,-0.00003477
1720656000002,8,0.00010000
1720684800002,8,0.00006540
1720713600004,8,-0.00012719
1720742400000,8,0.00010000
1720771200000,8,0.00002346
1720800000000,8,0.00006673
1720828800000,8,-0.00010739
1720857600000,8,0.00007796
1720886400000,8,-0.00026188
1720915200000,8,-0.00019536
1720944000000,8,-0.00008422
1720972800000,8,-0.00007213
1721001600000,8,-0.00007682
1721030400000,8,-0.00005711
1721059200000,8,-0.00011041
1721088000000,8,0.00010000
1721116800000,8,0.00003974
1721145600000,8,-0.00014044
1721174400000,8,0.00009034
1721203200001,8,0.00004438
1721232000000,8,0.00004293
1721260800000,8,-0.00000592
1721289600000,8,0.00009886
1721318400000,8,0.00004661
1721347200000,8,0.00006805
1721376000000,8,0.00000598
1721404800000,8,0.00010000
1721433600001,8,0.00010000
1721462400000,8,0.00003078
1721491200000,8,0.00008466
1721520000000,8,0.00003847
1721548800000,8,0.00010000
1721577600000,8,0.00010000
1721606400000,8,0.00000695
1721635200000,8,0.00010000
1721664000000,8,0.00000261
1721692800000,8,0.00004285
1721721600000,8,0.00005325
1721750400000,8,0.00008248
1721779200000,8,0.00005457
1721808000000,8,0.00002083
1721836800000,8,0.00010000
1721865600000,8,-0.00018730
1721894400000,8,-0.00002244
1721923200000,8,0.00000451
1721952000000,8,-0.00011329
1721980800000,8,-0.00003567
1722009600000,8,-0.00009941
1722038400000,8,0.00008632
1722067200000,8,0.00010000
1722096000000,8,-0.00005687
1722124800000,8,0.00004307
1722153600000,8,-0.00008513
1722182400001,8,0.00010000
1722211200001,8,-0.00001048
1722240000000,8,0.00010000
1722268800001,8,-0.00041123
1722297600000,8,-0.00029559
1722326400001,8,-0.00001786
1722355200000,8,-0.00010910
1722384000000,8,-0.00041676
1722412800000,8,0.00003812
1722441600000,8,-0.00014315
1738368000000,8,0.00010000
1738396800000,8,0.00010000
1738425600000,8,-0.00003748
1738454400001,8,-0.00012100
1738483200000,8,-0.00018756
1738512000000,8,-0.00011120
1738540800000,8,-0.00034111
1738569600000,8,-0.00059249
1738598400000,8,-0.00027862
1738627200000,8,-0.00010427
1738656000001,8,-0.00047831
1738684800000,8,-0.00012164
1738713600001,8,-0.00020393
1738742400001,8,-0.00005389
1738771200000,8,-0.00005052
1738800000001,8,-0.00021654
1738828800001,8,-0.00035854
1738857600000,8,-0.00041466
1738886400000,8,-0.00026744
1738915200000,8,-0.00035034
1738944000000,8,-0.00010868
1738972800000,8,-0.00037185
1739001600000,8,-0.00015837
1739030400000,8,-0.00002413
1739059200000,8,0.00007872
1739088000000,8,-0.00009647
1739116800000,8,-0.00018592
1739145600000,8,-0.00022498
1739174400000,8,-0.00007855
1739203200000,8,-0.00012171
1739232000000,8,-0.00001781
1739260800000,8,-0.00000308
1739289600000,8,-0.00040210
1739318400000,8,-0.00043063
1739347200000,8,-0.00024114
1739376000001,8,-0.00015750
1739404800001,8,0.00010000
1739433600000,8,-0.00006222
1739462400001,8,-0.00011435
1739491200000,8,-0.00000115
1739520000001,8,0.00002634
1739548800000,8,3.7E-7
1739577600000,8,-0.00002490
1739606400000,8,-0.00003168
1739635200000,8,-0.00042850
1739664000000,8,-0.00032662
1739692800000,8,-0.00027708
1739721600000,8,-0.00020539
1739750400000,8,-0.00036579
1739779200000,8,-0.00015480
1739808000000,8,0.00010000
1739836800000,8,-0.00008205
1739865600000,8,-0.00069590
1739894400000,8,-0.00031228
1739923200000,8,0.00007065
1739952000000,8,0.00000449
1739980800000,8,-0.00002728
1740009600000,8,-0.00006148
1740038400000,8,-0.00029610
1740067200000,8,-0.00023494
1740096000001,8,-0.00048830
1740124800000,8,-0.00021947
1740153600000,8,-0.00034028
1740182400000,8,-0.00059069
1740211200000,8,-0.00089096
1740240000000,8,-0.00044746
1740268800000,8,-0.00043800
1740297600000,8,-0.00048527
1740326400000,8,-0.00037388
1740355200000,8,-0.00025670
1740384000000,8,-0.00067178
1740412800000,8,-0.00064419
1740441600000,8,-0.00127386
1740470400000,8,-0.00189588
1740499200000,8,-0.00041035
1740528000000,8,-0.00009171
1740556800000,8,-0.00008260
1740585600000,8,-0.00004850
1740614400001,8,-0.00014595
1740643200000,8,-0.00003049
1740672000000,8,-0.00015043
1740700800001,8,-0.00046708
1740729600000,8,-0.00064997
1740758400000,8,-0.00082516
1740787200000,8,-0.00004603
1740816000000,8,-0.00012383
1740844800001,8,-0.00026830
1740873600000,8,-0.00039430
1740902400000,8,-0.00014253
1740931200000,8,-0.00030461
1740960000001,8,0.00010000
1740988800000,8,-0.00023756
1741017600000,8,-0.00033983
1741046400001,8,-0.00070558
1741075200005,8,-0.00060509
1741104000000,8,-0.00071966
1741132800000,8,-0.00020571
1741161600000,8,-0.00025980
1741190400000,8,-0.00012395
1741219200000,8,0.00004272
1741248000001,8,0.00000813
1741276800000,8,-0.00042203
1741305600000,8,-0.00049527
1741334400001,8,-0.00018307
1741363200000,8,-0.00018663
1741392000000,8,-0.00020446
1741420800001,8,-0.00021119
1741449600001,8,-0.00024355
1741478400001,8,-0.00041504
1741507200000,8,-0.00066069
1741536000000,8,-0.00117820
1741564800000,8,-0.00111396
1741593600000,8,-0.00091583
1741622400000,8,-0.00098836
1741651200000,8,-0.00094791
1741680000000,8,-0.00029508
1741708800001,8,-0.00046439
1741737600000,8,-0.00021362
1741766400000,8,-0.00076291
1741795200001,8,-0.00034327
1741824000000,8,-0.00002618
1741852800000,8,-0.00045559
1741881600000,8,0.00010000
1741910400000,8,-0.00028373
1741939200000,8,-0.00053493
1741968000000,8,-0.00022280
1741996800000,8,-0.00029770
1742025600000,8,-0.00138053
1742054400000,8,-0.00046416
1742083200000,8,-0.00079171
1742112000000,8,-0.00027389
1742140800000,8,-0.00051875
1742169600000,8,-0.00023126
1742198400000,8,-0.00018635
1742227200000,8,-0.00026095
1742256000000,8,-0.00002949
1742284800000,8,-0.00054820
1742313600000,8,-0.00016077
1742342400000,8,-0.00006205
1742371200000,8,-0.00034264
1742400000000,8,-0.00013758
1742428800000,8,-0.00026342
1742457600000,8,-0.00036993
1742486400000,8,-0.00042628
1742515200000,8,-0.00013021
1742544000000,8,-0.00046596
1742572800000,8,-0.00056448
1742601600000,8,-0.00045380
1742630400004,8,-0.00008936
1742659200000,8,-0.00025822
1742688000000,8,-0.00022418
1742716800000,8,-0.00019655
1742745600000,8,-0.00030916
1742774400000,8,-0.00041433
1742803200000,8,-0.00002335
1742832000000,8,0.00002578
1742860800001,8,0.00008612
1742889600000,8,-0.00014781
1742918400000,8,0.00000735
1742947200000,8,0.00006698
1742976000000,8,-0.00004932
1743004800001,8,0.00001874
1743033600001,8,-0.00009351
1743062400001,8,-0.00020446
1743091200002,8,-0.00017340
1743120000001,8,-0.00027858
1743148800001,8,-0.00050235
1743177600000,8,-0.00020625
1743206400000,8,-0.00042827
1743235200000,8,-0.00043243
1743264000000,8,-0.00055997
1743292800000,8,-0.00033175
1743321600000,8,-0.00018428
1743350400000,8,-0.00031102
1743379200000,8,-0.00029478
1743408000000,8,-0.00023718
1743436800000,8,-0.00022588
1743465600000,8,-0.00000286
1743494400001,8,-0.00000185
1743523200000,8,-0.00050725
1743552000001,8,-0.00005777
1743580800000,8,-0.00041074
1743609600000,8,-0.00008407
1743638400000,8,-0.00057332
1743667200000,8,-0.00011094
1743696000000,8,-0.00030623
1743724800000,8,0.00010000
1743753600000,8,0.00005382
1743782400000,8,-0.00021398
1743811200000,8,0.00001787
1743840000000,8,0.00008657
1743868800000,8,-0.00017830
1743897600000,8,-0.00008804
1743926400000,8,-0.00021027
1743955200002,8,-0.00060102
1743984000000,8,-0.00060255
1744012800000,8,-0.00041469
1744041600000,8,-0.00019725
1744070400000,8,-0.00049927
1744099200000,8,-0.00021512
1744128000000,8,-0.00010157
1744156800000,8,0.00010000
1744185600001,8,-0.00028402
1744214400000,8,-0.00000887
1744243200000,8,-0.00004141
1744272000000,8,0.00003376
1744300800000,8,-0.00012029
1744329600001,8,-0.00015537
1744358400000,8,-0.00013693
1744387200000,8,-0.00005837
1744416000000,8,0.00003498
1744444800001,8,-0.00027029
1744473600000,8,-0.00030349
1744502400000,8,-0.00039145
1744531200000,8,-0.00008004
1744560000000,8,-0.00022768
1744588800000,8,-0.00009224
1744617600000,8,-0.00029764
1744646400000,8,-0.00037948
1744675200000,8,0.00001583
1744704000000,8,-0.00025358
1744732800001,8,-0.00037839
1744761600000,8,-0.00013134
1744790400000,8,-0.00055121
1744819200000,8,-0.00024088
1744848000001,8,-0.00015803
1744876800000,8,-0.00015465
1744905600001,8,-0.00008732
1744934400000,8,-0.00014576
1744963200000,8,0.00010000
1744992000000,8,-0.00006921
1745020800000,8,-0.00002226
1745049600000,8,-0.00005018
1745078400000,8,-0.00015899
1745107200000,8,0.00001500
1745136000000,8,-0.00034357
1745164800000,8,-0.00028546
1745193600000,8,-0.00010379
1745222400005,8,0.00009040
1745251200003,8,-0.00021217
1745280000008,8,-0.00011126
1745308800000,8,-0.00026546
1745337600000,8,0.00010000
1745366400000,8,0.00010000
1745395200002,8,0.00010000
1745424000000,8,0.00010000
1745452800000,8,0.00010000
1745481600001,8,0.00010000
1745510400001,8,0.00010000
1745539200007,8,0.00010000
1745568000002,8,-0.00004159
1745596800003,8,-0.00010383
1745625600002,8,0.00001781
1745654400000,8,0.00010000
1745683200002,8,0.00010000
1745712000001,8,0.00010000
1745740800000,8,0.00010000
1745769600000,8,0.00006526
1745798400001,8,0.00005920
1745827200003,8,0.00008637
1745856000005,8,-0.00007341
1745884800000,8,-0.00006702
1745913600000,8,-0.00004116
1745942400010,8,-0.00016094
1745971200001,8,-0.00015927
1746000000000,8,-0.00011956
1746028800003,8,-0.00018747
1746057600000,8,-0.00001074
1746086400000,8,-0.00004063
1746115200001,8,0.00009560
1746144000000,8,-0.00001526
