calc_time,funding_interval_hours,last_funding_rate
1590508800000,8,0.00010000
1590537600000,8,0.00010000
1590566400000,8,0.00010000
1590595200000,8,-0.00740000
1590624000000,8,-0.00750000
1590652800000,8,0E-8
1590681600000,8,-0.00750000
1590710400000,8,0E-8
1590739200000,8,0.00010000
1590768000000,8,0.00010000
1590796800000,8,0.00010000
1590825600001,8,0.00049668
1590854400000,8,0.00050199
1590883200000,8,0.00105410
1590912000001,8,0.00010000
1590940800000,8,0.00010000
1590969600000,8,0.00010000
1590998400001,8,0.00052245
1591027200000,8,0.00010000
1591056000000,8,0.00010000
1591084800002,8,0.00010000
1591113600000,8,0.00074016
1591142400000,8,0.00010000
1591171200000,8,0.00010000
1591200000002,8,0.00010000
1591228800001,8,0.00010000
1591257600004,8,0.00010000
1591286400001,8,0.00010000
1591315200001,8,0.00062005
1591344000000,8,0.00081003
1591372800001,8,0.00010000
1591401600000,8,0.00010000
1591430400000,8,0.00040486
1591459200000,8,0.00042254
1591488000000,8,0.00018625
1591516800000,8,0.00207219
1591545600006,8,0.00010000
1591574400008,8,0.00010000
1591603200007,8,0.00010000
1591632000000,8,0.00046151
1591660800000,8,0.00203846
1591689600000,8,0.00126911
1591718400000,8,0.00080986
1591747200000,8,0.00072745
1591776000000,8,0.00188638
1591804800000,8,0.00040305
1591833600008,8,0.00071461
1591862400001,8,0.00103046
1591891200000,8,0.00010000
1591920000003,8,0.00010000
1591948800000,8,0.00010000
1591977600002,8,0.00010000
1592006400000,8,0.00010000
1592035200001,8,-0.00058820
1592064000000,8,0.00010000
1592092800007,8,0.00073396
1592121600000,8,0.00010000
1592150400001,8,0.00010000
1592179200000,8,0.00010000
1592208000001,8,0.00010000
1592236800000,8,0.00010000
1592265600002,8,0.00010000
1592294400000,8,0.00003351
1592323200006,8,0.00010000
1592352000000,8,0.00010000
1592380800007,8,0.00010000
1592409600000,8,0.00010000
1592438400003,8,0.00010000
1592467200001,8,0.00010000
1592496000002,8,0.00050575
1592524800001,8,0.00108222
1592553600003,8,0.00010000
1592582400000,8,0.00015341
1592611200000,8,0.00014551
1592640000009,8,0.00010000
1592668800006,8,0.00010000
1592697600000,8,0.00010000
1592726400000,8,0.00081647
1592755200000,8,0.00010000
1592784000000,8,0.00010000
1592812800000,8,0.00092040
1592841600001,8,0.00010000
1592870400000,8,0.00010000
1592899200002,8,-0.00005060
1592928000000,8,0.00014050
1592956800001,8,0.00010000
1592985600000,8,0.00010000
1593014400000,8,0.00010000
1593043200000,8,0.00010000
1593072000000,8,0.00010000
1593100800000,8,0.00010000
1593129600000,8,0.00022446
1593158400000,8,0.00010000
1593187200000,8,0.00010000
1593216000003,8,0.00010000
1593244800004,8,0.00033826
1593273600000,8,0.00014789
1593302400003,8,0.00010000
1593331200001,8,-0.00018753
1593360000000,8,0.00010000
1593388800000,8,0.00002219
1593417600005,8,-0.00072024
1593446400000,8,0.00010000
1593475200000,8,0.00010000
1593504000001,8,-0.00004921
1593532800002,8,0.00010000
1593561600002,8,0.00010000
1593590400000,8,0.00010000
1593619200000,8,0.00010000
1593648000001,8,0.00010000
1593676800001,8,0.00010000
1593705600000,8,0.00010000
1593734400000,8,0.00010944
1593763200001,8,0.00076450
1593792000000,8,0.00109458
1593820800002,8,0.00065438
1593849600002,8,0.00061731
1593878400001,8,0.00098570
1593907200000,8,0.00130310
1593936000000,8,0.00036780
1593964800000,8,0.00059605
1593993600000,8,0.00059129
1594022400001,8,0.00153798
1594051200000,8,0.00159245
1594080000000,8,0.00062690
1594108800006,8,0.00158621
1594137600000,8,0.00071024
1594166400000,8,0.00050162
1594195200000,8,0.00126190
1594224000000,8,0.00029944
1594252800001,8,0.00016018
1594281600002,8,0.00091873
1594310400000,8,0.00101877
1594339200000,8,0.00085828
1594368000001,8,0.00010000
1594396800000,8,0.00010766
1594425600000,8,0.00046350
1594454400000,8,0.00061265
1594483200000,8,0.00061997
1594512000000,8,0.00048081
1594540800000,8,0.00051566
1594569600000,8,0.00033297
1594598400000,8,0.00034144
1594627200001,8,0.00174256
1594656000000,8,0.00119477
1594684800001,8,0.00010000
1594713600000,8,0.00010000
1594742400000,8,0.00026585
1594771200000,8,0.00090868
1594800000000,8,0.00141175
1594828800000,8,0.00031150
1594857600000,8,0.00010864
1594886400002,8,0.00010000
1594915200001,8,0.00010000
1594944000001,8,0.00010000
1594972800000,8,0.00010000
1595001600000,8,0.00010000
1595030400003,8,0.00010000
1595059200001,8,0.00010000
1595088000000,8,0.00010000
1595116800000,8,0.00010000
1595145600000,8,0.00010000
1595174400000,8,0.00010000
1595203200000,8,0.00010000
1595232000000,8,0.00034145
1595260800001,8,0.00010000
1595289600000,8,0.00010000
1595318400001,8,0.00010000
1595347200004,8,0.00010000
1595376000000,8,0.00010000
1595404800000,8,0.00053073
1595433600000,8,0.00053743
1595462400001,8,0.00075900
1595491200000,8,0.00032380
1595520000001,8,0.00010000
1595548800000,8,0.00059623
1595577600000,8,0.00065543
1595606400000,8,0.00010000
1595635200000,8,0.00010000
1595664000001,8,0.00010000
1595692800000,8,0.00095076
1595721600000,8,0.00049556
1595750400000,8,0.00089967
1595779200000,8,0.00042176
1595808000000,8,0.00097207
1595836800000,8,0.00083765
1595865600000,8,0.00019709
1595894400000,8,0.00010000
1595923200001,8,0.00010000
1595952000000,8,0.00010000
1595980800000,8,0.00010000
1596009600000,8,0.00055568
1596038400000,8,0.00010000
1596067200000,8,0.00071830
1596096000001,8,0.00103519
1596124800000,8,0.00083542
1596153600000,8,0.00109128
1596182400001,8,0.00013858
1596211200000,8,0.00083551
1596240000005,8,0.00060326
1596268800000,8,0.00102958
1596297600001,8,0.00050617
1596326400000,8,0.00164687
1596355200001,8,0.00088551
1596384000001,8,0.00010000
1596412800000,8,0.00010000
1596441600001,8,0.00032981
1596470400000,8,0.00032022
1596499200003,8,0.00012085
1596528000000,8,0.00010000
1596556800000,8,0.00019518
1596585600000,8,0.00044337
1596614400000,8,0.00093391
1596643200000,8,0.00110611
1596672000000,8,0.00089041
1596700800007,8,0.00130233
1596729600000,8,0.00058678
1596758400001,8,0.00054724
1596787200000,8,0.00091151
1596816000000,8,0.00081299
1596844800000,8,0.00010000
1596873600000,8,0.00010000
1596902400000,8,0.00048330
1596931200000,8,0.00060598
