calc_time,funding_interval_hours,last_funding_rate
1579075200000,8,0.00010000
1579104000000,8,0.00313699
1579132800000,8,0.00093364
1579161600000,8,0.00010000
1579190400000,8,0.00010000
1579219200000,8,0.00010000
1579248000000,8,0.00010000
1579276800000,8,0.00010000
1579305600001,8,0.00046945
1579334400001,8,0.00010000
1579363200000,8,0.00046607
1579392000000,8,0.00077247
1579420800000,8,0.00021337
1579449600000,8,0.00010000
1579478400000,8,0.00010000
1579507200000,8,0.00010000
1579536000000,8,0.00010000
1579564800000,8,0.00010000
1579593600000,8,0.00010000
1579622400000,8,0.00010000
1579651200000,8,0.00010000
1579680000001,8,0.00010000
1579708800000,8,0.00010000
1579737600000,8,0.00010000
1579766400000,8,0.00010000
1579795200000,8,0.00010000
1579824000000,8,0.00010000
1579852800000,8,0.00010000
1579881600001,8,0.00010000
1579910400000,8,0.00010000
1579939200000,8,0.00010000
1579968000001,8,0.00010000
1579996800000,8,0.00010000
1580025600000,8,0.00010000
1580054400000,8,0.00010000
1580083200000,8,0.00010000
1580112000001,8,0.00010000
1580140800000,8,0.00010000
1580169600000,8,0.00010000
1580198400000,8,0.00010000
1580227200000,8,0.00010000
1580256000001,8,0.00010000
1580284800000,8,0.00010000
1580313600002,8,0.00010000
1580342400000,8,0.00010000
1580371200000,8,0.00010000
1580400000000,8,0.00010000
1580428800000,8,0.00010000
1580457600000,8,0.00010000
1580486400000,8,0.00010000
1580515200000,8,0.00019956
1580544000000,8,0.00013914
1580572800000,8,0.00011643
1580601600000,8,0.00071470
1580630400000,8,0.00100833
1580659200000,8,0.00124351
1580688000000,8,0.00023780
1580716800000,8,0.00010000
1580745600000,8,0.00051842
1580774400000,8,0.00010000
1580803200001,8,0.00023887
1580832000000,8,0.00064624
1580860800002,8,0.00017670
1580889600000,8,0.00050543
1580918400000,8,0.00151995
1580947200000,8,0.00063163
1580976000000,8,0.00043383
1581004800000,8,0.00068275
1581033600000,8,0.00076495
1581062400000,8,0.00125067
1581091200001,8,0.00028880
1581120000000,8,0.00033397
1581148800000,8,0.00032191
1581177600000,8,0.00116301
1581206400000,8,0.00112580
1581235200000,8,0.00133755
1581264000000,8,0.00125801
1581292800000,8,0.00148579
1581321600000,8,0.00125974
1581350400009,8,0.00054978
1581379200000,8,0.00024375
1581408000000,8,0.00060200
1581436800000,8,0.00060274
1581465600000,8,0.00185782
1581494400001,8,0.00342654
1581523200000,8,0.00183306
1581552000001,8,0.00142871
1581580800000,8,0.00187535
1581609600000,8,0.00074497
1581638400000,8,0.00045364
1581667200000,8,0.00036224
1581696000000,8,0.00038880
1581724800000,8,0.00052674
1581753600000,8,0.00053469
1581782400000,8,0.00039078
1581811200000,8,0.00010000
1581840000000,8,0.00010000
1581868800000,8,0.00010000
1581897600000,8,0.00010000
1581926400000,8,0.00010000
1581955200000,8,0.00010000
1581984000000,8,0.00010000
1582012800000,8,0.00010000
1582041600000,8,0.00013488
1582070400000,8,0.00010000
1582099200001,8,0.00023872
1582128000000,8,0.00064886
1582156800004,8,0.00010000
1582185600000,8,0.00010000
1582214400000,8,0.00010000
1582243200000,8,0.00010000
1582272000000,8,0.00010000
1582300800000,8,0.00010000
1582329600000,8,0.00010000
1582358400001,8,0.00010000
1582387200000,8,0.00010000
1582416000000,8,0.00010000
1582444800000,8,0.00013647
1582473600000,8,0.00030716
1582502400015,8,0.00053349
1582531200000,8,0.00035498
1582560000000,8,0.00045846
1582588800001,8,0.00010000
1582617600000,8,0.00010000
1582646400001,8,0.00010000
1582675200000,8,0.00010000
1582704000001,8,0.00010000
1582732800000,8,0.00010000
1582761600001,8,0.00010000
1582790400001,8,0.00010000
1582819200000,8,0.00010000
1582848000000,8,0.00010000
1582876800000,8,0.00010000
1582905600000,8,0.00010000
1582934400000,8,0.00018953
1582963200000,8,0.00010000
1582992000000,8,0.00010000
1583020800000,8,0.00040267
1583049600000,8,0.00010000
1583078400001,8,0.00010000
1583107200000,8,0.00010000
1583136000000,8,0.00010000
1583164800004,8,0.00010000
1583193600000,8,0.00010000
1583222400003,8,0.00010000
1583251200000,8,0.00010000
1583280000002,8,0.00010000
1583308800000,8,0.00010000
1583337600001,8,0.00010000
1583366400000,8,0.00010000
1583395200000,8,0.00010000
1583424000000,8,0.00010000
1583452800003,8,0.00010000
1583481600000,8,0.00010000
1583510400000,8,0.00010000
1583539200000,8,0.00010000
1583568000001,8,0.00010000
1583596800000,8,0.00017750
1583625600001,8,0.00010000
1583654400000,8,0.00010000
1583683200006,8,0.00010000
1583712000000,8,0.00010000
1583740800000,8,0.00010000
1583769600000,8,0.00010000
1583798400000,8,0.00010000
1583827200000,8,0.00010000
1583856000000,8,0.00010000
1583884800001,8,0.00010000
1583913600000,8,0.00010000
1583942400000,8,0.00010000
1583971200001,8,0.00010000
1584000000001,8,0.00010000
1584028800000,8,-0.00102229
1584057600000,8,-0.00037792
1584086400000,8,-0.00257234
1584115200002,8,-0.00116014
1584144000000,8,-0.00048808
1584172800001,8,-0.00001942
1584201600000,8,0.00010000
1584230400000,8,0.00010000
1584259200000,8,0.00010000
1584288000001,8,-0.00098358
1584316800000,8,-0.00000671
1584345600000,8,0.00010000
1584374400001,8,4.3E-7
1584403200000,8,0.00009979
1584432000000,8,0.00010000
1584460800000,8,0.00010000
1584489600000,8,0.00010000
1584518400000,8,0.00006775
1584547200000,8,0.00010000
1584576000000,8,0.00010000
1584604800000,8,0.00010000
1584633600000,8,0.00010000
1584662400000,8,0.00010000
1584691200000,8,0.00010000
1584720000000,8,0.00010000
1584748800000,8,0.00010000
1584777600000,8,-0.00010411
1584806400000,8,0.00010000
1584835200000,8,0.00010000
1584864000001,8,0.00010000
1584892800000,8,0.00010000
1584921600000,8,0.00010000
1584950400000,8,0.00010000
1584979200000,8,0.00010000
1585008000000,8,0.00010000
1585036800000,8,0.00010000
1585065600000,8,0.00010000
1585094400000,8,0.00010000
1585123200000,8,0.00010000
1585152000001,8,0.00010000
1585180800006,8,0.00000687
1585209600002,8,0.00010000
1585238400000,8,-0.00007444
1585267200000,8,0.00010000
1585296000000,8,0.00010000
1585324800000,8,0.00010000
1585353600000,8,0.00010000
1585382400000,8,0.00010000
1585411200000,8,0.00010000
1585440000000,8,0.00010000
1585468800001,8,-0.00028366
1585497600000,8,0.00010000
1585526400000,8,0.00010000
1585555200000,8,0.00010000
1585584000000,8,0.00010000
1585612800000,8,-0.00063509
1585641600001,8,0.00005448
1585670400001,8,0.00010000
1585699200002,8,0.00010000
1585728000000,8,0.00010000
