calc_time,funding_interval_hours,last_funding_rate
1581667200000,8,0.00010000
1581696000000,8,0.00165327
1581724800000,8,0.00429081
1581753600000,8,0.00167405
1581782400000,8,0.00058146
1581811200000,8,0.00031205
1581840000000,8,0.00010000
1581868800000,8,0.00010000
1581897600000,8,0.00010000
1581926400000,8,0.00010000
1581955200000,8,0.00010000
1581984000000,8,0.00010000
1582012800000,8,0.00080113
1582041600000,8,0.00010000
1582070400000,8,0.00010000
1582099200001,8,0.00010000
1582128000000,8,0.00010000
1582156800004,8,0.00010000
1582185600000,8,0.00010000
1582214400000,8,0.00010000
1582243200000,8,0.00010000
1582272000000,8,0.00175389
1582300800000,8,0.00115086
1582329600000,8,0.00010000
1582358400001,8,-0.00000573
1582387200000,8,0.00010000
1582416000000,8,0.00010000
1582444800000,8,0.00010000
1582473600000,8,0.00010000
1582502400015,8,0.00010000
1582531200000,8,0.00010000
1582560000000,8,0.00014657
1582588800001,8,0.00064750
1582617600000,8,0.00010000
1582646400001,8,0.00010000
1582675200000,8,0.00010000
1582704000001,8,0.00010000
1582732800000,8,0.00010000
1582761600001,8,0.00122299
1582790400001,8,0.00126239
1582819200000,8,0.00010000
1582848000000,8,0.00010000
1582876800000,8,0.00010000
1582905600000,8,0.00010000
1582934400000,8,0.00010000
1582963200000,8,0.00010000
1582992000000,8,0.00010000
1583020800000,8,0.00010000
1583049600000,8,0.00010000
1583078400001,8,0.00010000
1583107200000,8,0.00010000
1583136000000,8,0.00017530
1583164800004,8,0.00106533
1583193600000,8,0.00045586
1583222400003,8,-0.00000275
1583251200000,8,0.00010000
1583280000002,8,0.00089496
1583308800000,8,0.00010000
1583337600001,8,0.00010000
1583366400000,8,0.00010000
1583395200000,8,0.00010000
1583424000000,8,0.00010000
1583452800003,8,0.00010000
1583481600000,8,0.00010000
1583510400000,8,0.00010000
1583539200000,8,0.00010000
1583568000001,8,0.00010000
1583596800000,8,0.00010000
1583625600001,8,0.00015741
1583654400000,8,0.00010000
1583683200006,8,0.00010000
1583712000000,8,0.00010000
1583740800000,8,0.00010000
1583769600000,8,0.00010000
1583798400000,8,0.00010000
1583827200000,8,0.00010000
1583856000000,8,0.00010000
1583884800001,8,0.00010000
1583913600000,8,0.00010000
1583942400000,8,0.00010000
1583971200001,8,0.00010000
1584000000001,8,0.00010000
1584028800000,8,-0.00017828
1584057600000,8,-0.00022138
1584086400000,8,-0.00729492
1584115200002,8,-0.00269677
1584144000000,8,-0.00079599
1584172800001,8,-0.00074867
1584201600000,8,-0.00076750
1584230400000,8,0.00010000
1584259200000,8,0.00010000
1584288000001,8,0.00010000
1584316800000,8,0.00010000
1584345600000,8,0.00010000
1584374400001,8,-0.00004043
1584403200000,8,-0.00002606
1584432000000,8,0.00010000
1584460800000,8,0.00010000
1584489600000,8,0.00010000
1584518400000,8,-0.00111732
1584547200000,8,-0.00100708
1584576000000,8,-0.00014647
1584604800000,8,0.00010000
1584633600000,8,0.00010000
1584662400000,8,0.00010000
1584691200000,8,0.00010000
1584720000000,8,0.00010000
1584748800000,8,0.00010000
1584777600000,8,0.00010000
1584806400000,8,0.00010000
1584835200000,8,0.00010000
1584864000001,8,0.00010000
1584892800000,8,0.00010000
1584921600000,8,0.00010000
1584950400000,8,0.00010000
1584979200000,8,0.00010000
1585008000000,8,0.00010000
1585036800000,8,0.00010000
1585065600000,8,0.00010000
1585094400000,8,0.00010000
1585123200000,8,-0.00025547
1585152000001,8,-0.00001495
1585180800006,8,0.00010000
1585209600002,8,-0.00025484
1585238400000,8,-0.00040093
1585267200000,8,0.00010000
1585296000000,8,0.00007050
1585324800000,8,0.00010000
1585353600000,8,0.00010000
1585382400000,8,0.00010000
1585411200000,8,-0.00007319
1585440000000,8,-0.00032787
1585468800001,8,-0.00000522
1585497600000,8,0.00010000
1585526400000,8,0.00010000
1585555200000,8,0.00010000
1585584000000,8,0.00002473
1585612800000,8,-0.00019571
1585641600001,8,-0.00110560
1585670400001,8,-0.00087347
1585699200002,8,-0.00061470
1585728000000,8,-0.00095836
1585756800001,8,-0.00000727
1585785600000,8,0.00010000
1585814400000,8,-0.00035038
1585843200000,8,-0.00025335
1585872000000,8,-0.00021781
1585900800000,8,0.00010000
1585929600000,8,0.00010000
1585958400000,8,0.00010000
1585987200000,8,0.00010000
1586016000000,8,0.00010000
1586044800001,8,0.00010000
1586073600000,8,0.00010000
1586102400000,8,0.00010000
1586131200000,8,0.00010000
1586160000000,8,0.00001622
1586188800000,8,0.00005557
1586217600000,8,-0.00022883
1586246400000,8,-0.00074487
1586275200000,8,0.00010000
1586304000000,8,0.00010000
1586332800000,8,0.00010000
1586361600000,8,0.00010000
1586390400000,8,0.00010000
1586419200001,8,0.00010000
1586448000000,8,0.00094731
1586476800001,8,0.00010000
1586505600000,8,0.00010000
1586534400000,8,0.00010000
1586563200000,8,0.00010000
1586592000000,8,0.00010000
1586620800000,8,0.00010000
1586649600000,8,0.00010000
1586678400006,8,0.00010000
1586707200001,8,0.00103642
1586736000001,8,0.00010000
1586764800000,8,0.00010000
1586793600000,8,0.00010000
1586822400000,8,0.00010000
1586851200000,8,0.00010000
1586880000000,8,0.00010000
1586908800000,8,0.00010000
1586937600000,8,0.00010000
1586966400000,8,0.00010000
1586995200000,8,0.00010000
1587024000000,8,0.00015464
1587052800000,8,0.00007506
1587081600000,8,0.00010000
1587110400000,8,-0.00074344
1587139200000,8,0.00007716
1587168000000,8,0.00010000
1587196800000,8,0.00009110
1587225600000,8,0.00010000
1587254400000,8,0.00010000
1587283200000,8,0.00010000
1587312000000,8,0.00010000
1587340800000,8,0.00010000
1587369600000,8,0.00010000
1587398400000,8,0.00010000
1587427200000,8,0.00010000
1587456000001,8,0.00010000
1587484800000,8,0.00010000
1587513600001,8,0.00010000
1587542400000,8,0.00010000
1587571200000,8,0.00010000
1587600000000,8,0.00010000
1587628800001,8,0.00010000
1587657600000,8,0.00010000
1587686400000,8,0.00034585
1587715200000,8,0.00030961
1587744000000,8,0.00010000
1587772800003,8,0.00026956
1587801600000,8,0.00033918
1587830400000,8,0.00062790
1587859200000,8,-0.00014609
1587888000000,8,0.00010000
1587916800000,8,0.00010000
1587945600000,8,0.00010000
1587974400005,8,0.00010000
1588003200000,8,0.00010000
1588032000000,8,0.00004999
1588060800000,8,0.00004358
1588089600000,8,0.00010000
1588118400000,8,0.00010000
1588147200001,8,0.00010000
1588176000000,8,0.00046438
1588204800000,8,0.00010000
1588233600000,8,0.00032315
1588262400000,8,0.00010000
1588291200000,8,0.00010000
1588320000000,8,0.00074458
1588348800000,8,0.00010000
1588377600000,8,0.00010000
1588406400000,8,0.00035718
1588435200000,8,0.00010000
1588464000000,8,0.00021791
1588492800000,8,0.00010000
1588521600000,8,0.00010000
1588550400000,8,0.00010000
1588579200005,8,0.00010000
1588608000000,8,0.00119876
1588636800000,8,0.00025463
1588665600000,8,0.00010000
1588694400000,8,0.00027166
1588723200001,8,0.00010000
1588752000000,8,0.00010000
1588780800000,8,0.00010000
1588809600000,8,0.00010000
1588838400011,8,0.00010000
1588867200000,8,0.00010000
1588896000000,8,0.00010000
1588924800001,8,0.00010000
1588953600000,8,0.00010000
1588982400000,8,0.00029022
1589011200000,8,0.00040079
1589040000000,8,0.00082016
1589068800000,8,0.00038670
1589097600000,8,0.00010000
1589126400000,8,0.00010000
1589155200000,8,0.00010000
1589184000000,8,0.00010000
1589212800000,8,0.00010000
1589241600000,8,0.00010000
1589270400001,8,0.00010000
1589299200000,8,0.00010000
1589328000000,8,0.00010000
1589356800000,8,0.00010000
1589385600000,8,0.00010000
1589414400000,8,0.00010000
1589443200000,8,0.00010000
1589472000000,8,0.00010000
1589500800000,8,0.00010000
1589529600000,8,0.00010000
1589558400001,8,0.00010000
1589587200008,8,0.00010000
1589616000000,8,0.00010000
1589644800000,8,0.00010000
1589673600002,8,0.00010000
1589702400000,8,0.00012942
1589731200000,8,0.00010000
1589760000000,8,0.00010000
1589788800000,8,0.00027159
1589817600001,8,0.00028476
1589846400005,8,0.00068055
1589875200000,8,0.00077173
1589904000000,8,0.00031919
1589932800000,8,0.00029619
1589961600000,8,0.00010000
1589990400006,8,0.00010000
1590019200000,8,0.00010000
