calc_time,funding_interval_hours,last_funding_rate
1601510400000,8,0.00019903
1601539200000,8,0.00010000
1601568000000,8,0.00010000
1601596800011,8,0.00010000
1601625600000,8,0.00010000
1601654400005,8,0.00010000
1601683200000,8,0.00010000
1601712000001,8,0.00010000
1601740800000,8,0.00010000
1601769600000,8,0.00010000
1601798400003,8,0.00010000
1601827200001,8,0.00010000
1601856000000,8,0.00010000
1601884800000,8,0.00010000
1601913600012,8,0.00010000
1601942400000,8,0.00010000
1601971200005,8,0.00010000
1602000000000,8,0.00010000
1602028800000,8,0.00010000
1602057600000,8,0.00010000
1602086400000,8,0.00010000
1602115200000,8,0.00010000
1602144000009,8,0.00010000
1602172800003,8,0.00010000
1602201600001,8,0.00010000
1602230400000,8,0.00010000
1602259200004,8,0.00010000
1602288000005,8,0.00010000
1602316800000,8,0.00010000
1602345600011,8,0.00010000
1602374400002,8,0.00010000
1602403200003,8,0.00010000
1602432000004,8,0.00010000
1602460800001,8,0.00010000
1602489600000,8,0.00010000
1602518400011,8,0.00010000
1602547200003,8,0.00010000
1602576000000,8,0.00010000
1602604800001,8,0.00010000
1602633600001,8,0.00010000
1602662400000,8,0.00010000
1602691200001,8,0.00010000
1602720000000,8,0.00010000
1602748800000,8,0.00010000
1602777600000,8,0.00010000
1602806400002,8,0.00010000
1602835200003,8,0.00010000
1602864000000,8,-0.00325268
1602892800006,8,-0.00097252
1602921600007,8,-0.00158571
1602950400009,8,-0.00219129
1602979200006,8,-0.00073524
1603008000000,8,-0.00083937
1603036800000,8,0.00010000
1603065600000,8,-0.00039077
1603094400000,8,0.00010000
1603123200000,8,-0.00060290
1603152000015,8,0.00010000
1603180800000,8,0.00010000
1603209600008,8,0.00010000
1603238400009,8,-0.00165275
1603267200004,8,0.00010000
1603296000000,8,-0.00075736
1603324800000,8,0.00010000
1603353600000,8,0.00010000
1603382400004,8,0.00010000
1603411200007,8,0.00010000
1603440000000,8,0.00010000
1603468800000,8,-0.00063854
1603497600000,8,0.00010000
1603526400000,8,0.00010000
1603555200008,8,-0.00041069
1603584000005,8,0.00010000
1603612800014,8,0.00010000
1603641600000,8,-0.00147760
1603670400004,8,-0.00028563
1603699200000,8,0.00010000
1603728000000,8,0.00010000
1603756800000,8,0.00010075
1603785600000,8,0.00010000
1603814400000,8,0.00014427
1603843200000,8,0.00010000
1603872000006,8,0.00010000
1603900800001,8,0.00010000
1603929600000,8,-0.00017941
1603958400000,8,0.00010000
1603987200000,8,0.00010000
1604016000000,8,-0.00047470
1604044800002,8,-0.00090280
1604073600002,8,-0.00158833
1604102400003,8,-0.00051180
1604131200000,8,-0.00069818
1604160000000,8,-0.00078155
1619827200002,8,0.00010000
1619856000006,8,0.00010000
1619884800000,8,0.00010000
1619913600010,8,0.00022311
1619942400011,8,0.00010000
1619971200007,8,0.00010000
1620000000003,8,0.00014332
1620028800000,8,0.00036318
1620057600043,8,-0.00125709
1620086400004,8,0.00010000
1620115200003,8,0.00010000
1620144000011,8,0.00080237
1620172800001,8,0.00010000
1620201600007,8,0.00010000
1620230400001,8,0.00047727
1620259200003,8,0.00010000
1620288000001,8,0.00124035
1620316800000,8,0.00197615
1620345600000,8,0.00010000
1620374400000,8,0.00027754
1620403200001,8,0.00012698
1620432000006,8,0.00010000
1620460800000,8,0.00010000
1620489600000,8,0.00010000
1620518400005,8,0.00010000
1620547200016,8,0.00029105
1620576000000,8,0.00029309
1620604800004,8,0.00015326
1620633600000,8,0.00058046
1620662400013,8,0.00096246
1620691200000,8,0.00010000
1620720000000,8,0.00010000
1620748800002,8,0.00010000
1620777600004,8,0.00010000
1620806400007,8,0.00010000
1620835200012,8,0.00010000
1620864000016,8,-0.00021142
1620892800000,8,0.00010000
1620921600008,8,-0.00001780
1620950400007,8,0.00010000
1620979200001,8,0.00010000
1621008000004,8,0.00010000
1621036800022,8,0.00010000
1621065600014,8,0.00010000
1621094400002,8,0.00010000
1621123200000,8,0.00010000
1621152000003,8,0.00010000
1621180800002,8,0.00010000
1621209600005,8,0.00010000
1621238400001,8,0.00010000
1621267200000,8,0.00010000
1621296000019,8,0.00010000
1621324800001,8,0.00010000
1621353600006,8,0.00010000
1621382400000,8,0.00010000
1621411200003,8,0.00010000
1621440000018,8,-0.00665814
1621468800005,8,-0.00045159
1621497600000,8,-0.00052826
1621526400005,8,0.00010000
1621555200000,8,-0.00041861
1621584000000,8,-0.00024040
1621612800001,8,-0.00047207
1621641600001,8,-0.00101368
1621670400002,8,-0.00025381
1621699200005,8,0.00010000
1621728000006,8,-0.00015764
1621756800004,8,-0.00006758
1621785600002,8,-0.00045964
1621814400007,8,-0.00036524
1621843200005,8,-0.00047540
1621872000005,8,-0.00038224
1621900800000,8,-0.00041131
1621929600014,8,-0.00079247
1621958400000,8,-0.00048857
1621987200022,8,-0.00054504
1622016000018,8,-0.00007045
1622044800004,8,-0.00017920
1622073600000,8,-0.00066061
1622102400017,8,-0.00013162
1622131200000,8,-0.00013268
1622160000005,8,-0.00002146
1622188800009,8,-0.00024180
1622217600000,8,0.00010000
1622246400006,8,-0.00018664
1622275200000,8,0.00006147
1622304000000,8,0.00010000
1622332800003,8,-0.00043075
1622361600004,8,0.00000865
1622390400018,8,0.00010000
1622419200002,8,0.00005100
1622448000000,8,0.00010000
1622476800000,8,0.00010000
1630454400000,8,0.00010000
1630483200006,8,-0.00012170
1630512000000,8,-0.00006145
1630540800009,8,-0.00088024
1630569600006,8,-0.00088514
1630598400007,8,0.00010000
1630627200011,8,0.00034556
1630656000000,8,0.00014206
1630684800002,8,0.00010000
1630713600003,8,0.00010000
1630742400008,8,0.00039950
1630771200009,8,0.00012770
1630800000002,8,0.00010818
1630828800002,8,0.00021271
1630857600000,8,0.00067322
1630886400003,8,0.00044429
1630915200008,8,0.00071874
1630944000009,8,0.00012913
1630972800004,8,0.00010000
1631001600002,8,0.00026552
1631030400001,8,-0.00401687
1631059200005,8,0.00004393
1631088000000,8,0.00010000
1631116800000,8,0.00010000
1631145600006,8,0.00010000
1631174400014,8,0.00010000
1631203200002,8,0.00010000
1631232000001,8,0.00010000
1631260800018,8,0.00010000
