calc_time,funding_interval_hours,last_funding_rate
1579449600000,8,0.00010000
1579478400000,8,0.00010000
1579507200000,8,0.00010000
1579536000000,8,0.00010000
1579564800000,8,0.00010000
1579593600000,8,0.00010000
1579622400000,8,0.00010000
1579651200000,8,0.00010000
1579680000001,8,0.00010000
1579708800000,8,0.00010000
1579737600000,8,0.00010000
1579766400000,8,0.00010000
1579795200000,8,0.00010000
1579824000000,8,0.00010000
1579852800000,8,0.00010000
1579881600001,8,0.00010000
1579910400000,8,0.00010000
1579939200000,8,0.00010000
1579968000001,8,0.00010000
1579996800000,8,0.00010000
1580025600000,8,0.00010000
1580054400000,8,0.00010000
1580083200000,8,0.00010000
1580112000001,8,0.00010000
1580140800000,8,0.00010000
1580169600000,8,0.00010000
1580198400000,8,0.00010000
1580227200000,8,0.00010000
1580256000001,8,0.00010000
1580284800000,8,0.00010000
1580313600002,8,0.00010000
1580342400000,8,0.00010000
1580371200000,8,0.00010000
1580400000000,8,0.00010000
1580428800000,8,0.00010000
1580457600000,8,0.00010000
1580486400000,8,0.00010000
1580515200000,8,0.00028825
1580544000000,8,0.00172479
1580572800000,8,0.00138881
1580601600000,8,0.00017866
1580630400000,8,0.00010000
1580659200000,8,0.00010000
1580688000000,8,0.00010000
1580716800000,8,0.00010000
1580745600000,8,0.00010000
1580774400000,8,0.00010000
1580803200001,8,0.00010000
1580832000000,8,0.00023926
1580860800002,8,0.00011405
1580889600000,8,0.00010000
1580918400000,8,0.00054619
1580947200000,8,0.00132826
1580976000000,8,0.00222648
1581004800000,8,0.00112521
1581033600000,8,0.00115874
1581062400000,8,0.00106528
1581091200001,8,0.00127669
1581120000000,8,0.00181912
1581148800000,8,0.00156856
1581177600000,8,0.00183500
1581206400000,8,0.00169221
1581235200000,8,0.00173212
1581264000000,8,0.00125957
1581292800000,8,0.00163851
1581321600000,8,0.00089207
1581350400009,8,0.00110335
1581379200000,8,0.00036643
1581408000000,8,0.00057950
1581436800000,8,0.00030573
1581465600000,8,0.00046200
1581494400001,8,0.00185711
1581523200000,8,0.00138401
1581552000001,8,0.00207113
1581580800000,8,0.00182196
1581609600000,8,0.00176818
1581638400000,8,0.00078438
1581667200000,8,0.00053637
1581696000000,8,0.00141917
1581724800000,8,0.00144392
1581753600000,8,0.00214551
1581782400000,8,0.00189974
1581811200000,8,0.00071869
1581840000000,8,0.00014895
1581868800000,8,0.00010000
1581897600000,8,0.00010000
1581926400000,8,0.00010000
1581955200000,8,0.00010000
1581984000000,8,0.00010000
1582012800000,8,0.00010000
1582041600000,8,0.00013118
1582070400000,8,0.00010000
1582099200001,8,0.00010000
1582128000000,8,0.00010000
1582156800004,8,0.00010000
1582185600000,8,0.00010000
1582214400000,8,0.00010000
1582243200000,8,0.00010000
1582272000000,8,0.00010000
1582300800000,8,0.00010000
1582329600000,8,0.00010000
1582358400001,8,0.00010000
1582387200000,8,0.00010000
1582416000000,8,0.00010000
1582444800000,8,0.00010000
1582473600000,8,0.00010000
1582502400015,8,0.00010000
1582531200000,8,0.00010000
1582560000000,8,0.00010000
1582588800001,8,0.00010000
1582617600000,8,0.00010000
1582646400001,8,0.00010000
1582675200000,8,0.00027529
1582704000001,8,0.00010000
1582732800000,8,0.00010000
1582761600001,8,0.00010000
1582790400001,8,0.00010000
1582819200000,8,0.00010000
1582848000000,8,0.00010000
1582876800000,8,0.00010000
1582905600000,8,0.00033816
1582934400000,8,0.00010000
1582963200000,8,0.00062992
1582992000000,8,0.00027063
1583020800000,8,0.00010000
1583049600000,8,0.00036824
1583078400001,8,0.00053043
1583107200000,8,0.00019735
1583136000000,8,0.00031202
1583164800004,8,0.00048322
1583193600000,8,0.00010000
1583222400003,8,0.00010000
1583251200000,8,0.00015909
1583280000002,8,0.00010000
1583308800000,8,0.00112036
1583337600001,8,0.00040273
1583366400000,8,0.00010000
1583395200000,8,0.00065280
1583424000000,8,0.00012804
1583452800003,8,0.00010000
1583481600000,8,0.00064016
1583510400000,8,0.00059602
1583539200000,8,0.00079418
1583568000001,8,0.00087655
1583596800000,8,0.00036173
1583625600001,8,0.00010000
1583654400000,8,0.00017779
1583683200006,8,0.00010000
1583712000000,8,0.00010000
1583740800000,8,0.00010000
1583769600000,8,0.00010000
1583798400000,8,0.00010000
1583827200000,8,0.00010000
1583856000000,8,0.00010000
1583884800001,8,0.00010000
1583913600000,8,0.00010000
1583942400000,8,0.00010000
1583971200001,8,0.00010000
1584000000001,8,0.00010000
1584028800000,8,-0.00012660
1584057600000,8,-0.00003471
1584086400000,8,0.00010000
1584115200002,8,0.00010000
1584144000000,8,0.00010000
1584172800001,8,0.00010000
1584201600000,8,0.00007226
1584230400000,8,0.00010000
1584259200000,8,0.00010000
1584288000001,8,0.00010000
1584316800000,8,0.00010000
1584345600000,8,-0.00017085
1584374400001,8,-0.00014356
1584403200000,8,0.00010000
1584432000000,8,0.00010000
1584460800000,8,0.00005626
1584489600000,8,0.00010000
1584518400000,8,-0.00134546
1584547200000,8,-0.00240728
1584576000000,8,-0.00108031
1584604800000,8,0.00010000
1584633600000,8,0.00010000
1584662400000,8,0.00010000
1584691200000,8,0.00010000
1584720000000,8,0.00010000
1584748800000,8,0.00005569
1584777600000,8,0.00010000
1584806400000,8,0.00010000
1584835200000,8,-0.00015758
1584864000001,8,0.00006109
1584892800000,8,0.00010000
1584921600000,8,0.00005940
1584950400000,8,0.00010000
1584979200000,8,0.00010000
1585008000000,8,-0.00001902
1585036800000,8,-0.00035908
1585065600000,8,-0.00042337
1585094400000,8,-0.00014215
1585123200000,8,0.00010000
1585152000001,8,0.00010000
1585180800006,8,-0.00042581
1585209600002,8,-0.00102275
1585238400000,8,-0.00062768
1585267200000,8,0.00010000
1585296000000,8,-0.00002985
1585324800000,8,-0.00010548
1585353600000,8,-0.00010882
1585382400000,8,0.00010000
1585411200000,8,-0.00035980
1585440000000,8,0.00010000
1585468800001,8,0.00010000
1585497600000,8,0.00010000
1585526400000,8,0.00010000
1585555200000,8,0.00010000
1585584000000,8,-0.00001708
1585612800000,8,-0.00062293
1585641600001,8,0.00010000
1585670400001,8,0.00010000
1585699200002,8,-0.00019638
1585728000000,8,-0.00023523
1585756800001,8,-0.00013235
1585785600000,8,0.00000830
1585814400000,8,0.00010000
1585843200000,8,0.00007949
1585872000000,8,0.00010000
1585900800000,8,0.00010000
1585929600000,8,0.00010000
1585958400000,8,0.00010000
1585987200000,8,0.00010000
1586016000000,8,0.00010000
1586044800001,8,0.00010000
1586073600000,8,0.00010000
1586102400000,8,0.00010000
1586131200000,8,0.00008179
1586160000000,8,0.00004290
1586188800000,8,-0.00031090
1586217600000,8,-0.00045809
1586246400000,8,0.00010000
1586275200000,8,0.00010000
1586304000000,8,0.00010000
1586332800000,8,0.00010000
1586361600000,8,0.00010000
1586390400000,8,0.00010000
1586419200001,8,0.00010000
1586448000000,8,0.00010000
1586476800001,8,0.00010000
1586505600000,8,0.00010000
1586534400000,8,0.00010000
1586563200000,8,0.00000517
1586592000000,8,0.00010000
1586620800000,8,-0.00002325
1586649600000,8,-0.00032269
1586678400006,8,-0.00027301
1586707200001,8,0.00010000
1586736000001,8,0.00010000
1586764800000,8,0.00010000
1586793600000,8,0.00010000
1586822400000,8,0.00010000
1586851200000,8,0.00006502
1586880000000,8,0.00010000
1586908800000,8,0.00010000
1586937600000,8,0.00005126
1586966400000,8,0.00004894
1586995200000,8,-0.00022656
1587024000000,8,-0.00058149
1587052800000,8,0.00010000
1587081600000,8,0.00010000
1587110400000,8,0.00006438
1587139200000,8,0.00010000
1587168000000,8,0.00010000
1587196800000,8,0.00010000
1587225600000,8,0.00010000
1587254400000,8,0.00010000
1587283200000,8,0.00010000
1587312000000,8,-0.00005326
1587340800000,8,0.00001886
1587369600000,8,0.00010000
1587398400000,8,0.00010000
1587427200000,8,0.00010000
1587456000001,8,0.00002539
1587484800000,8,-0.00011900
1587513600001,8,-0.00009456
1587542400000,8,-0.00029455
1587571200000,8,-0.00100201
1587600000000,8,-0.00013308
1587628800001,8,-0.00167930
1587657600000,8,-0.00396795
1587686400000,8,-0.00042239
1587715200000,8,0.00010000
1587744000000,8,0.00010000
1587772800003,8,0.00010000
1587801600000,8,0.00010000
1587830400000,8,0.00010000
1587859200000,8,0.00010000
1587888000000,8,0.00010000
1587916800000,8,0.00010000
1587945600000,8,0.00010000
1587974400005,8,0.00010000
1588003200000,8,0.00010000
1588032000000,8,0.00010000
1588060800000,8,-0.00033433
1588089600000,8,-0.00046293
1588118400000,8,-0.00020173
1588147200001,8,0.00010000
1588176000000,8,0.00010000
1588204800000,8,0.00010000
1588233600000,8,0.00010000
1588262400000,8,-0.00022031
1588291200000,8,0.00010000
1588320000000,8,0.00010000
1588348800000,8,0.00010000
1588377600000,8,0.00010000
1588406400000,8,0.00000301
1588435200000,8,0.00010000
1588464000000,8,0.00010000
1588492800000,8,0.00010000
1588521600000,8,0.00010000
1588550400000,8,0.00010000
1588579200005,8,0.00010000
