calc_time,funding_interval_hours,last_funding_rate
1612137600001,8,0.00158314
1612166400014,8,0.00138916
1612195200000,8,0.00128108
1612224000000,8,0.00117359
1612252800006,8,0.00129579
1612281600000,8,0.00158472
1612310400009,8,0.00232895
1612339200006,8,0.00273292
1612368000006,8,0.00255451
1612396800005,8,0.00224219
1612425600000,8,0.00185428
1612454400011,8,0.00179962
1612483200009,8,0.00168675
1612512000004,8,0.00259108
1612540800000,8,0.00297202
1612569600008,8,0.00216783
1612598400009,8,0.00096759
1612627200000,8,0.00131001
1612656000000,8,0.00130829
1612684800005,8,0.00078951
1612713600001,8,0.00110918
1612742400000,8,0.00108340
1612771200001,8,0.00125619
1612800000000,8,0.00271723
1612828800010,8,0.00286755
1612857600006,8,0.00399044
1612886400007,8,0.00241294
1612915200009,8,0.00482477
1612944000014,8,0.00409374
1612972800005,8,0.00263473
1613001600000,8,0.00154271
1613030400000,8,0.00168493
1613059200000,8,0.00377189
1613088000000,8,0.00175116
1613116800000,8,0.00168831
1613145600000,8,0.00211171
1613174400001,8,0.00260552
1613203200003,8,0.00262805
1613232000000,8,0.00097985
1613260800013,8,0.00234649
1613289600000,8,0.00165018
1613318400008,8,0.00151276
1613347200000,8,0.00106253
1613376000006,8,0.00033313
1613404800000,8,0.00080547
1613433600001,8,0.00092516
1613462400000,8,0.00141714
1613491200010,8,0.00141884
1613520000005,8,0.00083700
1613548800010,8,0.00066983
1613577600008,8,0.00182927
1613606400012,8,0.00250188
1613635200000,8,0.00262162
1613664000009,8,0.00202755
1613692800010,8,0.00181805
1613721600002,8,0.00165496
1613750400008,8,0.00441748
1613779200000,8,0.00287562
1613808000009,8,0.00396252
1613836800000,8,0.00284990
1613865600007,8,0.00021086
1613894400012,8,0.00103854
1613923200001,8,0.00126729
1613952000006,8,0.00077513
1613980800002,8,0.00051575
1614009600000,8,-0.00002727
1614038400000,8,0.00010000
1614067200006,8,0.00010000
1614096000000,8,0.00010000
1614124800012,8,0.00010000
1614153600016,8,0.00010000
1614182400011,8,0.00010000
1614211200007,8,0.00010000
1614240000000,8,0.00010000
1614268800010,8,0.00010000
1614297600000,8,0.00010000
1614326400025,8,0.00010000
1614355200010,8,0.00010000
1614384000001,8,0.00010000
1614412800000,8,0.00010000
1614441600000,8,0.00010000
1614470400021,8,0.00010000
1614499200009,8,0.00010000
1614528000000,8,0.00010000
1619827200002,8,0.00010000
1619856000006,8,0.00043659
1619884800000,8,0.00054649
1619913600010,8,0.00040024
1619942400011,8,0.00033184
1619971200007,8,0.00020462
1620000000003,8,0.00028643
1620028800000,8,0.00049609
1620057600043,8,0.00076844
1620086400004,8,0.00037536
1620115200003,8,0.00011513
1620144000011,8,0.00045522
1620172800001,8,0.00010000
1620201600007,8,0.00045597
1620230400001,8,0.00054596
1620259200003,8,0.00056801
1620288000001,8,0.00076608
1620316800000,8,0.00118012
1620345600000,8,0.00048125
1620374400000,8,0.00039185
1620403200001,8,0.00034993
1620432000006,8,0.00028908
1620460800000,8,0.00065295
1620489600000,8,0.00027562
1620518400005,8,0.00030728
1620547200016,8,0.00026326
1620576000000,8,0.00023710
1620604800004,8,0.00026701
1620633600000,8,0.00053779
1620662400013,8,0.00051135
1620691200000,8,0.00010000
1620720000000,8,0.00010000
1620748800002,8,0.00010000
1620777600004,8,0.00010000
1620806400007,8,0.00010000
1620835200012,8,0.00010000
1620864000016,8,0.00010000
1620892800000,8,0.00010000
1620921600008,8,0.00010000
1620950400007,8,0.00010000
1620979200001,8,0.00010000
1621008000004,8,0.00010000
1621036800022,8,0.00010000
1621065600014,8,0.00010000
1621094400002,8,0.00010000
1621123200000,8,0.00010000
1621152000003,8,0.00010000
1621180800002,8,0.00010000
1621209600005,8,0.00010000
1621238400001,8,0.00010000
1621267200000,8,0.00025098
1621296000019,8,0.00010000
1621324800001,8,0.00010000
