calc_time,funding_interval_hours,last_funding_rate
1614556800000,8,0.00010000
1614585600003,8,0.00010000
1614614400001,8,0.00010000
1614643200000,8,0.00010000
1614672000000,8,0.00010000
1614700800004,8,0.00010000
1614729600000,8,0.00010000
1614758400016,8,0.00010000
1614787200000,8,0.00010000
1614816000000,8,0.00010000
1614844800015,8,0.00018454
1614873600001,8,0.00010000
1614902400000,8,0.00010000
1614931200002,8,0.00010000
1614960000008,8,0.00010000
1614988800000,8,0.00010000
1615017600000,8,0.00010000
1615046400000,8,0.00025042
1615075200006,8,0.00010000
1615104000005,8,0.00010000
1615132800008,8,0.00010000
1615161600000,8,0.00025563
1615190400000,8,0.00041005
1615219200006,8,0.00108788
1615248000000,8,0.00063368
1615276800000,8,0.00078346
1615305600000,8,0.00125141
1615334400009,8,0.00088430
1615363200006,8,0.00078980
1615392000008,8,0.00070781
1615420800000,8,0.00060037
1615449600000,8,0.00037420
1615478400014,8,0.00095214
1615507200002,8,0.00094754
1615536000005,8,0.00091436
1615564800011,8,0.00059637
1615593600000,8,0.00036928
1615622400002,8,0.00015319
1615651200000,8,0.00135269
1615680000011,8,0.00124839
1615708800000,8,0.00096082
1615737600000,8,0.00116067
1615766400012,8,0.00121157
1615795200016,8,0.00119934
1615824000030,8,0.00010000
1615852800005,8,0.00010000
1615881600008,8,0.00022349
1615910400012,8,0.00010000
1615939200010,8,0.00092482
1615968000000,8,0.00061175
1615996800009,8,0.00053703
1616025600001,8,0.00108062
1616054400000,8,0.00144614
1616083200000,8,0.00173083
1616112000011,8,0.00065618
1616140800001,8,0.00059138
1616169600000,8,0.00118205
1616198400000,8,0.00062214
1616227200000,8,0.00096498
1616256000007,8,0.00127694
1616284800000,8,0.00125575
1616313600000,8,0.00054473
1616342400000,8,0.00041460
1616371200007,8,0.00056559
1616400000001,8,0.00057256
1616428800000,8,0.00077506
1616457600000,8,0.00033203
1616486400010,8,0.00010000
1616515200023,8,0.00010000
1616544000002,8,0.00010000
1616572800000,8,0.00016830
1616601600000,8,0.00010160
1616630400000,8,0.00010000
1616659200000,8,0.00010000
1616688000000,8,0.00010000
1616716800008,8,0.00010000
1616745600000,8,0.00010000
1616774400012,8,0.00010000
1616803200018,8,0.00010000
1616832000000,8,0.00010000
1616860800001,8,0.00010000
1616889600000,8,0.00010000
1616918400000,8,0.00033930
1616947200005,8,0.00042076
1616976000003,8,0.00010000
1617004800000,8,0.00024422
1617033600000,8,0.00073210
1617062400018,8,0.00069438
1617091200012,8,0.00085496
1617120000001,8,0.00110985
1617148800000,8,0.00055237
1617177600000,8,0.00127174
1617206400000,8,0.00048567
1617235200025,8,0.00165571
1617264000011,8,0.00129840
1617292800004,8,0.00143856
1617321600000,8,0.00098416
1617350400000,8,0.00128028
1617379200000,8,0.00151469
1617408000003,8,0.00243914
1617436800000,8,0.00220662
1617465600000,8,0.00220134
1617494400000,8,0.00056533
1617523200000,8,0.00074741
1617552000016,8,0.00027410
1617580800000,8,0.00107217
1617609600001,8,0.00151934
1617638400001,8,0.00208662
1617667200010,8,0.00235599
1617696000000,8,0.00215193
1617724800003,8,0.00208631
1617753600000,8,0.00096684
1617782400006,8,0.00135819
1617811200004,8,0.00052011
1617840000013,8,0.00049831
1617868800003,8,0.00050160
1617897600005,8,0.00050275
1617926400000,8,0.00086479
1617955200004,8,0.00105024
1617984000004,8,0.00098541
1618012800011,8,0.00073286
1618041600005,8,0.00184447
1618070400000,8,0.00129586
1618099200004,8,0.00099352
1618128000000,8,0.00135183
1618156800000,8,0.00216315
1618185600001,8,0.00183157
1618214400001,8,0.00264208
1618243200008,8,0.00179321
1618272000003,8,0.00179940
1618300800008,8,0.00203107
1618329600008,8,0.00259604
1618358400008,8,0.00291353
1618387200000,8,0.00408405
1618416000012,8,0.00121331
1618444800006,8,0.00123987
1618473600000,8,0.00151793
1618502400008,8,0.00290799
1618531200008,8,0.00189445
1618560000000,8,0.00209107
1618588800002,8,0.00178900
1618617600008,8,0.00172001
1618646400000,8,0.00261831
1618675200001,8,0.00201388
1618704000006,8,0.00127631
1618732800004,8,0.00010000
1618761600000,8,0.00010000
1618790400000,8,0.00010000
1618819200000,8,0.00010000
1618848000009,8,0.00010000
1618876800004,8,0.00010000
1618905600000,8,0.00010000
1618934400001,8,0.00010000
1618963200013,8,0.00010000
1618992000001,8,0.00010000
1619020800002,8,0.00010000
1619049600000,8,0.00010000
1619078400000,8,0.00010000
1619107200001,8,0.00016750
1619136000002,8,0.00010000
1619164800009,8,0.00005526
1619193600001,8,-0.00010555
1619222400019,8,0.00010000
1619251200001,8,0.00010000
1619280000011,8,0.00010000
1619308800000,8,0.00010000
1619337600010,8,0.00010000
1619366400000,8,0.00010000
1619395200003,8,0.00010000
1619424000002,8,-0.00038306
1619452800004,8,0.00010000
1619481600000,8,0.00010000
1619510400000,8,0.00010000
1619539200009,8,0.00007502
1619568000000,8,0.00010000
1619596800000,8,0.00017384
1619625600001,8,0.00010000
1619654400004,8,0.00010000
1619683200013,8,0.00010000
1619712000003,8,0.00010000
1619740800004,8,0.00010000
1619769600019,8,0.00010000
1619798400003,8,0.00010000
1622505600001,8,-0.00001672
1622534400010,8,0.00005458
1622563200010,8,-0.00008296
1622592000008,8,0.00010000
1622620800000,8,0.00008024
1622649600007,8,0.00010000
1622678400019,8,0.00010000
1622707200002,8,0.00005947
1622736000003,8,0.00010000
1622764800003,8,0.00010000
1622793600006,8,-0.00013302
1622822400002,8,-0.00009687
1622851200000,8,-0.00026661
1622880000004,8,-0.00026960
1622908800020,8,0.00001119
1622937600000,8,-0.00023127
1622966400004,8,-0.00024480
1622995200000,8,0.00008332
1623024000007,8,-0.00006505
1623052800007,8,-0.00001384
1623081600003,8,0.00010000
1623110400000,8,0.00010000
1623139200000,8,-0.00015309
1623168000002,8,-0.00031156
1623196800009,8,-0.00019168
1623225600002,8,-0.00028828
1623254400000,8,-0.00046294
1623283200007,8,-0.00014293
1623312000003,8,-0.00022232
1623340800000,8,-0.00008022
1623369600010,8,-0.00002588
1623398400007,8,-0.00001347
1623427200006,8,0.00010000
1623456000005,8,-0.00004060
1623484800000,8,0.00002515
1623513600018,8,-0.00028106
1623542400002,8,0.00009631
1623571200000,8,0.00003421
1623600000003,8,-0.00022827
1623628800000,8,-0.00010738
1623657600015,8,0.00010000
1623686400000,8,0.00009893
1623715200000,8,0.00009600
1623744000000,8,0.00010000
1623772800004,8,0.00010000
1623801600004,8,0.00010000
1623830400001,8,-0.00003615
1623859200000,8,0.00010000
1623888000004,8,0.00002910
1623916800000,8,0.00010000
1623945600002,8,0.00010000
1623974400009,8,0.00010000
1624003200014,8,0.00009331
1624032000007,8,0.00010000
1624060800003,8,0.00007568
1624089600001,8,0.00001145
1624118400000,8,0.00010000
1624147200005,8,0.00001510
1624176000000,8,-0.00000388
1624204800002,8,-0.00011489
1624233600019,8,0.00000139
1624262400000,8,0.00009000
1624291200024,8,-0.00009865
1624320000008,8,-0.00007194
1624348800009,8,-0.00008030
1624377600001,8,0.00010000
1624406400003,8,-0.00021752
1624435200000,8,-0.00052863
1624464000000,8,-0.00005560
1624492800009,8,-0.00015298
1624521600018,8,-0.00002115
1624550400001,8,-0.00002524
1624579200009,8,-0.00036956
1624608000004,8,-0.00016153
1624636800000,8,-0.00014849
1624665600007,8,-0.00005770
1624694400000,8,-0.00007536
1624723200002,8,-0.00022055
1624752000005,8,-0.00003544
1624780800010,8,-0.00009853
1624809600001,8,-0.00028331
1624838400025,8,-0.00027066
1624867200017,8,0.00004074
1624896000007,8,-0.00036897
1624924800008,8,-0.00008770
1624953600000,8,-0.00023618
1624982400000,8,-0.00012292
1625011200011,8,-0.00003000
1625040000044,8,0.00003415
1625068800005,8,0.00010000
1777593600000,4,0.00003226
1777608000003,4,0.00005000
1777622400005,4,0.00005000
1777636800000,4,0.00005000
1777651200000,4,0.00005000
1777665600009,4,0.00005000
1777680000006,4,-0.00003351
1777694400000,4,-0.00001873
1777708800000,4,0.00005000
1777723200009,4,0.00005000
1777737600010,4,0.00005000
1777752000000,4,0.00005000
1777766400005,4,0.00005000
1777780800014,4,0.00005000
1777795200003,4,0.00005000
1777809600004,4,0.00005000
1777824000000,4,0.00005000
1777838400000,4,0.00005000
1777852800000,4,0.00005000
1777867200003,4,0.00005000
1777881600000,4,0.00005000
1777896000000,4,0.00005000
1777910400003,4,0.00005000
1777924800007,4,0.00005000
1777939200000,4,0.00005000
1777953600000,4,0.00005000
1777968000011,4,0.00001637
1777982400006,4,0.00000861
1777996800000,4,-0.00004532
1778011200000,4,-0.00016476
1778025600010,4,0.00003236
1778040000000,4,-0.00048518
1778054400000,4,0.00005000
1778068800000,4,-0.00037118
1778083200002,4,-0.00002192
1778097600000,4,0.00003050
1778112000000,4,0.00005000
1778126400001,4,0.00005000
1778140800000,4,0.00005000
1778155200000,4,0.00005000
1778169600004,4,0.00005000
1778184000005,4,0.00005000
1778198400003,4,0.00005000
1778212800000,4,0.00005000
1778227200002,4,0.00005000
1778241600000,4,0.00005000
1778256000003,4,0.00005000
1778270400000,4,0.00005000
1778284800000,4,0.00005000
1778299200000,4,0.00005000
1778313600001,4,0.00005000
1778328000000,4,0.00005000
1778342400002,4,0.00005000
1778356800000,4,0.00005000
1778371200003,4,0.00005000
1778385600005,4,0.00005000
1778400000000,4,0.00005000
1778414400007,4,0.00005000
1778428800000,4,0.00005000
1778443200002,4,0.00005000
1778457600000,4,0.00005000
1778472000000,4,0.00005000
1778486400000,4,0.00005000
1778500800001,4,0.00005000
1778515200000,4,0.00005000
1778529600014,4,0.00005000
1778544000002,4,0.00005000
1778558400000,4,0.00005000
1778572800008,4,0.00005000
1778587200003,4,0.00005000
1778601600000,4,0.00005000
1778616000000,4,0.00005000
1778630400010,4,0.00005000
1778644800003,4,0.00005000
1778659200003,4,0.00005000
1778673600004,4,0.00005000
1778688000001,4,0.00005000
1778702400004,4,0.00005000
1778716800005,4,0.00005000
1778731200005,4,0.00005000
1778745600000,4,0.00005000
1778760000001,4,0.00005000
1778774400000,4,0.00005000
1778788800000,4,0.00005000
1778803200000,4,0.00005000
1778817600006,4,0.00005000
1778832000016,4,0.00005000
1778846400001,4,0.00005000
1778860800012,4,0.00005000
1778875200001,4,0.00005000
1778889600005,4,0.00005000
1778904000000,4,0.00003418
1778918400000,4,-0.00007319
1778932800002,4,-0.00005886
1778947200005,4,0.00005000
1778961600000,4,0.00005000
1778976000000,4,0.00005000
1778990400012,4,0.00005000
1779004800010,4,0.00005000
1779019200014,4,0.00005000
1779033600009,4,0.00005000
1779048000002,4,0.00005000
1779062400007,4,0.00005000
1779076800000,4,0.00004391
1779091200002,4,0.00003790
1779105600001,4,0.00005000
1779120000007,4,0.00003733
1779134400000,4,0.00005000
1779148800001,4,0.00005000
1779163200003,4,0.00005000
1779177600001,4,0.00005000
1779192000000,4,0.00005000
1779206400009,4,0.00005000
1779220800001,4,0.00005000
1779235200001,4,0.00005000
1779249600001,4,0.00005000
1779264000006,4,0.00005000
1779278400001,4,0.00005000
1779292800000,4,0.00005000
1779307200019,4,0.00005000
1779321600001,4,0.00005000
1779336000000,4,0.00005000
1779350400000,4,0.00005000
1779364800000,4,0.00005000
1779379200000,4,0.00005000
1779393600001,4,0.00005000
1779408000000,4,0.00005000
1779422400000,4,0.00005000
1779436800004,4,0.00005000
1779451200000,4,0.00005000
1779465600001,4,0.00005000
1779480000002,4,0.00005000
1779494400009,4,0.00004074
1779508800006,4,0.00005000
1779523200001,4,0.00005000
1779537600000,4,-0.00000842
1779552000003,4,0.00005000
1779566400007,4,0.00005000
1779580800011,4,0.00005000
1779595200001,4,0.00005000
1779609600008,4,0.00005000
1779624000001,4,0.00005000
1779638400000,4,0.00003054
1779652800002,4,0.00003486
1779667200001,4,0.00003540
1779681600000,4,0.00005000
1779696000001,4,0.00005000
1779710400008,4,0.00005000
1779724800001,4,0.00003454
1779739200000,4,0.00005000
1779753600000,4,0.00005000
1779768000003,4,0.00005000
1779782400003,4,0.00005000
1779796800000,4,0.00005000
1779811200000,4,0.00005000
1779825600000,4,0.00000467
1779840000000,4,-0.00004084
1779854400002,4,-0.00009540
1779868800004,4,-0.00011670
1779883200007,4,0.00005000
1779897600009,4,0.00005000
1779912000001,4,0.00005000
1779926400001,4,0.00004187
1779940800000,4,0.00005000
1779955200000,4,0.00005000
1779969600000,4,0.00005000
1779984000001,4,0.00005000
1779998400005,4,-0.00024548
1780012800000,4,-0.00005986
1780027200000,4,-0.00009744
1780041600001,4,0.00005000
1780056000001,4,0.00005000
1780070400008,4,0.00005000
1780084800000,4,0.00005000
1780099200000,4,0.00005000
1780113600004,4,0.00005000
1780128000001,4,0.00005000
1780142400000,4,0.00005000
1780156800000,4,0.00005000
