calc_time,funding_interval_hours,last_funding_rate
1659312000010,8,0.00010000
1659340800019,8,0.00010000
1659369600017,8,0.00010000
1659398400000,8,0.00010000
1659427200007,8,0.00009294
1659456000014,8,0.00001797
1659484800001,8,0.00010000
1659513600020,8,-0.00000282
1659542400008,8,0.00008255
1659571200001,8,0.00010000
1659600000009,8,0.00003947
1659628800015,8,0.00003961
1659657600005,8,-5E-8
1659686400000,8,0.00010000
1659715200000,8,0.00010000
1659744000021,8,0.00010000
1659772800000,8,0.00010000
1659801600015,8,0.00010000
1659830400013,8,0.00010000
1659859200000,8,0.00010000
1659888000014,8,0.00010000
1659916800009,8,0.00010000
1659945600006,8,0.00010000
1659974400000,8,0.00010000
1660003200020,8,0.00006719
1660032000000,8,0.00010000
1660060800000,8,-0.00013259
1660089600000,8,-0.00022636
1660118400016,8,0.00005607
1660147200018,8,0.00010000
1660176000012,8,0.00010000
1660204800000,8,0.00010000
1660233600000,8,0.00010000
1660262400006,8,0.00010000
1660291200000,8,0.00010000
1660320000005,8,0.00010000
1660348800012,8,0.00004510
1660377600006,8,0.00002716
1660406400018,8,-0.00008789
1660435200000,8,-0.00008673
1660464000000,8,0.00001531
1660492800000,8,-0.00013479
1660521600010,8,-0.00016864
1660550400002,8,-0.00005024
1660579200010,8,0.00006617
1660608000010,8,-0.00001764
1660636800002,8,-0.00007297
1660665600000,8,-0.00008874
1660694400020,8,0.00006843
1660723200016,8,0.00008051
1660752000001,8,-0.00023592
1660780800005,8,-0.00007338
1660809600012,8,-0.00007327
1660838400013,8,-0.00015661
1660867200000,8,-0.00030063
1660896000000,8,-0.00000887
1660924800009,8,-0.00014120
1660953600000,8,-0.00000289
1660982400005,8,-0.00009519
1661011200000,8,-0.00023326
1661040000010,8,-0.00010259
1661068800013,8,-0.00014542
1661097600000,8,-0.00047841
1661126400011,8,-0.00021475
1661155200005,8,-0.00034776
1661184000005,8,-0.00002050
1661212800000,8,-0.00008640
1661241600021,8,-0.00016015
1661270400005,8,-0.00002222
1661299200017,8,-0.00007591
1661328000021,8,-0.00011844
1661356800000,8,0.00010000
1661385600003,8,-0.00008140
1661414400000,8,0.00009015
1661443200004,8,-0.00018130
1661472000001,8,0.00006877
1661500800004,8,-0.00018162
1661529600000,8,-0.00005724
1661558400010,8,0.00000177
1661587200007,8,0.00002812
1661616000008,8,0.00000450
1661644800019,8,-0.00015398
1661673600000,8,-0.00016875
1661702400000,8,-0.00014557
1661731200000,8,-0.00019961
1661760000000,8,-0.00000695
1661788800001,8,-0.00007252
1661817600001,8,-0.00010728
1661846400005,8,0.00001792
1661875200010,8,0.00001459
1661904000000,8,0.00007734
1661932800005,8,0.00004290
1661961600013,8,-0.00000609
