calc_time,funding_interval_hours,last_funding_rate
1669852800001,8,0.00005259
1669881600006,8,0.00010000
1669910400000,8,0.00010000
1669939200001,8,0.00010000
1669968000016,8,0.00000162
1669996800017,8,0.00010000
1670025600006,8,0.00010000
1670054400000,8,0.00010000
1670083200011,8,0.00010000
1670112000006,8,0.00008823
1670140800000,8,0.00010000
1670169600006,8,0.00005952
1670198400002,8,0.00009791
1670227200011,8,0.00009364
1670256000008,8,0.00003614
1670284800014,8,0.00009493
1670313600027,8,0.00009558
1670342400009,8,0.00003082
1670371200000,8,0.00009205
1670400000000,8,-0.00002891
1670428800000,8,0.00010000
1670457600006,8,-0.00001146
1670486400000,8,-0.00001269
1670515200014,8,0.00000921
1670544000017,8,0.00008255
1670572800005,8,0.00010000
1670601600000,8,0.00010000
1670630400009,8,-0.00000284
1670659200010,8,0.00006846
1670688000001,8,0.00010000
1670716800011,8,0.00006643
1670745600007,8,0.00009553
1670774400011,8,0.00001189
1670803200000,8,-0.00005211
1670832000004,8,-0.00003563
1670860800000,8,0.00007678
1670889600000,8,-0.00004842
1670918400018,8,-0.00005738
1670947200011,8,0.00009630
1670976000010,8,0.00010000
1671004800015,8,0.00010000
1671033600004,8,0.00010000
1671062400000,8,0.00009708
1671091200023,8,0.00010000
1671120000010,8,0.00007170
1671148800016,8,0.00001400
1671177600011,8,0.00010000
1671206400001,8,-0.00034122
1671235200001,8,-0.00008275
1671264000011,8,-0.00004017
1671292800011,8,-0.00017138
1671321600008,8,-0.00027889
1671350400001,8,-0.00021902
1671379200012,8,0.00010000
1671408000000,8,-0.00007499
1671436800000,8,0.00004161
1671465600000,8,0.00006559
1671494400005,8,-0.00024159
1671523200016,8,0.00000538
1671552000000,8,-0.00012810
1671580800007,8,-0.00003090
1671609600012,8,-0.00037224
1671638400017,8,0.00002209
1671667200004,8,-0.00003556
1671696000000,8,-0.00002487
1671724800001,8,-0.00008829
1671753600018,8,0.00010000
1671782400000,8,0.00010000
1671811200000,8,0.00010000
1671840000001,8,-0.00003278
1671868800007,8,0.00010000
1671897600008,8,0.00010000
1671926400000,8,-0.00006742
1671955200013,8,0.00010000
1671984000000,8,0.00010000
1672012800001,8,0.00010000
1672041600000,8,0.00008295
1672070400005,8,-0.00002015
1672099200005,8,0.00003899
1672128000010,8,0.00001052
1672156800006,8,0.00010000
1672185600010,8,0.00008739
1672214400010,8,0.00007786
1672243200010,8,-0.00009301
1672272000011,8,-0.00003438
1672300800000,8,-0.00033533
1672329600008,8,-0.00034086
1672358400000,8,-0.00045062
1672387200000,8,-0.00015218
1672416000000,8,0.00003536
1672444800014,8,-0.00004595
1672473600000,8,-0.00003622
1672502400000,8,-0.00066137
