calc_time,funding_interval_hours,last_funding_rate
1701388800000,8,0.00010000
1701417600000,8,0.00010000
1701446400000,8,0.00010000
1701475200000,8,0.00010000
1701504000000,8,0.00010000
1701532800000,8,0.00010000
1701561600000,8,0.00010000
1701590400000,8,0.00010000
1701619200000,8,0.00010000
1701648000000,8,0.00010000
1701676800000,8,0.00049221
1701705600000,8,0.00020563
1701734400000,8,0.00010000
1701763200000,8,0.00026340
1701792000000,8,0.00010000
1701820800000,8,0.00025521
1701849600000,8,0.00026611
1701878400000,8,0.00020177
1701907200000,8,0.00010000
1701936000000,8,0.00010000
1701964800000,8,0.00010000
1701993600000,8,0.00010000
1702022400000,8,0.00010000
1702051200000,8,0.00019291
1702080000000,8,0.00043301
1702108800000,8,0.00048552
1702137600000,8,0.00032361
1702166400000,8,0.00035801
1702195200000,8,0.00012096
1702224000000,8,0.00010000
1702252800000,8,0.00013419
1702281600000,8,0.00010000
1702310400000,8,0.00010000
1702339200000,8,0.00010000
1702368000000,8,0.00010000
1702396800000,8,0.00010000
1702425600000,8,0.00010000
1702454400000,8,0.00010000
1702483200001,8,0.00010000
1702512000000,8,0.00010000
1702540800000,8,0.00016732
1702569600000,8,0.00010000
1702598400000,8,0.00010000
1702627200000,8,0.00032080
1702656000000,8,0.00026597
1702684800000,8,0.00010000
1702713600000,8,0.00010000
1702742400001,8,0.00010000
1702771200000,8,0.00010000
1702800000000,8,0.00010000
1702828800000,8,0.00023481
1702857600000,8,0.00010000
1702886400001,8,0.00010000
1702915200000,8,0.00010000
1702944000000,8,0.00010000
1702972800000,8,0.00010000
1703001600000,8,0.00010000
1703030400000,8,0.00010000
1703059200000,8,0.00010000
1703088000000,8,0.00010000
1703116800000,8,0.00010000
1703145600000,8,0.00010000
1703174400000,8,0.00024981
1703203200000,8,0.00051260
1703232000000,8,0.00029240
1703260800000,8,0.00039021
1703289600000,8,0.00010628
1703318400001,8,0.00043338
1703347200000,8,0.00020621
1703376000000,8,0.00037938
1703404800000,8,0.00048122
1703433600000,8,0.00047724
1703462400000,8,0.00037700
1703491200000,8,0.00049949
1703520000000,8,0.00069628
1703548800000,8,0.00069021
1703577600000,8,0.00044944
1703606400000,8,0.00068938
1703635200000,8,0.00033138
1703664000000,8,0.00031368
1703692800000,8,0.00045466
1703721600000,8,0.00044117
1703750400000,8,0.00036913
1703779200000,8,0.00044466
1703808000001,8,0.00042827
1703836800000,8,0.00025988
1703865600000,8,0.00034260
1703894400001,8,0.00029792
1703923200000,8,0.00031893
1703952000000,8,0.00030594
1703980800000,8,0.00032461
1704009600001,8,0.00056570
1704038400000,8,0.00035225
