calc_time,funding_interval_hours,last_funding_rate
1696118400000,8,0.00003217
1696147200000,8,0.00002135
1696176000000,8,0.00005555
1696204800000,8,0.00010000
1696233600000,8,0.00004887
1696262400000,8,0.00010000
1696291200000,8,0.00010000
1696320000000,8,0.00009739
1696348800000,8,0.00010000
1696377600000,8,0.00009275
1696406400000,8,0.00006492
1696435200000,8,0.00001030
1696464000000,8,0.00004405
1696492800000,8,0.00004903
1696521600001,8,0.00006229
1696550400000,8,0.00006203
1696579200000,8,0.00010000
1696608000000,8,0.00003691
1696636800000,8,-0.00000141
1696665600000,8,0.00007085
1696694400000,8,0.00001171
1696723200000,8,0.00009916
1696752000001,8,0.00001712
1696780800000,8,-0.00000835
1696809600000,8,-0.00000402
1696838400000,8,0.00007239
1696867200000,8,-0.00006508
1696896000000,8,0.00000909
1696924800000,8,-0.00004107
1696953600000,8,0.00009153
1696982400000,8,0.00007686
1697011200000,8,0.00009828
1697040000000,8,0.00000400
1697068800000,8,0.00007274
1697097600000,8,0.00004107
1697126400000,8,0.00003318
1697155200000,8,0.00007942
1697184000000,8,0.00005277
1697212800000,8,-0.00001569
1697241600000,8,-0.00003384
1697270400000,8,-0.00012838
1697299200000,8,-0.00003642
1697328000000,8,-0.00009024
1697356800000,8,0.00001463
1697385600000,8,-0.00006729
1697414400000,8,-0.00010107
1697443200000,8,-0.00006067
1697472000000,8,-0.00003524
1697500800000,8,0.00000930
1697529600000,8,0.00003864
1697558400000,8,-0.00005375
1697587200000,8,0.00002877
1697616000000,8,0.00004608
1697644800000,8,-0.00001535
1697673600000,8,0.00006118
1697702400001,8,0.00003145
1697731200000,8,0.00004722
1697760000000,8,0.00001848
1697788800005,8,0.00005883
1697817600000,8,0.00010000
1697846400000,8,0.00010000
1697875200000,8,0.00010000
1697904000000,8,0.00010000
1697932800000,8,0.00007280
1697961600000,8,0.00007545
1697990400000,8,0.00010000
1698019200000,8,0.00010000
1698048000001,8,0.00008341
1698076800001,8,0.00010000
1698105600000,8,0.00010000
1698134400000,8,0.00010000
1698163200000,8,0.00010000
1698192000000,8,0.00010000
1698220800000,8,0.00010000
1698249600001,8,0.00010000
1698278400001,8,0.00010000
1698307200000,8,0.00010000
1698336000000,8,0.00010000
1698364800000,8,0.00010000
1698393600000,8,0.00010000
1698422400000,8,0.00010000
1698451200000,8,0.00010000
1698480000001,8,0.00010000
1698508800000,8,0.00010000
1698537600000,8,0.00015763
1698566400000,8,0.00010000
1698595200000,8,0.00014245
1698624000000,8,0.00010000
1698652800000,8,0.00010000
1698681600000,8,0.00017593
1698710400001,8,0.00024988
1698739200000,8,0.00014240
1698768000000,8,0.00010000
