calc_time,funding_interval_hours,last_funding_rate
1740787200000,8,0.00000900
1740816000000,8,-0.00004791
1740844800001,8,-0.00002444
1740873600000,8,0.00010000
1740902400000,8,-0.00001611
1740931200000,8,-0.00006424
1740960000001,8,0.00003240
1740988800000,8,-0.00008142
1741017600000,8,-0.00017553
1741046400001,8,-0.00047938
1741075200005,8,-0.00029829
1741104000000,8,-0.00022656
1741132800000,8,-0.00012415
1741161600000,8,-0.00007896
1741190400000,8,-0.00022731
1741219200000,8,-0.00004091
1741248000001,8,-0.00007721
1741276800000,8,-0.00014439
1741305600000,8,0.00000680
1741334400001,8,-0.00005550
1741363200000,8,0.00001654
1741392000000,8,-0.00004396
1741420800001,8,-0.00008880
1741449600001,8,-0.00011836
1741478400001,8,-0.00013091
1741507200000,8,-0.00022103
1741536000000,8,-0.00025145
1741564800000,8,-0.00044919
1741593600000,8,-0.00025555
1741622400000,8,-0.00019587
1741651200000,8,-0.00034867
1741680000000,8,-0.00022169
1741708800001,8,-0.00025716
1741737600000,8,-0.00021854
1741766400000,8,-0.00019572
1741795200001,8,0.00000573
1741824000000,8,0.00008361
1741852800000,8,-0.00009177
1741881600000,8,-0.00005665
1741910400000,8,0.00000934
1741939200000,8,-0.00021206
1741968000000,8,-0.00010390
1741996800000,8,-0.00030698
1742025600000,8,-0.00030570
1742054400000,8,-0.00037268
1742083200000,8,-0.00012032
1742112000000,8,-0.00006316
1742140800000,8,-0.00000829
1742169600000,8,-0.00002632
1742198400000,8,0.00003345
1742227200000,8,-0.00009979
1742256000000,8,-0.00012296
1742284800000,8,-0.00003911
1742313600000,8,-0.00011492
1742342400000,8,-0.00009160
1742371200000,8,-0.00006974
1742400000000,8,-0.00010331
1742428800000,8,0.00009580
1742457600000,8,-0.00014167
1742486400000,8,0.00002616
1742515200000,8,-0.00004075
1742544000000,8,-0.00016927
1742572800000,8,-0.00007341
1742601600000,8,-0.00004645
1742630400004,8,0.00010000
1742659200000,8,0.00000823
1742688000000,8,-0.00009015
1742716800000,8,-0.00006238
1742745600000,8,-0.00014493
1742774400000,8,-0.00006334
1742803200000,8,0.00004140
1742832000000,8,-0.00006599
1742860800001,8,-0.00002924
1742889600000,8,0.00004886
1742918400000,8,0.00000440
1742947200000,8,0.00008046
1742976000000,8,-0.00003537
1743004800001,8,-0.00009660
1743033600001,8,0.00001353
1743062400001,8,-0.00006623
1743091200002,8,-0.00003577
1743120000001,8,-0.00013218
1743148800001,8,-0.00012931
1743177600000,8,-0.00001884
1743206400000,8,-0.00008434
1743235200000,8,-0.00005544
1743264000000,8,0.00007693
1743292800000,8,0.00005581
1743321600000,8,-0.00009743
1743350400000,8,-0.00002145
1743379200000,8,-0.00005169
1743408000000,8,-0.00005224
1743436800000,8,-0.00013077
