calc_time,funding_interval_hours,last_funding_rate
1767225600008,8,-0.00032128
1767254400002,8,-0.00017522
1767283200001,8,0.00010000
1767312000006,8,0.00010000
1767340800007,8,0.00010000
1767369600000,8,0.00010000
1767398400001,8,0.00000628
1767427200000,8,0.00010000
1767456000000,8,0.00010000
1767484800000,8,0.00002393
1767513600000,8,-0.00007504
1767542400001,8,-0.00003204
1767571200000,8,0.00005057
1767600000000,8,-0.00003513
1767628800000,8,0.00002317
1767657600010,8,0.00010000
1767686400000,8,-0.00002719
1767715200000,8,0.00008095
1767744000001,8,0.00010000
1767772800001,8,-0.00022571
1767801600001,8,-0.00023088
1767830400001,8,0.00003646
1767859200000,8,-0.00002932
1767888000000,8,-0.00004638
1767916800003,8,0.00008719
1767945600000,8,0.00005423
1767974400001,8,0.00002423
1768003200000,8,0.00007392
1768032000002,8,0.00004184
1768060800001,8,0.00010000
1768089600003,8,0.00002517
1768118400006,8,0.00006140
1768147200000,8,0.00003998
1768176000005,8,-0.00008889
1768204800000,8,0.00010000
1768233600000,8,-0.00020954
1768262400007,8,0.00002736
1768291200009,8,0.00006528
1768320000002,8,0.00010000
1768348800000,8,0.00010000
1768377600001,8,0.00010000
1768406400004,8,0.00010000
1768435200000,8,0.00010000
1768464000004,8,0.00003052
1768492800002,8,0.00006731
1768521600000,8,-0.00008092
1768550400000,8,-0.00010694
1768579200001,8,-0.00008500
1768608000000,8,-0.00006898
1768636800000,8,-0.00006190
1768665600002,8,0.00006693
1768694400001,8,0.00005900
1768723200000,8,-0.00015182
1768752000000,8,-0.00011080
1768780800007,8,-0.00002658
1768809600007,8,-0.00013154
1768838400007,8,-0.00006765
1768867200005,8,0.00006924
1768896000001,8,0.00004469
1768924800009,8,-0.00006301
1768953600001,8,-0.00010767
1768982400011,8,-0.00004449
1769011200011,8,-0.00013232
1769040000010,8,-0.00016248
1769068800003,8,-0.00013554
1769097600005,8,-0.00013209
1769126400005,8,0.00003615
1769155200000,8,-0.00005667
1769184000011,8,-0.00002167
1769212800011,8,-0.00010217
1769241600002,8,-0.00009832
1769270400001,8,-0.00010302
1769299200002,8,-0.00011989
1769328000011,8,-0.00002698
1769356800005,8,0.00001641
1769385600000,8,-0.00008031
1769414400003,8,-0.00001959
1769443200000,8,-0.00006103
1769472000002,8,-0.00002800
1769500800000,8,-0.00017009
1769529600000,8,-0.00009695
1769558400000,8,0.00008299
1769587200000,8,-0.00010146
1769616000000,8,-0.00004468
1769644800000,8,-0.00003268
1769673600009,8,-0.00010514
1769702400000,8,-0.00040579
1769731200008,8,-0.00025243
1769760000000,8,-0.00010311
1769788800001,8,-0.00008556
1769817600000,8,-0.00004705
1769846400001,8,-0.00018237
1769875200009,8,-0.00009802
