calc_time,funding_interval_hours,last_funding_rate
1643673600010,8,-0.00069990
1643702400000,8,-0.00059800
1643731200004,8,-0.00042146
1643760000004,8,-0.00048477
1643788800000,8,-0.00049259
1643817600002,8,-0.00043483
1643846400002,8,-0.00063858
1643875200000,8,-0.00097978
1643904000000,8,-0.00008209
1643932800018,8,-0.00054072
1643961600005,8,-0.00047006
1643990400010,8,-0.00001483
1644019200014,8,-0.00006810
1644048000000,8,-0.00011644
1644076800000,8,-0.00028454
1644105600000,8,-0.00057415
1644134400000,8,-0.00056659
1644163200000,8,-0.00029282
1644192000003,8,-0.00050111
1644220800014,8,-0.00042357
1644249600003,8,-0.00055038
1644278400001,8,-0.00042142
1644307200003,8,-0.00056804
1644336000002,8,-0.00047117
1644364800000,8,-0.00038625
1644393600005,8,-0.00035292
1644422400001,8,-0.00050455
1644451200012,8,-0.00059492
1644480000000,8,-0.00042733
1644508800006,8,-0.00045646
1644537600000,8,-0.00042129
1644566400009,8,-0.00027320
1644595200015,8,-0.00027471
1644624000020,8,-0.00034776
1644652800001,8,-0.00003987
1644681600007,8,-0.00007599
1644710400022,8,-0.00040498
1644739200001,8,-0.00021889
1644768000007,8,-0.00025832
1644796800005,8,-0.00029774
1644825600013,8,-0.00006422
1644854400019,8,-0.00048440
1644883200012,8,-0.00036207
1644912000005,8,-0.00064149
1644940800011,8,-0.00049137
1644969600009,8,-0.00015748
1644998400001,8,-0.00021446
1645027200014,8,-0.00031067
1645056000018,8,-0.00059767
1645084800000,8,-0.00040162
1645113600010,8,-0.00055938
1645142400000,8,-0.00109115
1645171200002,8,-0.00024097
1645200000000,8,-0.00047796
1645228800007,8,-0.00035469
1645257600000,8,-0.00037415
1645286400023,8,-0.00042488
1645315200001,8,-0.00045405
1645344000003,8,-0.00050613
1645372800001,8,-0.00020572
1645401600000,8,-0.00028683
1645430400001,8,-0.00055357
1645459200005,8,-0.00029922
1645488000005,8,-0.00103904
1645516800000,8,-0.00090626
1645545600000,8,-0.00033204
1645574400002,8,-0.00084681
1645603200005,8,-0.00046516
1645632000010,8,-0.00045975
1645660800008,8,-0.00069101
1645689600003,8,-0.00079699
1645718400001,8,-0.00019514
1645747200000,8,0.00000177
1645776000006,8,-0.00007119
1645804800001,8,-0.00073307
1645833600004,8,-0.00025327
1645862400004,8,-0.00054140
1645891200007,8,-0.00043965
1645920000012,8,-0.00081711
1645948800000,8,-0.00066265
1645977600000,8,-0.00060109
1646006400000,8,-0.00089912
1646035200001,8,-0.00063829
1646064000002,8,-0.00067817
