calc_time,funding_interval_hours,last_funding_rate
1725148800000,8,-0.00021509
1725177600001,8,-0.00015828
1725206400000,8,-0.00016750
1725235200001,8,-0.00019415
1725264000001,8,-0.00016372
1725292800000,8,0.00000572
1725321600000,8,-0.00005109
1725350400001,8,-0.00005641
1725379200000,8,-0.00015524
1725408000000,8,-0.00017345
1725436800000,8,-0.00022431
1725465600000,8,-0.00009205
1725494400000,8,-0.00005260
1725523200000,8,-0.00001322
1725552000005,8,-0.00009445
1725580800000,8,-0.00042199
1725609600001,8,-0.00009598
1725638400000,8,-0.00007859
1725667200000,8,-0.00016773
1725696000000,8,-0.00019924
1725724800000,8,-0.00030426
1725753600000,8,-0.00012494
1725782400000,8,-0.00035164
1725811200000,8,-0.00020757
1725840000000,8,-0.00017749
1725868800000,8,-0.00017853
1725897600001,8,-0.00026635
1725926400000,8,-0.00004299
1725955200000,8,-0.00008971
1725984000000,8,0.00001761
1726012800000,8,-0.00002062
1726041600000,8,-0.00004685
1726070400000,8,-0.00005224
1726099200000,8,-3.9E-7
1726128000000,8,-0.00008743
1726156800000,8,-0.00004977
1726185600000,8,-0.00004710
1726214400001,8,-0.00007790
1726243200001,8,-0.00012675
1726272000000,8,-0.00028851
1726300800000,8,-0.00023311
1726329600001,8,-0.00033323
1726358400000,8,-0.00024337
1726387200000,8,-0.00036666
1726416000000,8,-0.00022679
1726444800000,8,-0.00006704
1726473600001,8,-0.00012872
1726502400000,8,-0.00011977
1726531200001,8,-0.00000868
1726560000000,8,-0.00014484
1726588800000,8,-0.00005969
1726617600000,8,-0.00023534
1726646400000,8,-0.00033238
1726675200004,8,-0.00007716
1726704000000,8,-0.00004890
1726732800000,8,0.00010000
1726761600001,8,-0.00003778
1726790400000,8,0.00006552
1726819200001,8,-0.00014068
1726848000000,8,-0.00014157
1726876800001,8,-0.00000793
1726905600000,8,-0.00008201
1726934400000,8,0.00003410
1726963200000,8,-0.00005312
1726992000000,8,-0.00000888
1727020800000,8,0.00007788
1727049600000,8,-0.00015015
1727078400000,8,-0.00004757
1727107200000,8,-0.00015392
1727136000000,8,-0.00017852
1727164800000,8,0.00002153
1727193600001,8,0.00003766
1727222400000,8,0.00004643
1727251200003,8,-0.00012731
1727280000000,8,-0.00000681
1727308800005,8,-0.00021727
1727337600000,8,0.00001836
1727366400000,8,-0.00011859
1727395200000,8,0.00010000
1727424000000,8,-0.00014461
1727452800000,8,-0.00006198
1727481600000,8,-0.00000355
1727510400001,8,0.00007521
1727539200000,8,0.00002903
1727568000001,8,0.00007071
1727596800000,8,0.00006933
1727625600000,8,-0.00002123
1727654400000,8,-0.00006236
1727683200001,8,0.00004779
1727712000000,8,0.00001726
