calc_time,funding_interval_hours,last_funding_rate
1677628800016,8,-0.00025319
1677657600000,8,0E-8
1677686400008,8,0E-8
1677715200009,8,0E-8
1677744000013,8,-0.00023545
1677772800000,8,-0.00028051
1677801600000,8,-0.00002961
1677830400013,8,-0.00008625
1677859200000,8,-0.00002007
1677888000001,8,-0.00003295
1677916800008,8,-0.00009138
1677945600012,8,-0.00019281
1677974400000,8,-0.00009205
1678003200000,8,0E-8
1678032000015,8,0E-8
1678060800007,8,-0.00003967
1678089600017,8,0E-8
1678118400000,8,-0.00012179
1678147200009,8,-0.00020880
1678176000016,8,-0.00001876
1678204800017,8,-0.00021496
1678233600000,8,0E-8
1678262400014,8,0E-8
1678291200021,8,0E-8
1678320000010,8,0E-8
1678348800013,8,0E-8
1678377600002,8,0E-8
1678406400000,8,-0.00027317
1678435200000,8,-0.00025155
1678464000005,8,-0.00018076
1678492800011,8,-0.00018120
1678521600003,8,-0.00060440
1678550400011,8,-0.00034230
1678579200001,8,0E-8
1678608000000,8,0E-8
1678636800005,8,-0.00008385
1678665600010,8,0E-8
1678694400018,8,0E-8
1678723200003,8,0E-8
1678752000010,8,0E-8
1678780800009,8,0E-8
1678809600010,8,0.00007236
1678838400011,8,0.00012216
1678867200000,8,0.00010347
1678896000012,8,0E-8
1678924800004,8,0E-8
1678953600018,8,0.00009329
1678982400005,8,0E-8
1679011200017,8,-0.00117649
1679040000010,8,-0.00059238
1679068800003,8,-0.00094597
1679097600012,8,-0.00129796
1679126400000,8,-0.00099191
1679155200016,8,-0.00071668
1679184000013,8,-0.00200114
1679212800024,8,-0.00122518
1679241600000,8,-0.00132398
1679270400005,8,-0.00208684
1679299200012,8,-0.00172668
1679328000015,8,-0.00096625
1679356800006,8,-0.00074486
1679385600004,8,-0.00138266
1679414400003,8,-0.00128311
1679443200000,8,-0.00197057
1679472000003,8,-0.00162299
1679500800000,8,-0.00005565
1679529600016,8,-0.00013572
1679558400001,8,0E-8
1679587200013,8,-0.00007012
1679616000013,8,-0.00048065
1679644800012,8,-0.00022313
1679673600027,8,0E-8
1679702400015,8,-0.00010615
1679731200011,8,-0.00011520
1679760000011,8,-0.00002817
1679788800000,8,-0.00010020
1679817600015,8,0E-8
1679846400000,8,0E-8
1679875200019,8,-0.00007754
1679904000009,8,-0.00022919
1679932800000,8,-0.00051772
1679961600007,8,-0.00070515
1679990400000,8,-0.00010119
1680019200013,8,0E-8
1680048000010,8,-0.00006976
1680076800006,8,0E-8
1680105600014,8,-0.00002235
1680134400000,8,0E-8
1680163200000,8,-0.00004867
1680192000006,8,-0.00012381
1680220800003,8,-0.00035389
1680249600006,8,-0.00038577
1680278400011,8,-0.00014589
