calc_time,funding_interval_hours,last_funding_rate
1740787200000,8,0.00010000
1740816000000,8,-0.00033159
1740844800001,8,0.00010000
1740873600000,8,-0.00039640
1740902400000,8,-0.00024490
1740931200000,8,-0.00003639
1740960000001,8,-0.00007826
1740988800000,8,-0.00008052
1741017600000,8,-0.00001501
1741046400001,8,-0.00037862
1741075200005,8,-0.00016650
1741104000000,8,-0.00016305
1741132800000,8,0.00006744
1741161600000,8,-0.00003707
1741190400000,8,0.00004515
1741219200000,8,-0.00005137
1741248000001,8,-0.00012950
1741276800000,8,-0.00007921
1741305600000,8,-0.00007312
1741334400001,8,-0.00013544
1741363200000,8,-0.00019050
1741392000000,8,-0.00022135
1741420800001,8,-0.00046050
1741449600001,8,-0.00012644
1741478400001,8,-0.00043193
1741507200000,8,-0.00034944
1741536000000,8,-0.00049192
1741564800000,8,-0.00049204
1741593600000,8,-0.00056600
1741622400000,8,-0.00054196
1741651200000,8,-0.00058484
1741680000000,8,-0.00061040
1741708800001,8,-0.00054514
1741737600000,8,-0.00017048
1741766400000,8,-0.00006027
1741795200001,8,-0.00005137
1741824000000,8,0.00003270
1741852800000,8,-0.00027972
1741881600000,8,-0.00010902
1741910400000,8,0.00003323
1741939200000,8,0.00005227
1741968000000,8,0.00001120
1741996800000,8,0.00002101
1742025600000,8,-0.00006748
1742054400000,8,-0.00009934
1742083200000,8,-0.00019381
1742112000000,8,-0.00007071
1742140800000,8,-0.00007301
1742169600000,8,0.00007765
1742198400000,8,-0.00018711
1742227200000,8,-0.00009354
1742256000000,8,0.00003807
1742284800000,8,0.00008364
1742313600000,8,-0.00003378
1742342400000,8,0.00001240
1742371200000,8,-0.00007746
1742400000000,8,-0.00010334
1742428800000,8,-0.00007391
1742457600000,8,0.00004822
1742486400000,8,0.00002121
1742515200000,8,-0.00000840
1742544000000,8,-0.00004777
1742572800000,8,-0.00003335
1742601600000,8,-0.00012475
1742630400004,8,-0.00021994
1742659200000,8,-0.00000315
1742688000000,8,0.00010000
1742716800000,8,-0.00003899
1742745600000,8,-0.00002292
1742774400000,8,0.00010000
1742803200000,8,0.00010000
1742832000000,8,0.00010000
1742860800001,8,0.00010000
1742889600000,8,0.00010000
1742918400000,8,0.00002719
1742947200000,8,0.00010000
1742976000000,8,0.00010000
1743004800001,8,0.00005520
1743033600001,8,-0.00002015
1743062400001,8,-0.00002023
1743091200002,8,0.00003377
1743120000001,8,0.00003179
1743148800001,8,0.00002266
1743177600000,8,-0.00014092
1743206400000,8,-0.00007340
1743235200000,8,-0.00017580
1743264000000,8,-0.00064896
1743292800000,8,-0.00019944
1743321600000,8,-0.00024045
1743350400000,8,-0.00016760
1743379200000,8,-0.00036891
1743408000000,8,-0.00033532
1743436800000,8,-0.00003571
