calc_time,funding_interval_hours,last_funding_rate
1743465600000,8,-0.00001770
1743494400001,8,-0.00005723
1743523200000,8,0.00010000
1743552000001,8,0.00010000
1743580800000,8,0.00010000
1743609600000,8,0.00010000
1743638400000,8,0.00010000
1743667200000,8,0.00010000
1743696000000,8,0.00010000
1743724800000,8,-0.00000971
1743753600000,8,0.00010000
1743782400000,8,0.00003598
1743811200000,8,0.00000620
1743840000000,8,0.00010000
1743868800000,8,-0.00031969
1743897600000,8,0.00002108
1743926400000,8,-0.00002263
1743955200002,8,0.00000496
1743984000000,8,-0.00007980
1744012800000,8,0.00005265
1744041600000,8,-0.00022586
1744070400000,8,-0.00004317
1744099200000,8,0.00010000
1744128000000,8,-0.00008608
1744156800000,8,0.00010000
1744185600001,8,-0.00003581
1744214400000,8,0.00002622
1744243200000,8,0.00010000
1744272000000,8,0.00010000
1744300800000,8,0.00007748
1744329600001,8,-0.00007791
1744358400000,8,0.00009577
1744387200000,8,0.00008845
1744416000000,8,0.00010000
1744444800001,8,0.00010000
1744473600000,8,-0.00038804
1744502400000,8,-0.00030308
1744531200000,8,0.00010000
1744560000000,8,0.00010000
1744588800000,8,0.00010000
1744617600000,8,0.00010000
1744646400000,8,0.00003139
1744675200000,8,0.00010000
1744704000000,8,0.00007306
1744732800001,8,0.00004547
1744761600000,8,0.00010000
1744790400000,8,-0.00016348
1744819200000,8,-0.00033337
1744848000001,8,-0.00042905
1744876800000,8,-0.00045824
1744905600001,8,-0.00026745
1744934400000,8,-0.00036838
1744963200000,8,-0.00023734
1744992000000,8,-0.00019670
1745020800000,8,-0.00029551
1745049600000,8,-0.00038486
1745078400000,8,-0.00002669
1745107200000,8,0.00001086
1745136000000,8,0.00010000
1745164800000,8,0.00010000
1745193600000,8,0.00010000
1745222400005,8,0.00010000
1745251200003,8,0.00009981
1745280000008,8,-0.00000132
1745308800000,8,0.00010000
1745337600000,8,0.00010000
1745366400000,8,0.00010000
1745395200002,8,0.00010000
1745424000000,8,0.00010000
1745452800000,8,0.00010000
1745481600001,8,0.00002088
1745510400001,8,0.00010000
1745539200007,8,0.00010000
1745568000002,8,0.00010000
1745596800003,8,0.00000596
1745625600002,8,0.00010000
1745654400000,8,0.00010000
1745683200002,8,-0.00004613
1745712000001,8,-0.00013113
1745740800000,8,-0.00003725
1745769600000,8,0.00010000
1745798400001,8,-0.00000929
1745827200003,8,0.00002870
1745856000005,8,0.00003231
1745884800000,8,0.00010000
1745913600000,8,0.00010000
1745942400010,8,0.00007381
1745971200001,8,0.00009088
1746000000000,8,-0.00013153
1746028800003,8,0.00010000
