calc_time,funding_interval_hours,last_funding_rate
1648771200000,8,-0.00013853
1648800000000,8,0.00001424
1648828800018,8,-0.00007191
1648857600000,8,0.00007539
1648886400002,8,0.00009429
1648915200006,8,0.00010000
1648944000018,8,0.00005568
1648972800018,8,0.00010000
1649001600015,8,0.00010000
1649030400006,8,-0.00007714
1649059200000,8,0.00000936
1649088000016,8,-0.00000403
1649116800000,8,-0.00008509
1649145600010,8,0.00001484
1649174400008,8,-8.5E-7
1649203200001,8,-0.00012113
1649232000021,8,-0.00011718
1649260800000,8,-0.00014475
1649289600009,8,-0.00022826
1649318400000,8,-0.00014529
1649347200000,8,-0.00013103
1649376000000,8,-0.00004835
1649404800004,8,-0.00004443
1649433600008,8,-0.00008651
1649462400008,8,-0.00009788
1649491200000,8,-0.00003920
1649520000001,8,-0.00000719
1649548800004,8,0.00007313
1649577600007,8,0.00002703
1649606400016,8,0.00002629
1649635200000,8,-0.00012356
1649664000000,8,-0.00006809
1649692800009,8,-0.00010153
1649721600000,8,-0.00023669
1649750400006,8,-0.00021283
1649779200013,8,-0.00035190
1649808000005,8,-0.00021547
1649836800008,8,-0.00026086
1649865600013,8,-0.00019088
1649894400007,8,-0.00022284
1649923200000,8,-0.00018349
1649952000006,8,-0.00017439
1649980800008,8,-0.00017366
1650009600002,8,-0.00011978
1650038400000,8,-0.00005647
1650067200011,8,-0.00011440
1650096000007,8,-0.00002541
1650124800007,8,-0.00001205
1650153600000,8,-0.00007527
1650182400004,8,0.00007302
1650211200000,8,0.00000864
1650240000008,8,-0.00012169
1650268800012,8,-0.00016147
1650297600000,8,-0.00017117
1650326400021,8,-0.00002328
1650355200031,8,-0.00003220
1650384000000,8,-0.00012723
1650412800025,8,0.00001728
1650441600003,8,-0.00005443
1650470400000,8,0.00002537
1650499200000,8,0.00003702
1650528000000,8,0.00003664
1650556800024,8,0.00006334
1650585600008,8,-0.00007634
1650614400008,8,0.00001515
1650643200008,8,-0.00005231
1650672000000,8,-0.00004555
1650700800000,8,-0.00004919
1650729600012,8,-0.00017228
1650758400004,8,0.00001267
1650787200003,8,-0.00003376
1650816000000,8,-0.00008161
1650844800008,8,-0.00005929
1650873600018,8,-0.00017013
1650902400000,8,-0.00023586
1650931200014,8,-0.00004708
1650960000000,8,-6E-8
1650988800017,8,-0.00017371
1651017600012,8,-0.00028989
1651046400000,8,-0.00026803
1651075200002,8,-0.00008083
1651104000000,8,-0.00034324
1651132800004,8,-0.00015020
1651161600030,8,-0.00009488
1651190400000,8,-0.00008543
1651219200016,8,-0.00009530
1651248000010,8,-0.00020504
1651276800000,8,-0.00009012
1651305600005,8,0.00003655
1651334400015,8,-0.00008393
