calc_time,funding_interval_hours,last_funding_rate
1767225600008,8,0.00010000
1767254400002,8,0.00008799
1767283200001,8,-0.00000560
1767312000006,8,0.00005053
1767340800007,8,0.00003090
1767369600000,8,0.00010000
1767398400001,8,0.00005187
1767427200000,8,0.00003421
1767456000000,8,0.00003231
1767484800000,8,0.00007598
1767513600000,8,0.00000212
1767542400001,8,0.00007231
1767571200000,8,0.00007926
1767600000000,8,0.00000966
1767628800000,8,0.00005085
1767657600010,8,0.00008035
1767686400000,8,0.00006876
1767715200000,8,0.00004250
1767744000001,8,0.00007658
1767772800001,8,0.00007268
1767801600001,8,0.00003902
1767830400001,8,0.00007044
1767859200000,8,0.00007658
1767888000000,8,4.9E-7
1767916800003,8,0.00006634
1767945600000,8,0.00003789
1767974400001,8,0.00005562
1768003200000,8,0.00008959
1768032000002,8,0.00010000
1768060800001,8,0.00005277
1768089600003,8,0.00009824
1768118400006,8,0.00006573
1768147200000,8,0.00005876
1768176000005,8,0.00010000
1768204800000,8,0.00003472
1768233600000,8,0.00006663
1768262400007,8,0.00004704
1768291200009,8,0.00009164
1768320000002,8,0.00002672
1768348800000,8,0.00010000
1768377600001,8,0.00010000
1768406400004,8,0.00008331
1768435200000,8,0.00005358
1768464000004,8,0.00000658
1768492800002,8,0.00009722
1768521600000,8,0.00003284
1768550400000,8,0.00003558
1768579200001,8,0.00002767
1768608000000,8,0.00008371
1768636800000,8,0.00008079
1768665600002,8,0.00006017
1768694400001,8,0.00003761
1768723200000,8,0.00001351
1768752000000,8,0.00002477
1768780800007,8,0.00005221
1768809600007,8,-0.00001140
1768838400007,8,0.00001428
1768867200005,8,0.00008611
1768896000001,8,0.00006101
1768924800009,8,0.00001232
1768953600001,8,0.00000552
1768982400011,8,0.00000530
1769011200011,8,0.00001113
1769040000010,8,0.00002119
1769068800003,8,0.00007681
1769097600005,8,-0.00002933
1769126400005,8,0.00001674
1769155200000,8,0.00002868
1769184000011,8,0.00005045
1769212800011,8,0.00003675
1769241600002,8,0.00001171
1769270400001,8,0.00001292
1769299200002,8,0.00004065
1769328000011,8,0.00006759
1769356800005,8,0.00004059
1769385600000,8,-0.00013629
1769414400003,8,0.00006540
1769443200000,8,0.00001326
1769472000002,8,0.00007255
1769500800000,8,0.00008694
1769529600000,8,0.00009488
1769558400000,8,0.00008698
1769587200000,8,0.00009559
1769616000000,8,0.00004501
1769644800000,8,0.00004731
1769673600009,8,0.00004078
1769702400000,8,-0.00001167
1769731200008,8,0.00000473
1769760000000,8,-0.00000308
1769788800001,8,-5.6E-7
1769817600000,8,-0.00007003
1769846400001,8,0.00001854
1769875200009,8,-0.00008908
