calc_time,funding_interval_hours,last_funding_rate
1722470400000,8,0.00006152
1722499200000,8,0.00010000
1722528000000,8,0.00009149
1722556800000,8,0.00008300
1722585600001,8,0.00010000
1722614400000,8,0.00000417
1722643200000,8,0.00010000
1722672000000,8,0.00010000
1722700800001,8,0.00008009
1722729600000,8,-0.00002975
1722758400000,8,0.00008783
1722787200000,8,-0.00001597
1722816000000,8,0.00005771
1722844800000,8,-0.00005297
1722873600000,8,0.00003684
1722902400000,8,0.00005614
1722931200000,8,-0.00013219
1722960000000,8,0.00007018
1722988800000,8,0.00007810
1723017600001,8,0.00001291
1723046400000,8,0.00007346
1723075200001,8,0.00009409
1723104000000,8,0.00010000
1723132800000,8,0.00001829
1723161600000,8,0.00010000
1723190400000,8,0.00010000
1723219200000,8,0.00006651
1723248000000,8,0.00007559
1723276800000,8,0.00009162
1723305600000,8,0.00005969
1723334400000,8,-0.00007347
1723363200000,8,-0.00004662
1723392000001,8,0.00007204
1723420800000,8,-0.00002193
1723449600000,8,-0.00002540
1723478400000,8,0.00008530
1723507200000,8,0.00002360
1723536000000,8,0.00010000
1723564800000,8,0.00004910
1723593600000,8,0.00010000
1723622400000,8,0.00001410
1723651200000,8,-0.00000931
1723680000000,8,0.00010000
1723708800000,8,0.00010000
1723737600000,8,0.00010000
1723766400000,8,-0.00008387
1723795200000,8,0.00009881
1723824000000,8,0.00004179
1723852800000,8,0.00010000
1723881600000,8,0.00009131
1723910400000,8,0.00002801
1723939200000,8,0.00008966
1723968000000,8,0.00000990
1723996800000,8,0.00006563
1724025600000,8,0.00007783
1724054400000,8,0.00004220
1724083200002,8,0.00010000
1724112000000,8,0.00010000
1724140800000,8,0.00010000
1724169600001,8,0.00002199
1724198400001,8,0.00010000
1724227200000,8,0.00010000
1724256000001,8,0.00010000
1724284800000,8,0.00010000
1724313600000,8,0.00010000
1724342400008,8,0.00003909
1724371200000,8,-0.00001192
1724400000000,8,0.00010000
1724428800000,8,0.00010000
1724457600000,8,0.00010000
1724486400005,8,-0.00005516
1724515200000,8,0.00010000
1724544000000,8,0.00010000
1724572800000,8,0.00010000
1724601600000,8,0.00010000
1724630400000,8,0.00010000
1724659200001,8,0.00010000
1724688000000,8,0.00004291
1724716800001,8,0.00000169
1724745600000,8,0.00001874
1724774400000,8,0.00010000
1724803200000,8,-0.00010308
1724832000000,8,0.00003626
1724860800001,8,0.00005336
1724889600000,8,-0.00001031
1724918400001,8,0.00000866
1724947200000,8,-0.00000948
1724976000000,8,-0.00002546
1725004800000,8,0.00009569
1725033600000,8,-0.00002413
1725062400000,8,0.00007487
1725091200000,8,0.00010000
1725120000000,8,0.00010000
