calc_time,funding_interval_hours,last_funding_rate
1748736000001,8,-0.00000476
1748764800002,8,-0.00006059
1748793600000,8,0.00002035
1748822400001,8,0.00007417
1748851200000,8,-0.00004495
1748880000000,8,0.00003334
1748908800000,8,0.00010000
1748937600000,8,0.00010000
1748966400001,8,0.00009780
1748995200000,8,0.00006183
1749024000000,8,0.00010000
1749052800000,8,0.00001527
1749081600016,8,-0.00001279
1749110400000,8,0.00006879
1749139200000,8,0.00009096
1749168000002,8,-0.00018792
1749196800000,8,-0.00012761
1749225600006,8,0.00003825
1749254400000,8,0.00008776
1749283200000,8,0.00009127
1749312000002,8,0.00001787
1749340800000,8,0.00010000
1749369600000,8,0.00002529
1749398400000,8,0.00002713
1749427200000,8,-0.00003332
1749456000001,8,0.00001457
1749484800001,8,0.00000162
1749513600000,8,0.00008959
1749542400001,8,0.00010000
1749571200003,8,0.00010000
1749600000000,8,0.00010000
1749628800000,8,0.00010000
1749657600010,8,0.00010000
1749686400002,8,0.00004217
1749715200003,8,0.00001984
1749744000001,8,-0.00009770
1749772800000,8,-0.00006268
1749801600001,8,-0.00013449
1749830400004,8,-0.00002797
1749859200000,8,0.00000462
1749888000000,8,0.00002154
1749916800000,8,0.00008773
1749945600005,8,0.00000266
1749974400009,8,0.00005376
1750003200000,8,-0.00002073
1750032000000,8,-0.00007346
1750060800000,8,0.00006618
1750089600003,8,-0.00002365
1750118400000,8,0.00009587
1750147200006,8,-0.00002822
1750176000001,8,0.00000824
1750204800001,8,0.00006127
1750233600001,8,-0.00006433
1750262400001,8,-0.00003575
1750291200005,8,-0.00002381
1750320000003,8,-0.00005723
1750348800000,8,0.00001959
1750377600000,8,0.00004258
1750406400002,8,0.00005666
1750435200001,8,-0.00002250
1750464000002,8,-0.00008248
1750492800005,8,0.00005572
1750521600000,8,-0.00003676
1750550400005,8,0.00001463
1750579200000,8,0.00000306
1750608000003,8,-0.00006314
1750636800000,8,-0.00003460
1750665600004,8,-0.00006696
1750694400013,8,0.00008002
1750723200003,8,-0.00002321
1750752000000,8,0.00003640
1750780800000,8,0.00003500
1750809600005,8,-2E-8
1750838400000,8,0.00007524
1750867200005,8,0.00002365
1750896000000,8,-0.00010783
1750924800006,8,0.00010000
1750953600007,8,0.00010000
1750982400000,8,0.00010000
1751011200000,8,0.00001128
1751040000009,8,-0.00004596
1751068800001,8,-0.00001456
1751097600002,8,0.00001466
1751126400000,8,-0.00000728
1751155200004,8,0.00009232
1751184000001,8,0.00007902
1751212800001,8,0.00010000
1751241600000,8,0.00010000
1751270400005,8,-0.00001871
1751299200002,8,0.00001840
