calc_time,funding_interval_hours,last_funding_rate
1714521600000,8,0.00004911
1714550400000,8,0.00003541
1714579200000,8,0.00008526
1714608000000,8,0.00010000
1714636800000,8,-0.00002241
1714665600002,8,0.00010000
1714694400000,8,0.00010000
1714723200000,8,0.00002133
1714752000000,8,0.00008205
1714780800000,8,0.00007819
1714809600000,8,0.00010000
1714838400000,8,0.00006182
1714867200000,8,0.00004184
1714896000000,8,0.00008797
1714924800000,8,0.00002798
1714953600000,8,0.00007489
1714982400000,8,0.00010000
1715011200000,8,0.00009836
1715040000000,8,0.00005978
1715068800000,8,-0.00006675
1715097600000,8,-0.00004464
1715126400000,8,0.00010000
1715155200000,8,-0.00009201
1715184000000,8,0.00005673
1715212800000,8,0.00002700
1715241600000,8,-0.00006786
1715270400000,8,0.00010000
1715299200000,8,-0.00004988
1715328000000,8,0.00004569
1715356800000,8,0.00010000
1715385600000,8,0.00007768
1715414400000,8,0.00004012
1715443200000,8,0.00010000
1715472000000,8,0.00010000
1715500800000,8,-0.00005239
1715529600000,8,0.00008532
1715558400001,8,-0.00002455
1715587200001,8,0.00010000
1715616000000,8,0.00003247
1715644800000,8,-0.00011405
1715673600000,8,0.00001022
1715702400000,8,0.00010000
1715731200000,8,0.00005928
1715760000000,8,0.00004140
1715788800000,8,0.00010000
1715817600004,8,0.00010000
1715846400000,8,0.00010000
1715875200000,8,0.00010000
1715904000000,8,0.00010000
1715932800000,8,0.00010000
1715961600000,8,0.00010000
1715990400000,8,0.00010000
1716019200000,8,0.00005964
1716048000000,8,0.00009953
1716076800000,8,0.00010000
1716105600000,8,0.00010000
1716134400000,8,0.00010000
1716163200000,8,0.00004973
1716192000000,8,0.00002821
1716220800003,8,0.00009708
1716249600000,8,0.00010000
1716278400001,8,0.00010000
1716307200000,8,0.00010000
1716336000000,8,0.00010000
1716364800000,8,0.00010000
1716393600000,8,0.00010000
1716422400000,8,0.00010000
1716451200000,8,0.00010000
1716480000000,8,0.00010000
1716508800000,8,0.00010000
1716537600000,8,0.00010000
1716566400000,8,0.00010000
1716595200000,8,0.00010000
1716624000000,8,0.00010000
1716652800000,8,0.00010000
1716681600000,8,0.00010000
1716710400000,8,0.00010000
1716739200000,8,0.00010000
1716768000000,8,0.00010000
1716796800000,8,0.00010000
1716825600000,8,0.00010000
1716854400000,8,0.00010000
1716883200000,8,0.00010000
1716912000000,8,0.00010000
1716940800001,8,0.00010000
1716969600000,8,0.00010000
1716998400000,8,0.00010000
1717027200000,8,0.00010000
1717056000000,8,0.00010000
1717084800000,8,0.00015257
1717113600000,8,0.00010159
1717142400000,8,0.00011268
1717171200000,8,0.00010000
