calc_time,funding_interval_hours,last_funding_rate
1709251200000,4,0.00005000
1709265600000,4,0.00015538
1709280000000,4,0.00013257
1709294400000,4,0.00011807
1709308800000,4,0.00005000
1709323200000,4,0.00005000
1709337600000,4,0.00005000
1709352000001,4,0.00015584
1709366400001,4,0.00018056
1709380800000,4,0.00038370
1709395200000,4,0.00016445
1709409600000,4,0.00024105
1709424000000,4,0.00039254
1709438400000,4,0.00022523
1709452800000,4,0.00014719
1709467200000,4,0.00009756
1709481600000,4,0.00009837
1709496000000,4,0.00005000
1709510400000,4,0.00005000
1709524800001,4,0.00020245
1709539200000,4,0.00041948
1709553600000,4,0.00005000
1709568000000,4,0.00005000
1709582400000,4,0.00005000
1709596800000,4,0.00005000
1709611200000,4,0.00040012
1709625600000,4,0.00059417
1709640000000,4,0.00084950
1709654400000,4,0.00032974
1709668800000,4,0.00005000
1709683200000,4,-0.00002188
1709697600000,4,-0.00005879
1709712000001,4,0.00005000
1709726400000,4,0.00005000
1709740800000,4,0.00005000
1709755200000,4,0.00005000
1709769600000,4,0.00005000
1709784000000,4,0.00005000
1709798400000,4,0.00005000
1709812800001,4,0.00007314
1709827200000,4,0.00017507
1709841600000,4,0.00005000
1709856000000,4,0.00021990
1709870400000,4,0.00030738
1709884800000,4,0.00034770
1709899200000,4,0.00041809
1709913600000,4,0.00036239
1709928000000,4,0.00018693
1709942400000,4,0.00013674
1709956800000,4,0.00031312
1709971200001,4,0.00055884
1709985600001,4,0.00060288
1710000000000,4,0.00047159
1710014400000,4,0.00048458
1710028800000,4,0.00059778
1710043200000,4,0.00051387
1710057600000,4,0.00064084
1710072000000,4,0.00047280
1710086400000,4,0.00019845
1710100800000,4,0.00013007
1710115200000,4,0.00029726
1710129600000,4,0.00039743
1710144000000,4,0.00039570
1710158400000,4,0.00074448
1710172800000,4,0.00022521
1710187200001,4,0.00048917
1710201600000,4,0.00049396
1710216000000,4,0.00059768
1710230400000,4,0.00021405
1710244800000,4,0.00028875
1710259200000,4,0.00035786
1710273600000,4,0.00029374
1710288000000,4,0.00034490
1710302400000,4,0.00030356
1710316800001,4,0.00037804
1710331200000,4,0.00040994
1710345600000,4,0.00005000
1710360000000,4,0.00005000
1710374400001,4,0.00005000
1710388800000,4,0.00025779
1710403200000,4,0.00013941
1710417600000,4,0.00056338
1710432000000,4,0.00021979
1710446400001,4,0.00010110
1710460800000,4,0.00018255
1710475200000,4,0.00008427
1710489600000,4,0.00005000
1710504000000,4,0.00005000
1710518400000,4,0.00005000
1710532800000,4,0.00005000
1710547200000,4,0.00005000
1710561600000,4,0.00005000
1710576000000,4,0.00005000
1710590400000,4,0.00005000
1710604800000,4,0.00005000
1710619200000,4,0.00005000
1710633600000,4,0.00005000
1710648000000,4,0.00005000
1710662400000,4,0.00005000
1710676800000,4,0.00005000
1710691200000,4,0.00005000
1710705600000,4,0.00005000
1710720000000,4,0.00005000
1710734400001,4,0.00005000
1710748800000,4,0.00005000
1710763200000,4,0.00005000
1710777600001,4,0.00005000
1710792000001,4,0.00005000
1710806400000,4,0.00005000
1710820800000,4,0.00005000
1710835200000,4,0.00005000
1710849600000,4,0.00005000
1710864000001,4,0.00005000
1710878400000,4,0.00005000
1710892800000,4,0.00005000
1710907200000,4,-0.00000814
1710921600004,4,0.00002433
1710936000001,4,0.00005000
1710950400000,4,-0.00004528
1710964800000,4,-0.00002271
1710979200000,4,-0.00025395
1710993600000,4,-0.00025276
1711008000000,4,0.00005000
1711022400013,4,0.00005000
1711036800000,4,0.00005000
1711051200000,4,0.00005000
1711065600000,4,0.00005000
1711080000000,4,0.00005000
1711094400000,4,0.00005000
1711108800000,4,0.00005000
1711123200000,4,0.00005000
1711137600000,4,0.00005000
1711152000000,4,0.00005000
1711166400000,4,0.00005000
1711180800000,4,0.00005000
1711195200000,4,0.00005000
1711209600000,4,0.00005000
1711224000000,4,0.00005000
1711238400000,4,0.00005000
1711252800001,4,0.00005000
1711267200000,4,0.00005000
1711281600000,4,0.00005000
1711296000000,4,0.00005000
1711310400000,4,0.00005000
1711324800000,4,0.00005000
1711339200000,4,0.00005000
1711353600001,4,0.00005000
1711368000000,4,0.00005000
1711382400000,4,0.00005000
1711396800000,4,0.00005000
1711411200000,4,0.00005000
1711425600000,4,0.00005000
1711440000000,4,0.00005000
1711454400000,4,0.00005000
1711468800000,4,0.00005000
1711483200000,4,0.00006786
1711497600000,4,0.00005000
1711512000000,4,0.00005000
1711526400001,4,0.00005000
1711540800001,4,0.00005000
1711555200000,4,0.00005000
1711569600000,4,0.00005000
1711584000000,4,0.00005000
1711598400000,4,0.00005000
1711612800000,4,0.00005000
1711627200000,4,0.00011906
1711641600000,4,0.00010284
1711656000000,4,0.00022462
1711670400000,4,0.00026232
1711684800000,4,0.00019694
1711699200000,4,0.00005000
1711713600000,4,0.00009687
1711728000000,4,0.00008197
1711742400000,4,0.00005000
1711756800000,4,0.00014869
1711771200000,4,0.00005000
1711785600000,4,0.00007287
1711800000001,4,0.00028642
1711814400000,4,0.00031244
1711828800000,4,0.00033805
1711843200000,4,0.00028988
1711857600000,4,0.00021622
1711872000000,4,0.00022937
1711886400000,4,0.00028544
1711900800001,4,0.00027548
1711915200000,4,0.00039399
