calc_time,funding_interval_hours,last_funding_rate
1775001600000,8,-0.00006180
1775030400000,8,0.00000681
1775059200000,8,-0.00007802
1775088000003,8,-0.00006171
1775116800001,8,-0.00022130
1775145600001,8,-0.00007793
1775174400000,8,-0.00026242
1775203200008,8,-0.00013356
1775232000008,8,0.00008954
1775260800000,8,0.00005458
1775289600003,8,0.00000366
1775318400000,8,-0.00018580
1775347200008,8,-0.00002867
1775376000000,8,-0.00029412
1775404800001,8,-0.00021614
1775433600004,8,-0.00004824
1775462400001,8,0.00007663
1775491200003,8,0.00010000
1775520000000,8,-0.00003747
1775548800000,8,-0.00020598
1775577600000,8,-0.00015785
1775606400000,8,-0.00004825
1775635200000,8,0.00010000
1775664000006,8,0.00000280
1775692800000,8,-0.00020681
1775721600010,8,-0.00033985
1775750400001,8,-0.00008832
1775779200000,8,-0.00005342
1775808000005,8,-0.00010771
1775836800000,8,-0.00018715
1775865600000,8,-0.00009992
1775894400000,8,-0.00002497
1775923200003,8,-0.00014685
1775952000000,8,0.00005385
1775980800000,8,-0.00016839
1776009600000,8,-0.00011697
1776038400011,8,-0.00004114
1776067200006,8,0.00001877
1776096000000,8,-0.00000852
1776124800005,8,0.00010000
1776153600003,8,0.00005446
1776182400001,8,-0.00006865
1776211200000,8,-0.00015313
1776240000000,8,-0.00007289
1776268800000,8,-0.00001417
1776297600013,8,-0.00011311
1776326400000,8,-0.00000955
1776355200000,8,0.00000912
1776384000001,8,0.00009317
1776412800011,8,0.00006280
1776441600001,8,0.00000508
1776470400001,8,0.00005519
1776499200006,8,-0.00001110
1776528000000,8,0.00008922
1776556800002,8,-0.00000230
1776585600010,8,-0.00007268
1776614400001,8,-0.00030420
1776643200000,8,-0.00000582
1776672000000,8,0.00001111
1776700800001,8,-0.00006016
1776729600000,8,0.00002134
1776758400004,8,-0.00009513
1776787200004,8,0.00001211
1776816000004,8,-0.00000580
1776844800000,8,0.00000854
1776873600000,8,-0.00022462
1776902400000,8,-0.00008004
1776931200000,8,-0.00014466
1776960000004,8,-0.00000824
1776988800006,8,-0.00006798
1777017600000,8,-0.00005350
1777046400000,8,-0.00003728
1777075200000,8,-0.00001993
1777104000002,8,-0.00023852
1777132800002,8,-0.00024324
1777161600003,8,-0.00003842
1777190400007,8,-0.00305831
1777219200004,8,-0.00044142
1777248000004,8,-0.00056724
1777276800000,8,-0.00004252
1777305600002,8,0.00007744
1777334400001,8,0.00008594
1777363200000,8,0.00001534
1777392000004,8,-0.00000626
1777420800006,8,-0.00005993
1777449600011,8,-0.00008156
1777478400003,8,-0.00011034
1777507200002,8,0.00008252
1777536000000,8,0.00010000
1777564800000,8,0.00001489
