calc_time,funding_interval_hours,last_funding_rate
1604188800000,8,-0.00055576
1604217600000,8,0.00010000
1604246400000,8,-0.00223209
1604275200000,8,-0.00245572
1604304000010,8,0.00010000
1604332800000,8,0.00010000
1604361600000,8,-0.00085870
1604390400004,8,0.00010000
1604419200009,8,0.00010000
1604448000000,8,0.00010000
1604476800000,8,-0.00108817
1604505600005,8,-0.00162427
1604534400017,8,-0.00187564
1604563200001,8,-0.00340712
1604592000000,8,-0.00054713
1604620800000,8,0.00006379
1604649600001,8,0.00010000
1604678400001,8,0.00024446
1604707200001,8,0.00015670
1604736000000,8,0.00038149
1604764800006,8,0.00032850
1604793600000,8,0.00010000
1604822400000,8,0.00010000
1604851200000,8,0.00010000
1604880000007,8,0.00010000
1604908800001,8,0.00010000
1604937600002,8,0.00010000
1604966400003,8,0.00010000
1604995200011,8,0.00014019
1605024000000,8,0.00010000
1605052800000,8,0.00021683
1605081600009,8,0.00098941
1605110400003,8,0.00020230
1605139200001,8,0.00022081
1605168000001,8,0.00010000
1605196800000,8,0.00010000
1605225600000,8,0.00010000
1605254400000,8,0.00010000
1605283200000,8,0.00026048
1605312000005,8,0.00014279
1605340800004,8,0.00010000
1605369600001,8,0.00010000
1605398400001,8,0.00010000
1605427200000,8,0.00010000
1605456000003,8,0.00014941
1605484800000,8,0.00010000
1605513600010,8,0.00010000
1605542400001,8,0.00027386
1605571200002,8,0.00010000
1605600000003,8,0.00016849
1605628800003,8,0.00010000
1605657600005,8,0.00062099
1605686400006,8,0.00022584
1605715200000,8,0.00010000
1605744000008,8,0.00010000
1605772800000,8,0.00011546
1605801600001,8,0.00018323
1605830400003,8,0.00014978
1605859200005,8,0.00080905
1605888000000,8,0.00141546
1605916800000,8,0.00048099
1605945600000,8,0.00066909
1605974400001,8,0.00261903
1606003200005,8,0.00111517
1606032000000,8,0.00093997
1606060800000,8,0.00064929
1606089600005,8,0.00142994
1606118400000,8,0.00110008
1606147200003,8,0.00144787
1606176000000,8,0.00099743
1606204800000,8,0.00203485
1606233600005,8,0.00094872
1606262400005,8,0.00085835
1606291200005,8,0.00064737
1606320000015,8,0.00242449
1606348800012,8,0.00072804
1606377600002,8,0.00010000
1606406400001,8,0.00010000
1606435200001,8,0.00010000
1606464000000,8,0.00010000
1606492800007,8,0.00010000
1606521600007,8,0.00010000
1606550400012,8,0.00010000
1606579200000,8,0.00010000
1606608000007,8,0.00010000
1606636800000,8,0.00010000
1606665600000,8,0.00010000
1606694400004,8,0.00010000
1606723200007,8,0.00057357
1606752000000,8,0.00010000
