calc_time,funding_interval_hours,last_funding_rate
1617235200025,8,0.00101467
1617264000011,8,0.00135008
1617292800004,8,0.00132140
1617321600000,8,0.00074009
1617350400000,8,0.00146565
1617379200000,8,0.00148835
1617408000003,8,0.00136804
1617436800000,8,0.00183202
1617465600000,8,0.00204425
1617494400000,8,0.00071189
1617523200000,8,0.00073992
1617552000016,8,0.00062389
1617580800000,8,0.00098876
1617609600001,8,0.00082790
1617638400001,8,0.00181330
1617667200010,8,0.00199528
1617696000000,8,0.00217085
1617724800003,8,0.00161895
1617753600000,8,0.00105782
1617782400006,8,0.00103144
1617811200004,8,0.00051045
1617840000013,8,0.00040870
1617868800003,8,0.00089204
1617897600005,8,0.00101438
1617926400000,8,0.00086761
1617955200004,8,0.00100700
1617984000004,8,0.00114126
1618012800011,8,0.00118794
1618041600005,8,0.00189762
1618070400000,8,0.00206498
1618099200004,8,0.00129647
1618128000000,8,0.00159328
1618156800000,8,0.00186482
1618185600001,8,0.00165718
1618214400001,8,0.00191024
1618243200008,8,0.00105798
1618272000003,8,0.00105976
1618300800008,8,0.00169632
1618329600008,8,0.00285163
1618358400008,8,0.00241849
1618387200000,8,0.00302271
1618416000012,8,0.00120804
1618444800006,8,0.00111687
1618473600000,8,0.00156119
1618502400008,8,0.00228309
1618531200008,8,0.00195967
1618560000000,8,0.00154883
1618588800002,8,0.00157670
1618617600008,8,0.00144018
1618646400000,8,0.00111419
1618675200001,8,0.00068094
1618704000006,8,0.00095563
1618732800004,8,0.00010000
1618761600000,8,0.00010000
1618790400000,8,0.00010229
1618819200000,8,0.00037749
1618848000009,8,0.00027871
1618876800004,8,0.00010000
1618905600000,8,0.00010000
1618934400001,8,0.00036469
1618963200013,8,0.00010000
1618992000001,8,0.00010000
1619020800002,8,0.00015860
1619049600000,8,0.00023391
1619078400000,8,0.00010000
1619107200001,8,0.00039245
1619136000002,8,0.00010000
1619164800009,8,0.00010000
1619193600001,8,0.00010000
1619222400019,8,0.00010000
1619251200001,8,0.00010000
1619280000011,8,0.00010000
1619308800000,8,0.00010000
1619337600010,8,0.00010000
1619366400000,8,0.00010000
1619395200003,8,0.00010000
1619424000002,8,0.00015223
1619452800004,8,0.00028187
1619481600000,8,0.00016154
1619510400000,8,0.00016747
1619539200009,8,0.00037556
1619568000000,8,0.00019010
1619596800000,8,0.00027330
1619625600001,8,0.00026752
1619654400004,8,0.00039339
1619683200013,8,0.00033462
1619712000003,8,0.00080883
1619740800004,8,0.00031856
1619769600019,8,0.00027093
1619798400003,8,0.00050361
