calc_time,funding_interval_hours,last_funding_rate
1661990400012,8,0.00007614
1662019200000,8,0.00000521
1662048000013,8,0.00010000
1662076800002,8,0.00010000
1662105600013,8,-0.00002546
1662134400000,8,-0.00003366
1662163200000,8,0.00008199
1662192000002,8,-5.0E-7
1662220800007,8,0.00008429
1662249600008,8,0.00006187
1662278400009,8,-0.00005988
1662307200000,8,0.00004016
1662336000015,8,0.00003515
1662364800013,8,-0.00000287
1662393600007,8,0.00009862
1662422400018,8,0.00005798
1662451200020,8,0.00001988
1662480000028,8,-0.00004209
1662508800013,8,-0.00009521
1662537600022,8,-0.00009874
1662566400021,8,-0.00012830
1662595200010,8,-0.00006389
1662624000000,8,-0.00012898
1662652800003,8,-0.00002460
1662681600011,8,-0.00004332
1662710400000,8,0.00010000
1662739200000,8,0.00010000
1662768000003,8,0.00010000
1662796800000,8,0.00010000
1662825600012,8,0.00010000
1662854400009,8,0.00010000
1662883200012,8,0.00007105
1662912000005,8,0.00010000
1662940800007,8,0.00008321
1662969600013,8,0.00002635
1662998400000,8,0.00003962
1663027200004,8,0.00005199
1663056000000,8,0.00007680
1663084800000,8,0.00010000
1663113600000,8,-0.00006058
1663142400000,8,-0.00007945
1663171200000,8,0.00001394
1663200000019,8,0.00006762
1663228800012,8,-0.00005230
1663257600007,8,0.00001707
1663286400000,8,0.00002156
1663315200000,8,0.00006830
1663344000000,8,0.00001120
1663372800000,8,0.00004433
1663401600012,8,-0.00007138
1663430400017,8,-0.00013654
1663459200000,8,0.00008051
1663488000004,8,0.00004395
1663516800000,8,-0.00008131
1663545600018,8,-0.00010462
1663574400006,8,-0.00008000
1663603200010,8,-0.00005396
1663632000007,8,-0.00009678
1663660800001,8,-0.00001783
1663689600000,8,-0.00000156
1663718400001,8,0.00000597
1663747200005,8,-0.00002296
1663776000000,8,0.00001170
1663804800000,8,-0.00013511
1663833600000,8,-0.00009672
1663862400011,8,0.00008140
1663891200023,8,0.00007757
1663920000004,8,0.00010000
1663948800005,8,-0.00007265
1663977600000,8,0.00010000
1664006400005,8,0.00010000
1664035200000,8,0.00010000
1664064000010,8,0.00010000
1664092800000,8,0.00010000
1664121600003,8,0.00003184
1664150400001,8,0.00005414
1664179200006,8,0.00000983
1664208000000,8,0.00002646
1664236800026,8,0.00002222
1664265600004,8,0.00010000
1664294400006,8,0.00010000
1664323200011,8,-0.00012505
1664352000000,8,-0.00004391
1664380800000,8,-0.00000831
1664409600010,8,0.00006959
1664438400000,8,0.00010000
1664467200000,8,0.00008529
1664496000006,8,0.00010000
1664524800002,8,0.00010000
1664553600007,8,0.00010000
