calc_time,funding_interval_hours,last_funding_rate
1617235200025,8,0.00010000
1617264000011,8,0.00148241
1617292800004,8,0.00097791
1617321600000,8,0.00110182
1617350400000,8,0.00093687
1617379200000,8,0.00151108
1617408000003,8,0.00093782
1617436800000,8,0.00238081
1617465600000,8,0.00246161
1617494400000,8,0.00010000
1617523200000,8,0.00055781
1617552000016,8,0.00078793
1617580800000,8,0.00147097
1617609600001,8,0.00044509
1617638400001,8,0.00195822
1617667200010,8,0.00010000
1617696000000,8,0.00129956
1617724800003,8,0.00155168
1617753600000,8,0.00124365
1617782400006,8,0.00148076
1617811200004,8,0.00092961
1617840000013,8,0.00101896
1617868800003,8,0.00134188
1617897600005,8,0.00146776
1617926400000,8,0.00133165
1617955200004,8,0.00120590
1617984000004,8,0.00137211
1618012800011,8,0.00130519
1618041600005,8,0.00191132
1618070400000,8,0.00198410
1618099200004,8,0.00163992
1618128000000,8,0.00141697
1618156800000,8,0.00208783
1618185600001,8,0.00174167
1618214400001,8,0.00252856
1618243200008,8,0.00109314
1618272000003,8,0.00140692
1618300800008,8,0.00194058
1618329600008,8,0.00210785
1618358400008,8,0.00176486
1618387200000,8,0.00310422
1618416000012,8,0.00067718
1618444800006,8,0.00176903
1618473600000,8,0.00224170
1618502400008,8,0.00263305
1618531200008,8,0.00302381
1618560000000,8,0.00246273
1618588800002,8,0.00221401
1618617600008,8,0.00273813
1618646400000,8,0.00266556
1618675200001,8,0.00180721
1618704000006,8,0.00201143
1618732800004,8,-0.00070291
1618761600000,8,0.00018177
1618790400000,8,0.00010000
1618819200000,8,0.00010000
1618848000009,8,0.00010000
1618876800004,8,0.00010000
1618905600000,8,-0.00032570
1618934400001,8,0.00010000
1618963200013,8,0.00012729
1618992000001,8,0.00017783
1619020800002,8,0.00033091
1619049600000,8,0.00010000
1619078400000,8,0.00010000
1619107200001,8,-0.00022476
1619136000002,8,0.00010000
1619164800009,8,-0.00043743
1619193600001,8,0.00010000
1619222400019,8,-0.00003887
1619251200001,8,0.00006273
1619280000011,8,0.00010000
1619308800000,8,-0.00030929
1619337600010,8,0.00010000
1619366400000,8,-0.00039601
1619395200003,8,-0.00033957
1619424000002,8,-0.00047977
1619452800004,8,0.00010000
1619481600000,8,-0.00033259
1619510400000,8,0.00019463
1619539200009,8,0.00010000
1619568000000,8,0.00010000
1619596800000,8,-0.00018681
1619625600001,8,-0.00003365
1619654400004,8,-0.00124416
1619683200013,8,0.00010000
1619712000003,8,0.00010000
1619740800004,8,0.00010000
1619769600019,8,0.00056352
1619798400003,8,0.00061370
