calc_time,funding_interval_hours,last_funding_rate
1619827200002,8,0.00010000
1619856000006,8,0.00037197
1619884800000,8,0.00063359
1619913600010,8,0.00048492
1619942400011,8,0.00025882
1619971200007,8,0.00091478
1620000000003,8,0.00072016
1620028800000,8,0.00118925
1620057600043,8,0.00104624
1620086400004,8,0.00111817
1620115200003,8,0.00025116
1620144000011,8,0.00032117
1620172800001,8,0.00010000
1620201600007,8,0.00068195
1620230400001,8,0.00035808
1620259200003,8,0.00070710
1620288000001,8,0.00060759
1620316800000,8,0.00121249
1620345600000,8,0.00029689
1620374400000,8,0.00077660
1620403200001,8,0.00111941
1620432000006,8,0.00033798
1620460800000,8,0.00106136
1620489600000,8,0.00090020
1620518400005,8,0.00080222
1620547200016,8,0.00053908
1620576000000,8,0.00060140
1620604800004,8,0.00042531
1620633600000,8,0.00099307
1620662400013,8,0.00059427
1620691200000,8,0.00010000
1620720000000,8,0.00010000
1620748800002,8,0.00010000
1620777600004,8,0.00010000
1620806400007,8,0.00010000
1620835200012,8,0.00010000
1620864000016,8,0.00010000
1620892800000,8,0.00010000
1620921600008,8,0.00010000
1620950400007,8,0.00010000
1620979200001,8,0.00010000
1621008000004,8,0.00010000
1621036800022,8,0.00010000
1621065600014,8,0.00010000
1621094400002,8,0.00010000
1621123200000,8,0.00010000
1621152000003,8,0.00010000
1621180800002,8,0.00010000
1621209600005,8,0.00010000
1621238400001,8,0.00010000
1621267200000,8,0.00010000
1621296000019,8,0.00010000
1621324800001,8,0.00010000
1621353600006,8,0.00010000
1621382400000,8,0.00010000
1621411200003,8,0.00010000
1621440000018,8,-0.00750000
1621468800005,8,-0.00023158
1621497600000,8,-0.00067223
1621526400005,8,-0.00098193
1621555200000,8,-0.00117789
1621584000000,8,-0.00035086
1621612800001,8,-0.00049905
1621641600001,8,-0.00127686
1621670400002,8,-0.00048812
1621699200005,8,-0.00082349
1621728000006,8,-0.00066777
1621756800004,8,-0.00040429
1621785600002,8,-0.00016023
1621814400007,8,-0.00076588
1621843200005,8,-0.00034439
1621872000005,8,-0.00039492
1621900800000,8,-0.00053752
1621929600014,8,-0.00050968
1621958400000,8,-0.00077081
1621987200022,8,-0.00084688
1622016000018,8,-0.00001584
1622044800004,8,-0.00034008
1622073600000,8,0.00010000
1622102400017,8,-0.00002192
1622131200000,8,-0.00059555
1622160000005,8,-0.00105224
1622188800009,8,-0.00007158
1622217600000,8,-0.00017589
1622246400006,8,-0.00062701
1622275200000,8,-0.00016711
1622304000000,8,-0.00037289
1622332800003,8,-0.00070086
1622361600004,8,-0.00067806
1622390400018,8,-0.00028629
1622419200002,8,-0.00010007
1622448000000,8,-0.00068267
1622476800000,8,-0.00006576
