calc_time,funding_interval_hours,last_funding_rate
1701388800000,8,0.00010000
1701417600000,8,0.00010000
1701446400000,8,0.00010000
1701475200000,8,0.00010000
1701504000000,8,0.00010000
1701532800000,8,0.00022172
1701561600000,8,0.00025808
1701590400000,8,0.00030761
1701619200000,8,0.00012396
1701648000000,8,0.00010000
1701676800000,8,0.00028469
1701705600000,8,0.00023238
1701734400000,8,0.00033609
1701763200000,8,0.00022223
1701792000000,8,0.00012554
1701820800000,8,0.00033971
1701849600000,8,0.00030620
1701878400000,8,0.00010000
1701907200000,8,0.00010000
1701936000000,8,0.00024705
1701964800000,8,0.00010000
1701993600000,8,0.00012941
1702022400000,8,0.00010000
1702051200000,8,0.00010000
1702080000000,8,0.00010000
1702108800000,8,0.00021184
1702137600000,8,0.00028539
1702166400000,8,0.00010000
1702195200000,8,0.00034526
1702224000000,8,0.00017848
1702252800000,8,0.00022018
1702281600000,8,0.00010000
1702310400000,8,0.00010000
1702339200000,8,0.00010000
1702368000000,8,0.00010000
1702396800000,8,0.00010000
1702425600000,8,0.00014334
1702454400000,8,0.00010000
1702483200001,8,0.00010000
1702512000000,8,0.00010000
1702540800000,8,0.00010000
1702569600000,8,0.00010000
1702598400000,8,0.00020302
1702627200000,8,0.00010000
1702656000000,8,0.00043308
1702684800000,8,0.00015791
1702713600000,8,0.00025023
1702742400001,8,0.00029060
1702771200000,8,0.00015532
1702800000000,8,0.00025818
1702828800000,8,0.00037597
1702857600000,8,0.00020213
1702886400001,8,0.00010199
1702915200000,8,0.00010000
1702944000000,8,0.00010000
1702972800000,8,0.00010000
1703001600000,8,0.00015193
1703030400000,8,0.00026875
1703059200000,8,0.00011658
1703088000000,8,0.00013139
1703116800000,8,0.00010000
1703145600000,8,0.00021222
1703174400000,8,0.00019213
1703203200000,8,0.00044632
1703232000000,8,0.00024666
1703260800000,8,0.00013498
1703289600000,8,0.00028646
1703318400001,8,0.00010000
1703347200000,8,0.00023825
1703376000000,8,0.00019695
1703404800000,8,0.00016606
1703433600000,8,0.00025276
1703462400000,8,0.00010000
1703491200000,8,0.00024369
1703520000000,8,0.00028141
1703548800000,8,0.00048540
1703577600000,8,0.00049436
1703606400000,8,0.00045463
1703635200000,8,0.00019447
1703664000000,8,0.00033724
1703692800000,8,0.00045691
1703721600000,8,0.00068711
1703750400000,8,0.00057876
1703779200000,8,0.00078535
1703808000001,8,0.00059488
1703836800000,8,0.00052287
1703865600000,8,0.00058084
1703894400001,8,0.00034306
1703923200000,8,0.00038437
1703952000000,8,0.00065063
1703980800000,8,0.00045572
1704009600001,8,0.00036994
1704038400000,8,0.00068969
