calc_time,funding_interval_hours,last_funding_rate
1612137600001,8,0.00010000
1612166400014,8,0.00010000
1612195200000,8,0.00010000
1612224000000,8,0.00035503
1612252800006,8,0.00028760
1612281600000,8,0.00152357
1612310400009,8,0.00119736
1612339200006,8,0.00210530
1612368000006,8,0.00171597
1612396800005,8,0.00148409
1612425600000,8,0.00161677
1612454400011,8,0.00038037
1612483200009,8,0.00114043
1612512000004,8,0.00237347
1612540800000,8,0.00283141
1612569600008,8,0.00181044
1612598400009,8,0.00115539
1612627200000,8,0.00157535
1612656000000,8,0.00207070
1612684800005,8,0.00053952
1612713600001,8,0.00074208
1612742400000,8,0.00030974
1612771200001,8,0.00081920
1612800000000,8,0.00232767
1612828800010,8,0.00118765
1612857600006,8,0.00255682
1612886400007,8,0.00138090
1612915200009,8,0.00207736
1612944000014,8,0.00531804
1612972800005,8,0.00213849
1613001600000,8,0.00158674
1613030400000,8,0.00088513
1613059200000,8,0.00291667
1613088000000,8,0.00112451
1613116800000,8,0.00168272
1613145600000,8,0.00141930
1613174400001,8,0.00363518
1613203200003,8,0.00559178
1613232000000,8,0.00073660
1613260800013,8,0.00236816
1613289600000,8,0.00332888
1613318400008,8,0.00337330
1613347200000,8,0.00228156
1613376000006,8,0.00010000
1613404800000,8,0.00010000
1613433600001,8,0.00010000
1613462400000,8,0.00010000
1613491200010,8,0.00010755
1613520000005,8,0.00010000
1613548800010,8,0.00010000
1613577600008,8,0.00146203
1613606400012,8,0.00106293
1613635200000,8,0.00167541
1613664000009,8,0.00159078
1613692800010,8,0.00104126
1613721600002,8,0.00140184
1613750400008,8,0.00299220
1613779200000,8,0.00163319
1613808000009,8,0.00276087
1613836800000,8,0.00240947
1613865600007,8,0.00023130
1613894400012,8,0.00010000
1613923200001,8,0.00061277
1613952000006,8,0.00032006
1613980800002,8,0.00035746
1614009600000,8,0.00010000
1614038400000,8,0.00010000
1614067200006,8,0.00010000
1614096000000,8,0.00010000
1614124800012,8,-0.00000617
1614153600016,8,0.00010000
1614182400011,8,0.00010000
1614211200007,8,0.00010000
1614240000000,8,0.00010000
1614268800010,8,0.00010000
1614297600000,8,0.00010000
1614326400025,8,0.00010000
1614355200010,8,0.00010000
1614384000001,8,0.00010000
1614412800000,8,0.00010000
1614441600000,8,0.00010000
1614470400021,8,0.00010000
1614499200009,8,0.00010000
1614528000000,8,0.00010000
