calc_time,funding_interval_hours,last_funding_rate
1746057600000,8,-0.00002360
1746086400000,8,0.00004474
1746115200001,8,-0.00013811
1746144000000,8,0.00010000
1746172800000,8,-0.00006522
1746201600003,8,-0.00003688
1746230400000,8,0.00010000
1746259200000,8,0.00007960
1746288000000,8,-0.00014364
1746316800001,8,-0.00008044
1746345600001,8,0.00004928
1746374400002,8,0.00000329
1746403200000,8,0.00010000
1746432000000,8,0.00010000
1746460800006,8,0.00003677
1746489600002,8,0.00002506
1746518400005,8,0.00001652
1746547200000,8,0.00003068
1746576000002,8,0.00001302
1746604800000,8,0.00007340
1746633600006,8,-0.00011579
1746662400000,8,-0.00000183
1746691200001,8,-0.00003736
1746720000002,8,0.00007416
1746748800001,8,0.00010000
1746777600006,8,0.00010000
1746806400000,8,0.00010000
1746835200001,8,0.00010000
1746864000000,8,0.00010000
1746892800001,8,0.00010000
1746921600000,8,0.00010000
1746950400001,8,0.00010000
1746979200001,8,0.00010000
1747008000004,8,0.00010000
1747036800000,8,0.00010000
1747065600000,8,0.00010000
1747094400000,8,0.00010000
1747123200008,8,0.00010000
1747152000001,8,0.00010000
1747180800007,8,0.00010000
1747209600000,8,0.00010000
1747238400002,8,0.00010000
1747267200000,8,0.00010000
1747296000003,8,0.00010000
1747324800000,8,0.00005089
1747353600001,8,0.00000547
1747382400000,8,0.00005898
1747411200000,8,0.00006248
1747440000000,8,0.00007225
1747468800001,8,-0.00003075
1747497600004,8,0.00003741
1747526400000,8,-0.00006236
1747555200000,8,-0.00010604
1747584000000,8,0.00004618
1747612800000,8,0.00000287
1747641600006,8,0.00000107
1747670400010,8,-0.00005403
1747699200000,8,0.00010000
1747728000002,8,0.00006642
1747756800000,8,0.00001299
1747785600000,8,0.00005600
1747814400001,8,0.00007523
1747843200004,8,0.00003054
1747872000001,8,0.00010000
1747900800000,8,0.00010000
1747929600002,8,0.00010000
1747958400006,8,0.00010000
1747987200000,8,0.00010000
1748016000007,8,0.00010000
1748044800010,8,0.00010000
1748073600000,8,0.00004540
1748102400003,8,0.00005259
1748131200004,8,0.00008500
1748160000000,8,-0.00003245
1748188800000,8,-0.00005040
1748217600000,8,0.00005433
1748246400000,8,0.00010000
1748275200002,8,0.00010000
1748304000003,8,0.00003190
1748332800001,8,0.00003309
1748361600005,8,0.00006188
1748390400002,8,-0.00005153
1748419200003,8,0.00000875
1748448000002,8,0.00010000
1748476800000,8,0.00008915
1748505600006,8,0.00002046
1748534400000,8,-0.00002524
1748563200003,8,-0.00010191
1748592000003,8,-0.00019111
1748620800000,8,-0.00013138
1748649600000,8,-0.00013861
1748678400000,8,-0.00017313
1748707200000,8,-0.00004848
