calc_time,funding_interval_hours,last_funding_rate
1711929600000,4,0.00066623
1711944000000,4,0.00048129
1711958400000,4,0.00009830
1711972800000,4,0.00023663
1711987200000,4,0.00019896
1712001600000,4,0.00016523
1712016000007,4,0.00014574
1712030400000,4,0.00005000
1712044800015,4,0.00005000
1712059200000,4,0.00010130
1712073600000,4,0.00005720
1712088000000,4,0.00008966
1712102400000,4,0.00005000
1712116800000,4,0.00005000
1712131200000,4,0.00006632
1712145600000,4,0.00010507
1712160000000,4,0.00010156
1712174400000,4,0.00008086
1712188800000,4,0.00014467
1712203200000,4,0.00005000
1712217600000,4,0.00011145
1712232000000,4,0.00018630
1712246400000,4,0.00007579
1712260800000,4,0.00005000
1712275200000,4,0.00005000
1712289600000,4,0.00005000
1712304000000,4,0.00005000
1712318400000,4,0.00007220
1712332800000,4,0.00005000
1712347200000,4,0.00005000
1712361600000,4,0.00007050
1712376000000,4,0.00008263
1712390400000,4,0.00012758
1712404800000,4,0.00009258
1712419200000,4,0.00017213
1712433600000,4,0.00018986
1712448000000,4,0.00006370
1712462400000,4,0.00006738
1712476800000,4,0.00009717
1712491200001,4,0.00018144
1712505600000,4,0.00007385
1712520000000,4,0.00009300
1712534400001,4,0.00012800
1712548800000,4,0.00016832
1712563200000,4,0.00018269
1712577600000,4,0.00010645
1712592000006,4,0.00017994
1712606400001,4,0.00018596
1712620800000,4,0.00018851
1712635200000,4,0.00013870
1712649600001,4,0.00019256
1712664000000,4,0.00018202
1712678400001,4,0.00018754
1712692800000,4,0.00020852
1712707200000,4,0.00017150
1712721600000,4,0.00011945
1712736000001,4,0.00009811
1712750400002,4,0.00011524
1712764800000,4,0.00005765
1712779200000,4,0.00005175
1712793600000,4,0.00007119
1712808000001,4,0.00011142
1712822400000,4,0.00015322
1712836800000,4,0.00011186
1712851200000,4,0.00015120
1712865600000,4,0.00007857
1712880000000,4,0.00009558
1712894400000,4,0.00010214
1712908800001,4,0.00013102
1712923200000,4,0.00011253
1712937600000,4,0.00010637
1712952000000,4,0.00005000
1712966400000,4,0.00005000
1712980800000,4,0.00005000
1712995200000,4,0.00005000
1713009600000,4,0.00005000
1713024000001,4,0.00005000
1713038400001,4,0.00005000
1713052800000,4,-0.00014740
1713067200000,4,0.00005000
1713081600000,4,0.00002459
1713096000000,4,0.00005000
1713110400000,4,0.00005000
1713124800000,4,-0.00006940
1713139200000,4,-0.00011645
1713153600000,4,-0.00008557
1713168000001,4,0.00001327
1713182400000,4,-0.00001593
1713196800000,4,0.00005000
1713211200000,4,0.00004243
1713225600001,4,-6.4E-7
1713240000000,4,0.00005000
1713254400000,4,0.00005000
1713268800000,4,0.00005000
1713283200000,4,0.00005000
1713297600000,4,0.00005000
1713312000000,4,0.00000266
1713326400001,4,0.00005000
1713340800000,4,0.00002001
1713355200000,4,-0.00003579
1713369600000,4,0.00002630
1713384000000,4,0.00004891
1713398400000,4,0.00005000
1713412800000,4,-0.00000764
1713427200000,4,0.00005000
1713441600002,4,0.00002246
1713456000000,4,-0.00001234
1713470400000,4,-0.00004410
1713484800001,4,0.00005000
1713499200000,4,0.00005000
1713513600000,4,0.00005000
1713528000001,4,0.00005000
1713542400000,4,0.00005000
1713556800000,4,0.00000845
1713571200000,4,0.00004540
1713585600001,4,-0.00007778
1713600000000,4,0.00005000
1713614400001,4,0.00002911
1713628800000,4,0.00005000
1713643200001,4,0.00004897
1713657600000,4,0.00005000
1713672000000,4,0.00005000
1713686400000,4,0.00005000
1713700800000,4,0.00005000
1713715200000,4,0.00005000
1713729600000,4,0.00005000
1713744000000,4,0.00005000
1713758400000,4,0.00005000
1713772800000,4,-0.00000641
1713787200000,4,0.00005000
1713801600000,4,0.00005000
1713816000000,4,0.00001429
1713830400000,4,-0.00005540
1713844800000,4,0.00001779
1713859200000,4,0.00005000
1713873600000,4,0.00005000
1713888000001,4,0.00005000
1713902400000,4,0.00005000
1713916800000,4,0.00005000
1713931200000,4,0.00005000
1713945600000,4,0.00005000
1713960000000,4,0.00005000
1713974400000,4,0.00005000
1713988800000,4,0.00002367
1714003200000,4,0.00005000
1714017600000,4,0.00000637
1714032000000,4,0.00005000
1714046400000,4,0.00005000
1714060800010,4,0.00005000
1714075200000,4,0.00000223
1714089600001,4,0.00005000
1714104000000,4,0.00002895
1714118400000,4,0.00005000
1714132800000,4,0.00005000
1714147200000,4,0.00005000
1714161600000,4,0.00005000
1714176000000,4,0.00005000
1714190400000,4,0.00005000
1714204800001,4,-0.00001214
1714219200000,4,0.00005000
1714233600000,4,0.00005000
1714248000000,4,0.00005000
1714262400000,4,0.00005000
1714276800000,4,-0.00004091
1714291200000,4,0.00005000
1714305600000,4,0.00005000
1714320000000,4,0.00005000
1714334400000,4,0.00005000
1714348800000,4,0.00005000
1714363200000,4,0.00005000
1714377600000,4,0.00005000
1714392000000,4,0.00005000
1714406400000,4,0.00005000
1714420800000,4,0.00005000
1714435200000,4,0.00005000
1714449600000,4,0.00005000
1714464000000,4,0.00005000
1714478400000,4,0.00005000
1714492800000,4,0.00005000
1714507200000,4,-0.00000608
