calc_time,funding_interval_hours,last_funding_rate
1740787200000,8,-0.00067077
1740816000000,8,-0.00037386
1740844800001,8,-0.00083986
1740873600000,8,-0.00104816
1740902400000,8,-0.00085163
1740931200000,8,-0.00038630
1740960000001,8,0.00010000
1740988800000,8,0.00010000
1741017600000,8,0.00010000
1741046400001,8,0.00010000
1741075200005,8,-0.00015842
1741104000000,8,-0.00025264
1741132800000,8,0.00010000
1741161600000,8,0.00010000
1741190400000,8,0.00008334
1741219200000,8,0.00010000
1741248000001,8,-0.00007472
1741276800000,8,0.00010000
1741305600000,8,0.00010000
1741334400001,8,-0.00003139
1741363200000,8,0.00010000
1741392000000,8,0.00010000
1741420800001,8,-0.00026815
1741449600001,8,0.00009897
1741478400001,8,0.00010000
1741507200000,8,0.00010000
1741536000000,8,-0.00008316
1741564800000,8,0.00008814
1741593600000,8,0.00008495
1741622400000,8,-0.00141499
1741651200000,8,-0.00051346
1741680000000,8,-0.00048095
1741708800001,8,-0.00019773
1741737600000,8,0.00010000
1741766400000,8,-0.00005031
1741795200001,8,0.00010000
1741824000000,8,0.00010000
1741852800000,8,0.00010000
1741881600000,8,0.00010000
1741910400000,8,-0.00012855
1741939200000,8,0.00010000
1741968000000,8,0.00010000
1741996800000,8,0.00010000
1742025600000,8,0.00010000
1742054400000,8,0.00010000
1742083200000,8,0.00010000
1742112000000,8,0.00010000
1742140800000,8,0.00007843
1742169600000,8,0.00004085
1742198400000,8,0.00010000
1742227200000,8,0.00010000
1742256000000,8,0.00010000
1742284800000,8,-0.00002715
1742313600000,8,0.00010000
1742342400000,8,0.00010000
1742371200000,8,0.00005554
1742400000000,8,0.00010000
1742428800000,8,0.00010000
1742457600000,8,0.00010000
1742486400000,8,0.00010000
1742515200000,8,-0.00001711
1742544000000,8,-0.00009798
1742572800000,8,-0.00003705
1742601600000,8,0.00010000
1742630400004,8,0.00010000
1742659200000,8,0.00010000
1742688000000,8,0.00010000
1742716800000,8,0.00009453
1742745600000,8,0.00010000
1742774400000,8,0.00010000
1742803200000,8,0.00010000
1742832000000,8,-0.00014397
1742860800001,8,0.00000340
1742889600000,8,-0.00020654
1742918400000,8,-0.00001353
1742947200000,8,0.00010000
1742976000000,8,0.00010000
1743004800001,8,0.00008272
1743033600001,8,0.00010000
1743062400001,8,0.00009649
1743091200002,8,0.00009805
1743120000001,8,0.00010000
1743148800001,8,-0.00045918
1743177600000,8,-0.00013187
1743206400000,8,-0.00002074
1743235200000,8,-0.00005347
1743264000000,8,-0.00010564
1743292800000,8,-0.00016955
1743321600000,8,-0.00019004
1743350400000,8,0.00002809
1743379200000,8,0.00004615
1743408000000,8,-0.00000940
1743436800000,8,0.00010000
