calc_time,funding_interval_hours,last_funding_rate
1738368000000,8,0.00010000
1738396800000,8,0.00010000
1738425600000,8,0.00010000
1738454400001,8,0.00000235
1738483200000,8,0.00002669
1738512000000,8,0.00010000
1738540800000,8,-0.00013823
1738569600000,8,-0.00015310
1738598400000,8,9E-8
1738627200000,8,-0.00005961
1738656000001,8,-0.00021658
1738684800000,8,-0.00007239
1738713600001,8,0.00005560
1738742400001,8,0.00000799
1738771200000,8,0.00000347
1738800000001,8,0.00003323
1738828800001,8,0.00004316
1738857600000,8,-0.00005922
1738886400000,8,0.00002873
1738915200000,8,0.00000537
1738944000000,8,0.00010000
1738972800000,8,0.00004682
1739001600000,8,0.00000482
1739030400000,8,0.00008066
1739059200000,8,0.00006394
1739088000000,8,0.00009062
1739116800000,8,0.00007478
1739145600000,8,0.00003922
1739174400000,8,0.00008546
1739203200000,8,0.00005579
1739232000000,8,0.00001456
1739260800000,8,-0.00000393
1739289600000,8,0.00006437
1739318400000,8,0.00004902
1739347200000,8,-0.00003273
1739376000001,8,-0.00001740
1739404800001,8,0.00007026
1739433600000,8,0.00003818
1739462400001,8,0.00007070
1739491200000,8,-0.00003882
1739520000001,8,0.00010000
1739548800000,8,0.00010000
1739577600000,8,0.00010000
1739606400000,8,-0.00004639
1739635200000,8,-0.00002734
1739664000000,8,0.00000355
1739692800000,8,-0.00006097
1739721600000,8,-0.00000542
1739750400000,8,-0.00014970
1739779200000,8,-0.00001619
1739808000000,8,0.00010000
1739836800000,8,0.00001420
1739865600000,8,-0.00009817
1739894400000,8,0.00008105
1739923200000,8,-0.00001309
1739952000000,8,0.00008750
1739980800000,8,0.00010000
1740009600000,8,0.00007760
1740038400000,8,-0.00000312
1740067200000,8,0.00010000
1740096000001,8,0.00010000
1740124800000,8,0.00010000
1740153600000,8,0.00010000
1740182400000,8,0.00002161
1740211200000,8,-0.00009867
1740240000000,8,0.00010000
1740268800000,8,0.00007214
1740297600000,8,0.00004769
1740326400000,8,-0.00008947
1740355200000,8,-0.00023314
1740384000000,8,-0.00010243
1740412800000,8,0.00004632
1740441600000,8,-0.00005905
1740470400000,8,-0.00018809
1740499200000,8,-0.00006643
1740528000000,8,0.00002756
1740556800000,8,0.00000569
1740585600000,8,0.00009525
1740614400001,8,0.00010000
1740643200000,8,0.00004035
1740672000000,8,0.00010000
1740700800001,8,-0.00004840
1740729600000,8,-0.00004772
1740758400000,8,0.00005409
