calc_time,funding_interval_hours,last_funding_rate
1751328000007,8,-0.00034821
1751356800002,8,-0.00049168
1751385600000,8,-0.00000614
1751414400001,8,-0.00024473
1751443200000,8,-0.00023894
1751472000003,8,-0.00019819
1751500800006,8,-0.00026722
1751529600003,8,-0.00016818
1751558400003,8,-0.00021009
1751587200005,8,-0.00009617
1751616000003,8,-0.00045637
1751644800001,8,-0.00010915
1751673600004,8,-0.00014065
1751702400009,8,-0.00037070
1751731200006,8,-0.00017649
1751760000001,8,-0.00032226
1751788800002,8,-0.00038090
1751817600004,8,-0.00004716
1751846400000,8,0.00004743
1751875200007,8,-0.00008233
1751904000000,8,-0.00004240
1751932800010,8,0.00007067
1751961600003,8,-0.00008446
1751990400000,8,0.00005052
1752019200002,8,0.00010000
1752048000006,8,-0.00001704
1752076800001,8,-0.00000223
1752105600003,8,0.00010000
1752134400000,8,0.00010000
1752163200004,8,0.00010000
1752192000004,8,0.00010000
1752220800007,8,0.00010000
1752249600001,8,0.00010000
1752278400000,8,0.00010000
1752307200001,8,0.00010000
1752336000002,8,0.00010000
1752364800006,8,0.00010000
1752393600001,8,0.00010000
1752422400003,8,0.00010000
1752451200000,8,0.00010000
1752480000000,8,0.00010000
1752508800000,8,0.00010000
1752537600002,8,0.00007476
1752566400000,8,0.00010000
1752595200000,8,0.00000171
1752624000000,8,0.00010000
1752652800000,8,-0.00021803
1752681600008,8,-9.7E-7
1752710400003,8,0.00010000
1752739200000,8,-0.00028796
1752768000000,8,0.00010000
1752796800004,8,0.00010000
1752825600000,8,0.00010000
1752854400000,8,0.00010000
1752883200009,8,0.00010000
1752912000000,8,0.00003322
1752940800002,8,0.00010000
1752969600000,8,0.00010000
1752998400000,8,0.00010000
1753027200000,8,0.00010000
1753056000001,8,0.00010000
1753084800000,8,0.00010000
1753113600001,8,0.00010000
1753142400000,8,0.00010000
1753171200010,8,0.00010000
1753200000007,8,0.00010000
1753228800000,8,0.00010000
1753257600004,8,0.00010000
1753286400002,8,-0.00004941
1753315200000,8,-0.00015301
1753344000001,8,-0.00015297
1753372800000,8,0.00010000
1753401600000,8,-0.00011212
1753430400000,8,-0.00000842
1753459200000,8,-0.00029665
1753488000001,8,-0.00009133
1753516800005,8,-0.00003634
1753545600001,8,-0.00033835
1753574400001,8,-0.00015033
1753603200000,8,-0.00034634
1753632000008,8,-0.00045086
1753660800005,8,-0.00020893
1753689600000,8,0.00010000
1753718400000,8,0.00008131
1753747200001,8,-0.00057059
1753776000000,8,-0.00045860
1753804800000,8,-0.00024897
1753833600011,8,-0.00027832
1753862400000,8,-0.00001774
1753891200008,8,-0.00045931
1753920000000,8,-0.00033898
1753948800009,8,-0.00020647
1753977600000,8,-0.00014994
