calc_time,funding_interval_hours,last_funding_rate
1775001600000,8,0.00001608
1775030400000,8,-0.00000642
1775059200000,8,-0.00001877
1775088000003,8,0.00001042
1775116800001,8,-0.00023581
1775145600001,8,-0.00006199
1775174400000,8,-0.00000680
1775203200008,8,-0.00002576
1775232000008,8,0.00004323
1775260800000,8,-0.00004223
1775289600003,8,-0.00007014
1775318400000,8,-0.00003973
1775347200008,8,-0.00004086
1775376000000,8,-0.00009381
1775404800001,8,-0.00007917
1775433600004,8,-0.00001272
1775462400001,8,0.00007896
1775491200003,8,-0.00001845
1775520000000,8,-0.00010287
1775548800000,8,-0.00021212
1775577600000,8,-0.00006822
1775606400000,8,0.00010000
1775635200000,8,0.00010000
1775664000006,8,0.00010000
1775692800000,8,0.00004258
1775721600010,8,-0.00001292
1775750400001,8,0.00002462
1775779200000,8,0.00010000
1775808000005,8,0.00000100
1775836800000,8,0.00008338
1775865600000,8,0.00004330
1775894400000,8,-0.00001872
1775923200003,8,-0.00001220
1775952000000,8,0.00010000
1775980800000,8,-0.00011509
1776009600000,8,-0.00006761
1776038400011,8,0.00003827
1776067200006,8,-0.00000936
1776096000000,8,0.00010000
1776124800005,8,0.00010000
1776153600003,8,0.00010000
1776182400001,8,0.00010000
1776211200000,8,0.00000164
1776240000000,8,-0.00009128
1776268800000,8,-0.00002279
1776297600013,8,0.00010000
1776326400000,8,0.00010000
1776355200000,8,0.00007305
1776384000001,8,0.00010000
1776412800011,8,0.00003085
1776441600001,8,0.00001016
1776470400001,8,0.00000264
1776499200006,8,-0.00008193
1776528000000,8,-0.00007993
1776556800002,8,-0.00006547
1776585600010,8,-0.00009117
1776614400001,8,-0.00007527
1776643200000,8,-0.00008585
1776672000000,8,-0.00001265
1776700800001,8,0.00004880
1776729600000,8,0.00008917
1776758400004,8,0.00002729
1776787200004,8,-7.3E-7
1776816000004,8,0.00006371
1776844800000,8,0.00010000
1776873600000,8,0.00010000
1776902400000,8,0.00008553
1776931200000,8,-0.00004210
1776960000004,8,0.00001908
1776988800006,8,-0.00007719
1777017600000,8,-0.00002981
1777046400000,8,-0.00005314
1777075200000,8,0.00005235
1777104000002,8,0.00001927
1777132800002,8,-0.00005575
1777161600003,8,-0.00004604
1777190400007,8,0.00009411
1777219200004,8,-0.00000344
1777248000004,8,-0.00001262
1777276800000,8,-0.00002080
1777305600002,8,-0.00011407
1777334400001,8,-0.00011394
1777363200000,8,0.00000841
1777392000004,8,-0.00004511
1777420800006,8,-0.00001641
1777449600011,8,0.00007892
1777478400003,8,-0.00006745
1777507200002,8,-0.00003778
1777536000000,8,0.00007422
1777564800000,8,0.00007585
