calc_time,funding_interval_hours,last_funding_rate
1706745600000,8,0.00002348
1706774400000,8,0.00005946
1706803200002,8,0.00009296
1706832000000,8,0.00008659
1706860800000,8,0.00010000
1706889600000,8,0.00010000
1706918400000,8,-0.00000188
1706947200000,8,0.00010000
1706976000001,8,0.00010000
1707004800000,8,0.00010000
1707033600004,8,0.00010000
1707062400000,8,0.00010000
1707091200000,8,0.00010000
1707120000000,8,0.00010000
1707148800000,8,0.00010000
1707177600000,8,0.00010000
1707206400001,8,0.00010000
1707235200000,8,0.00010000
1707264000000,8,0.00003244
1707292800000,8,-0.00000536
1707321600000,8,0.00010000
1707350400000,8,-0.00019905
1707379200000,8,0.00010000
1707408000000,8,0.00006643
1707436800000,8,0.00001111
1707465600000,8,0.00010000
1707494400001,8,0.00010000
1707523200001,8,0.00010000
1707552000000,8,0.00010000
1707580800000,8,0.00010000
1707609600000,8,0.00010000
1707638400001,8,0.00010000
1707667200000,8,0.00010000
1707696000000,8,0.00010000
1707724800000,8,0.00010000
1707753600000,8,0.00010000
1707782400000,8,0.00010000
1707811200000,8,0.00010000
1707840000000,8,0.00010000
1707868800000,8,0.00010000
1707897600000,8,0.00010000
1707926400000,8,0.00010000
1707955200000,8,0.00010000
1707984000000,8,0.00010000
1708012800000,8,0.00025844
1708041600000,8,0.00016346
1708070400000,8,0.00021117
1708099200000,8,0.00010000
1708128000000,8,0.00010000
1708156800000,8,0.00028122
1708185600000,8,0.00023757
1708214400000,8,0.00013054
1708243200000,8,0.00024262
1708272000000,8,0.00026405
1708300800000,8,0.00027138
1708329600000,8,0.00028738
1708358400000,8,0.00028165
1708387200000,8,0.00050041
1708416000000,8,0.00040148
1708444800000,8,0.00024735
1708473600000,8,0.00013813
1708502400000,8,0.00024739
1708531200000,8,0.00027342
1708560000001,8,0.00019453
1708588800001,8,0.00021487
1708617600000,8,0.00023698
1708646400000,8,0.00017206
1708675200000,8,0.00029198
1708704000000,8,0.00027929
1708732800000,8,0.00010000
1708761600001,8,0.00028243
1708790400000,8,0.00027780
1708819200001,8,0.00027079
1708848000000,8,0.00037686
1708876800000,8,0.00044102
1708905600000,8,0.00052488
1708934400000,8,0.00054420
1708963200000,8,0.00054786
1708992000000,8,0.00052564
1709020800000,8,0.00077718
1709049600000,8,0.00054074
1709078400000,8,0.00064651
1709107200000,8,0.00060941
1709136000000,8,0.00078798
1709164800000,8,0.00028639
1709193600000,8,0.00088843
1709222400000,8,0.00083401
