calc_time,funding_interval_hours,last_funding_rate
1617235200025,8,0.00132756
1617264000011,8,0.00224636
1617292800004,8,0.00256738
1617321600000,8,0.00107931
1617350400000,8,0.00270371
1617379200000,8,0.00244797
1617408000003,8,0.00177815
1617436800000,8,0.00277873
1617465600000,8,0.00261032
1617494400000,8,0.00044533
1617523200000,8,0.00099745
1617552000016,8,0.00138597
1617580800000,8,0.00125799
1617609600001,8,0.00186096
1617638400001,8,0.00238045
1617667200010,8,0.00283324
1617696000000,8,0.00290122
1617724800003,8,0.00223970
1617753600000,8,0.00174259
1617782400006,8,0.00071839
1617811200004,8,0.00052704
1617840000013,8,0.00060491
1617868800003,8,0.00126728
1617897600005,8,0.00052633
1617926400000,8,0.00056945
1617955200004,8,0.00110710
1617984000004,8,0.00149608
1618012800011,8,0.00075066
1618041600005,8,0.00205073
1618070400000,8,0.00202675
1618099200004,8,0.00160657
1618128000000,8,0.00198673
1618156800000,8,0.00227493
1618185600001,8,0.00218106
1618214400001,8,0.00299916
1618243200008,8,0.00190569
1618272000003,8,0.00188394
1618300800008,8,0.00204955
1618329600008,8,0.00304211
1618358400008,8,0.00306594
1618387200000,8,0.00392876
1618416000012,8,0.00134716
1618444800006,8,0.00104364
1618473600000,8,0.00218921
1618502400008,8,0.00201020
1618531200008,8,0.00221880
1618560000000,8,0.00209604
1618588800002,8,0.00205182
1618617600008,8,0.00243318
1618646400000,8,0.00264855
1618675200001,8,0.00110747
1618704000006,8,0.00125565
1618732800004,8,0.00005536
1618761600000,8,0.00010000
1618790400000,8,0.00010000
1618819200000,8,0.00010000
1618848000009,8,0.00010000
1618876800004,8,0.00010000
1618905600000,8,0.00019392
1618934400001,8,0.00010000
1618963200013,8,0.00010000
1618992000001,8,0.00010000
1619020800002,8,0.00010000
1619049600000,8,0.00011645
1619078400000,8,0.00027825
1619107200001,8,0.00034603
1619136000002,8,0.00027196
1619164800009,8,0.00010000
1619193600001,8,0.00010000
1619222400019,8,0.00010000
1619251200001,8,0.00010000
1619280000011,8,0.00010000
1619308800000,8,0.00010000
1619337600010,8,0.00010000
1619366400000,8,0.00010000
1619395200003,8,0.00010000
1619424000002,8,0.00010000
1619452800004,8,0.00016110
1619481600000,8,0.00010000
1619510400000,8,0.00010000
1619539200009,8,0.00034867
1619568000000,8,0.00039430
1619596800000,8,0.00039634
1619625600001,8,0.00035162
1619654400004,8,0.00028706
1619683200013,8,0.00029847
1619712000003,8,0.00051490
1619740800004,8,0.00026539
1619769600019,8,0.00060006
1619798400003,8,0.00055527
