calc_time,funding_interval_hours,last_funding_rate
1598918400000,8,0.00071280
1598947200000,8,0.00078049
1598976000000,8,0.00063406
1599004800000,8,0.00052948
1599033600006,8,0.00010000
1599062400000,8,-0.00019795
1599091200001,8,0.00000877
1599120000004,8,-0.00085697
1599148800000,8,-0.00129730
1599177600005,8,-0.00089557
1599206400000,8,-0.00272246
1599235200006,8,-0.00016481
1599264000000,8,-0.00077983
1599292800004,8,-0.00099274
1599321600001,8,-0.00013644
1599350400004,8,0.00002864
1599379200000,8,0.00010000
1599408000000,8,-0.00019332
1599436800002,8,-0.00133075
1599465600004,8,-0.00228021
1599494400001,8,-0.00095478
1599523200007,8,-0.00019344
1599552000006,8,-0.00211883
1599580800014,8,-0.00140715
1599609600000,8,-0.00145042
1599638400000,8,-0.00076797
1599667200000,8,-0.00105525
1599696000000,8,-0.00092158
1599724800005,8,-0.00046317
1599753600000,8,-0.00031870
1599782400000,8,-0.00040665
1599811200008,8,-0.00193707
1599840000000,8,-0.00093467
1599868800008,8,-0.00024302
1599897600000,8,-0.00093644
1599926400008,8,-0.00119882
1599955200000,8,-0.00031872
1599984000000,8,-0.00076144
1600012800004,8,-0.00116336
1600041600003,8,-0.00250571
1600070400008,8,-0.00203133
1600099200000,8,-0.00063776
1600128000000,8,-0.00122998
1600156800010,8,-0.00050059
1600185600003,8,-0.00164809
1600214400014,8,-0.00258816
1600243200000,8,-0.00246267
1600272000001,8,-0.00137513
1600300800006,8,0.00010000
1600329600012,8,0.00010000
1600358400000,8,0.00010000
1600387200001,8,0.00010000
1600416000002,8,0.00010000
1600444800002,8,0.00010000
1600473600000,8,0.00010000
1600502400005,8,0.00002907
1600531200008,8,0.00009974
1600560000002,8,-0.00014728
1600588800005,8,-0.00049188
1600617600005,8,-0.00053223
1600646400000,8,-0.00001903
1600675200001,8,0.00009856
1600704000000,8,-0.00012725
1600732800001,8,-0.00041760
1600761600000,8,-0.00044595
1600790400004,8,-0.00026884
1600819200007,8,-0.00061336
1600848000001,8,-0.00051651
1600876800001,8,-0.00018263
1600905600000,8,-0.00022613
1600934400000,8,0.00005656
1600963200000,8,0.00001804
1600992000009,8,0.00010000
1601020800045,8,0.00010000
1601049600000,8,0.00010000
1601078400000,8,0.00010000
1601107200000,8,0.00010000
1601136000005,8,0.00010000
1601164800000,8,0.00010000
1601193600000,8,0.00010000
1601222400019,8,0.00010000
1601251200001,8,0.00010000
1601280000000,8,0.00010000
1601308800002,8,0.00010000
1601337600000,8,0.00008207
1601366400000,8,0.00010000
1601395200000,8,-0.00008097
1601424000005,8,0.00010000
1601452800000,8,-0.00002825
1601481600000,8,-0.00001083
