calc_time,funding_interval_hours,last_funding_rate
1630454400000,8,0.00010000
1630483200006,8,-0.00012170
1630512000000,8,-0.00006145
1630540800009,8,-0.00088024
1630569600006,8,-0.00088514
1630598400007,8,0.00010000
1630627200011,8,0.00034556
1630656000000,8,0.00014206
1630684800002,8,0.00010000
1630713600003,8,0.00010000
1630742400008,8,0.00039950
1630771200009,8,0.00012770
1630800000002,8,0.00010818
1630828800002,8,0.00021271
1630857600000,8,0.00067322
1630886400003,8,0.00044429
1630915200008,8,0.00071874
1630944000009,8,0.00012913
1630972800004,8,0.00010000
1631001600002,8,0.00026552
1631030400001,8,-0.00401687
1631059200005,8,0.00004393
1631088000000,8,0.00010000
1631116800000,8,0.00010000
1631145600006,8,0.00010000
1631174400014,8,0.00010000
1631203200002,8,0.00010000
1631232000001,8,0.00010000
1631260800018,8,0.00010000
1631289600006,8,0.00010000
1631318400000,8,0.00010000
1631347200001,8,0.00010000
1631376000000,8,0.00010000
1631404800000,8,0.00010000
1631433600002,8,0.00010000
1631462400000,8,0.00010000
1631491200000,8,0.00010000
1631520000007,8,0.00010000
1631548800005,8,0.00010000
1631577600002,8,0.00010000
1631606400000,8,0.00010000
1631635200007,8,0.00010000
1631664000012,8,0.00010000
1631692800003,8,0.00010000
1631721600006,8,0.00010000
1631750400008,8,0.00010000
1631779200005,8,0.00010000
1631808000002,8,0.00010000
1631836800000,8,0.00010000
1631865600047,8,0.00010000
1631894400013,8,0.00010000
1631923200000,8,0.00010000
1631952000010,8,0.00010000
1631980800005,8,0.00010000
1632009600006,8,0.00010000
1632038400015,8,0.00010000
1632067200007,8,0.00010000
1632096000018,8,0.00010000
1632124800000,8,0.00010000
1632153600005,8,0.00010000
1632182400005,8,0.00010000
1632211200007,8,0.00010000
1632240000000,8,0.00010000
1632268800005,8,0.00010000
1632297600006,8,0.00010000
1632326400000,8,0.00004012
1632355200003,8,0.00008920
1632384000000,8,0.00010000
1632412800007,8,0.00010000
1632441600000,8,0.00010000
1632470400017,8,0.00008743
1632499200000,8,0.00010000
1632528000007,8,0.00010000
1632556800002,8,0.00010000
1632585600004,8,0.00010000
1632614400013,8,0.00010000
1632643200000,8,0.00010000
1632672000005,8,0.00005854
1632700800000,8,0.00010000
1632729600001,8,0.00010000
1632758400000,8,0.00010000
1632787200000,8,0.00010000
1632816000014,8,0.00010000
1632844800000,8,0.00010000
1632873600000,8,-0.00007871
1632902400002,8,-0.00013790
1632931200000,8,0.00010000
1632960000000,8,-0.00001565
1632988800004,8,0.00010000
1633017600005,8,0.00010000
