calc_time,funding_interval_hours,last_funding_rate
1733011200000,8,0.00040951
1733040000000,8,0.00015926
1733068800000,8,0.00023489
1733097600001,8,0.00048201
1733126400001,8,0.00036793
1733155200000,8,0.00016752
1733184000000,8,0.00030483
1733212800000,8,0.00032730
1733241600000,8,0.00027657
1733270400000,8,0.00040855
1733299200000,8,0.00055704
1733328000000,8,0.00051333
1733356800001,8,0.00040427
1733385600000,8,0.00068421
1733414400000,8,0.00057710
1733443200000,8,0.00051227
1733472000000,8,0.00047487
1733500800000,8,0.00023915
1733529600000,8,0.00044835
1733558400000,8,0.00053390
1733587200000,8,0.00043761
1733616000000,8,0.00054629
1733644800000,8,0.00041679
1733673600000,8,0.00038596
1733702400000,8,0.00040174
1733731200000,8,0.00014156
1733760000001,8,0.00010000
1733788800007,8,0.00010000
1733817600000,8,0.00008228
1733846400000,8,0.00005446
1733875200000,8,-0.00007122
1733904000000,8,0.00005872
1733932800001,8,-0.00007173
1733961600001,8,0.00010000
1733990400000,8,0.00008409
1734019200001,8,0.00010000
1734048000000,8,0.00010000
1734076800000,8,0.00010000
1734105600001,8,0.00010000
1734134400000,8,0.00010000
1734163200000,8,0.00010000
1734192000000,8,0.00010000
1734220800000,8,0.00010000
1734249600000,8,0.00010000
1734278400000,8,0.00010000
1734307200000,8,0.00010000
1734336000001,8,0.00010000
1734364800000,8,0.00002794
1734393600000,8,0.00010000
1734422400000,8,0.00010000
1734451200000,8,0.00010000
1734480000000,8,0.00010000
1734508800000,8,0.00010000
1734537600000,8,0.00008422
1734566400000,8,-0.00001597
1734595200000,8,-0.00013106
1734624000000,8,-0.00005386
1734652800000,8,-0.00018313
1734681600001,8,-0.00009563
1734710400014,8,-0.00037853
1734739200000,8,0.00001624
1734768000000,8,0.00004647
1734796800001,8,0.00010000
1734825600000,8,0.00009190
1734854400000,8,0.00002617
1734883200000,8,-0.00004520
1734912000000,8,-0.00000322
1734940800000,8,0.00007102
1734969600001,8,0.00010000
1734998400000,8,0.00010000
1735027200000,8,0.00010000
1735056000001,8,0.00010000
1735084800001,8,0.00010000
1735113600000,8,0.00010000
1735142400000,8,0.00010000
1735171200000,8,0.00010000
1735200000000,8,0.00010000
1735228800000,8,0.00010000
1735257600000,8,0.00010000
1735286400000,8,0.00008792
1735315200000,8,0.00010000
1735344000001,8,0.00010000
1735372800000,8,0.00010000
1735401600000,8,0.00010000
1735430400000,8,0.00010000
1735459200000,8,0.00010000
1735488000000,8,0.00010000
1735516800000,8,0.00007009
1735545600001,8,0.00010000
1735574400000,8,0.00010000
1735603200000,8,0.00010000
1735632000000,8,0.00010000
1735660800000,8,0.00010000
