calc_time,funding_interval_hours,last_funding_rate
1748736000001,8,-0.00016087
1748764800002,8,-0.00027036
1748793600000,8,-0.00015418
1748822400001,8,-0.00011913
1748851200000,8,-0.00007526
1748880000000,8,-0.00008311
1748908800000,8,0.00004087
1748937600000,8,0.00004743
1748966400001,8,-0.00002473
1748995200000,8,0.00001111
1749024000000,8,-0.00004784
1749052800000,8,-0.00006664
1749081600016,8,-0.00011468
1749110400000,8,-0.00004028
1749139200000,8,-0.00003401
1749168000002,8,-0.00057966
1749196800000,8,-0.00011906
1749225600006,8,0.00001818
1749254400000,8,0.00001261
1749283200000,8,-0.00000450
1749312000002,8,-0.00000547
1749340800000,8,0.00008153
1749369600000,8,-0.00010336
1749398400000,8,-0.00017677
1749427200000,8,-0.00015672
1749456000001,8,-0.00008456
1749484800001,8,-0.00011203
1749513600000,8,-0.00004746
1749542400001,8,0.00001806
1749571200003,8,0.00005042
1749600000000,8,0.00010000
1749628800000,8,0.00007493
1749657600010,8,0.00003528
1749686400002,8,0.00004285
1749715200003,8,-0.00001275
1749744000001,8,-0.00000362
1749772800000,8,-0.00031408
1749801600001,8,-0.00053464
1749830400004,8,-0.00023701
1749859200000,8,-0.00016117
1749888000000,8,-0.00016331
1749916800000,8,-0.00007687
1749945600005,8,-0.00015705
1749974400009,8,-0.00022127
1750003200000,8,-0.00014589
1750032000000,8,-0.00012231
1750060800000,8,-0.00006957
1750089600003,8,-0.00014769
1750118400000,8,0.00007388
1750147200006,8,-0.00000604
1750176000001,8,-0.00012685
1750204800001,8,-0.00005366
1750233600001,8,-0.00001779
1750262400001,8,-0.00010142
1750291200005,8,-0.00003851
1750320000003,8,-0.00003282
1750348800000,8,-0.00006051
1750377600000,8,0.00002728
1750406400002,8,-0.00008030
1750435200001,8,-0.00017546
1750464000002,8,-0.00009098
1750492800005,8,0.00001783
1750521600000,8,-0.00011694
1750550400005,8,-0.00020477
1750579200000,8,-0.00011260
1750608000003,8,-0.00012444
1750636800000,8,-0.00023754
1750665600004,8,-0.00031359
1750694400013,8,-0.00018306
1750723200003,8,0.00001519
1750752000000,8,-0.00005143
1750780800000,8,0.00003065
1750809600005,8,-0.00003850
1750838400000,8,0.00004132
1750867200005,8,-0.00005675
1750896000000,8,-0.00001229
1750924800006,8,-0.00006866
1750953600007,8,-0.00023440
1750982400000,8,-0.00024752
1751011200000,8,-0.00026256
1751040000009,8,-0.00027343
1751068800001,8,-0.00018245
1751097600002,8,-0.00020088
1751126400000,8,-0.00025587
1751155200004,8,-0.00017370
1751184000001,8,-0.00022306
1751212800001,8,-0.00030634
1751241600000,8,-0.00003126
1751270400005,8,-0.00026114
1751299200002,8,-0.00033372
