calc_time,funding_interval_hours,last_funding_rate
1722470400000,8,-0.00064041
1722499200000,8,0.00001688
1722528000000,8,0.00010000
1722556800000,8,0.00010000
1722585600001,8,0.00010000
1722614400000,8,-0.00043648
1722643200000,8,-0.00022004
1722672000000,8,-0.00040992
1722700800001,8,-0.00047809
1722729600000,8,0.00010000
1722758400000,8,0.00009116
1722787200000,8,0.00010000
1722816000000,8,0.00010000
1722844800000,8,0.00010000
1722873600000,8,0.00010000
1722902400000,8,0.00010000
1722931200000,8,0.00010000
1722960000000,8,0.00010000
1722988800000,8,0.00010000
1723017600001,8,0.00010000
1723046400000,8,0.00010000
1723075200001,8,0.00010000
1723104000000,8,0.00010000
1723132800000,8,0.00010000
1723161600000,8,0.00010000
1723190400000,8,0.00010000
1723219200000,8,0.00010000
1723248000000,8,0.00003994
1723276800000,8,0.00010000
1723305600000,8,0.00010000
1723334400000,8,0.00010000
1723363200000,8,0.00010000
1723392000001,8,0.00010000
1723420800000,8,0.00000364
1723449600000,8,0.00010000
1723478400000,8,0.00005586
1723507200000,8,0.00003715
1723536000000,8,-0.00001916
1723564800000,8,0.00010000
1723593600000,8,0.00002784
1723622400000,8,0.00009004
1723651200000,8,0.00010000
1723680000000,8,0.00010000
1723708800000,8,0.00010000
1723737600000,8,0.00010000
1723766400000,8,0.00004291
1723795200000,8,0.00010000
1723824000000,8,0.00003179
1723852800000,8,0.00005125
1723881600000,8,0.00010000
1723910400000,8,0.00005369
1723939200000,8,0.00003091
1723968000000,8,0.00010000
1723996800000,8,0.00005007
1724025600000,8,0.00010000
1724054400000,8,0.00005061
1724083200002,8,0.00010000
1724112000000,8,0.00010000
1724140800000,8,0.00010000
1724169600001,8,0.00010000
1724198400001,8,0.00010000
1724227200000,8,0.00010000
1724256000001,8,0.00010000
1724284800000,8,0.00010000
1724313600000,8,0.00010000
1724342400008,8,0.00010000
1724371200000,8,0.00010000
1724400000000,8,0.00009715
1724428800000,8,0.00010000
1724457600000,8,0.00008728
1724486400005,8,0.00010000
1724515200000,8,0.00010000
1724544000000,8,0.00010000
1724572800000,8,0.00010000
1724601600000,8,0.00010000
1724630400000,8,0.00010000
1724659200001,8,0.00010000
1724688000000,8,0.00010000
1724716800001,8,0.00010000
1724745600000,8,0.00007514
1724774400000,8,0.00010000
1724803200000,8,0.00009336
1724832000000,8,0.00005345
1724860800001,8,0.00010000
1724889600000,8,0.00010000
1724918400001,8,0.00000356
1724947200000,8,0.00010000
1724976000000,8,0.00010000
1725004800000,8,0.00010000
1725033600000,8,0.00004784
1725062400000,8,0.00010000
1725091200000,8,0.00007532
1725120000000,8,0.00006176
