calc_time,funding_interval_hours,last_funding_rate
1614556800000,8,0.00010000
1614585600003,8,0.00010000
1614614400001,8,0.00010000
1614643200000,8,0.00010000
1614672000000,8,0.00010000
1614700800004,8,0.00010000
1614729600000,8,0.00010000
1614758400016,8,0.00010000
1614787200000,8,0.00010000
1614816000000,8,0.00010000
1614844800015,8,0.00018454
1614873600001,8,0.00010000
1614902400000,8,0.00010000
1614931200002,8,0.00010000
1614960000008,8,0.00010000
1614988800000,8,0.00010000
1615017600000,8,0.00010000
1615046400000,8,0.00025042
1615075200006,8,0.00010000
1615104000005,8,0.00010000
1615132800008,8,0.00010000
1615161600000,8,0.00025563
1615190400000,8,0.00041005
1615219200006,8,0.00108788
1615248000000,8,0.00063368
1615276800000,8,0.00078346
1615305600000,8,0.00125141
1615334400009,8,0.00088430
1615363200006,8,0.00078980
1615392000008,8,0.00070781
1615420800000,8,0.00060037
1615449600000,8,0.00037420
1615478400014,8,0.00095214
1615507200002,8,0.00094754
1615536000005,8,0.00091436
1615564800011,8,0.00059637
1615593600000,8,0.00036928
1615622400002,8,0.00015319
1615651200000,8,0.00135269
1615680000011,8,0.00124839
1615708800000,8,0.00096082
1615737600000,8,0.00116067
1615766400012,8,0.00121157
1615795200016,8,0.00119934
1615824000030,8,0.00010000
1615852800005,8,0.00010000
1615881600008,8,0.00022349
1615910400012,8,0.00010000
1615939200010,8,0.00092482
1615968000000,8,0.00061175
1615996800009,8,0.00053703
1616025600001,8,0.00108062
1616054400000,8,0.00144614
1616083200000,8,0.00173083
1616112000011,8,0.00065618
1616140800001,8,0.00059138
1616169600000,8,0.00118205
1616198400000,8,0.00062214
1616227200000,8,0.00096498
1616256000007,8,0.00127694
1616284800000,8,0.00125575
1616313600000,8,0.00054473
1616342400000,8,0.00041460
1616371200007,8,0.00056559
1616400000001,8,0.00057256
1616428800000,8,0.00077506
1616457600000,8,0.00033203
1616486400010,8,0.00010000
1616515200023,8,0.00010000
1616544000002,8,0.00010000
1616572800000,8,0.00016830
1616601600000,8,0.00010160
1616630400000,8,0.00010000
1616659200000,8,0.00010000
1616688000000,8,0.00010000
1616716800008,8,0.00010000
1616745600000,8,0.00010000
1616774400012,8,0.00010000
1616803200018,8,0.00010000
1616832000000,8,0.00010000
1616860800001,8,0.00010000
1616889600000,8,0.00010000
1616918400000,8,0.00033930
1616947200005,8,0.00042076
1616976000003,8,0.00010000
1617004800000,8,0.00024422
1617033600000,8,0.00073210
1617062400018,8,0.00069438
1617091200012,8,0.00085496
1617120000001,8,0.00110985
1617148800000,8,0.00055237
1617177600000,8,0.00127174
1617206400000,8,0.00048567
